stor_id,ord_num,ord_date,qty,payterms,title_id
6380,6871,1994-09-14 00:00:00,5,Нет 60,BU1032
7896,X999,1993-02-21 00:00:00,35,на фактуру,BU2075
7067,P2121,1992-06-15 00:00:00,40,Срочный,TC3218
7131,P3087а,1993-05-29 00:00:00,25,Нет 60,PS2106
8042,QA-879.1,1993-05-22 00:00:00,30,Срочный,PC1035
7131,P3087а,1993-05-29 00:00:00,15,Нет 60,PS3333
7896,QQ2299,1993-10-28 00:00:00,15,Нет 60,BU7832
8042,423ЛЛ922,1994-09-14 00:00:00,15,на фактуру,MC3021
7131,N914008,1994-09-14 00:00:00,20,Срочный,PS2091
7131,Н914014,1994-09-14 00:00:00,25,Срочный,MC3021
7896,Тq456,1993-12-12 00:00:00,10,Нет 60,MC2222
7066,QA7442.3,13.09.1994 г.,75,на фактуру,PS2091
7067,Д4482,1994-09-14 00:00:00,10,Нет 60,PS2091
6380,722-а,13.09.1994 г.,3,Нет 60,PS2091
7131,P3087а,1993-05-29 00:00:00,25,Нет 60,PS7777
7066,А2976,1993-05-24 00:00:00,50,Срочный,PC8888
8042,P723,1993-03-11 00:00:00,25,Срочный,BU1111
7131,P3087а,1993-05-29 00:00:00,20,Нет 60,PS1372
7067,P2121,1992-06-15 00:00:00,20,Срочный,TC4203
8042,423ЛЛ930,1994-09-14 00:00:00,10,на фактуру,BU1032
7067,P2121,1992-06-15 00:00:00,20,Срочный,TC7777
