targetid,raceid,driverid,win
49125,769,547,0
58443,559,211,0
51861,805,642,0
58031,551,212,0
48657,736,376,0
49900,750,514,0
42,20,22,0
4528,202,74,0
9510,280,123,0
62349,762,533,0
12773,106,47,0
65978,899,5,0
53879,677,377,0
55708,600,317,0
52800,688,373,1
21398,448,110,0
46903,791,622,0
57185,528,172,0
58911,526,137,0
46592,786,594,0
5263,234,65,0
18906,370,123,0
18739,369,103,0
50851,714,346,0
50294,755,517,0
4324,193,55,0
48329,745,341,0
64945,861,5,0
67875,961,154,0
17531,318,117,0
59088,503,199,1
63780,338,10,0
53028,663,304,0
56306,586,243,0
67651,952,825,0
11064,176,56,0
63597,726,385,0
68362,978,840,0
63598,726,430,0
57328,532,163,0
58871,525,163,0
17271,311,117,0
46960,791,634,0
11582,150,57,0
67898,962,13,0
63376,720,360,0
19127,376,141,0
57261,530,163,0
49600,775,483,0
65404,875,819,0
57078,574,282,0
65128,868,817,0
20927,433,185,0
65990,272,101,0
56773,568,254,0
46391,797,631,0
19535,389,119,0
3414,173,54,0
58524,513,119,0
66537,271,102,0
53033,663,368,0
49269,771,356,0
16421,335,150,0
21302,445,118,0
12243,115,52,0
58282,556,203,0
57890,548,200,0
44634,824,725,0
59393,511,191,0
61956,756,456,0
12502,94,32,0
15924,323,137,0
56689,566,233,0
51567,801,518,0
53990,622,307,0
16170,329,88,0
16459,336,114,0
48544,734,430,0
67899,962,154,0
48539,734,289,1
68422,981,832,0
67259,936,826,0
50303,755,526,0
22834,486,163,0
58626,517,175,0
49566,774,599,0
1329,77,37,0
62385,762,568,0
63599,726,376,0
12297,118,23,0
4592,205,15,0
59053,502,119,0
20831,430,170,0
22537,480,182,0
65032,864,817,0
12557,97,18,0
16331,333,110,0
21787,459,190,0
58067,552,232,0
48092,739,386,0
59347,510,211,0
57664,541,197,0
19891,402,166,0
65597,883,820,0
18947,371,158,0
56334,586,300,0
