constructorresultsid,raceid,constructorid,points,status
3557,322,32,0.0,
664,80,9,0.0,
14981,915,15,0.0,
10337,730,95,2.0,
2020,208,20,4.0,
12287,614,63,0.0,
1629,172,18,0.0,
11742,646,37,6.0,
13736,516,57,0.0,
10793,717,181,4.0,
902,104,15,1.0,
5023,418,34,0.0,
4328,373,33,0.0,
14794,899,9,43.0,
5652,461,25,0.0,
12496,600,74,0.0,
9603,765,105,3.0,
3794,335,25,1.0,
14245,850,205,0.0,
11764,648,6,0.0,
13311,554,27,0.0,
4160,364,42,0.0,
12567,576,3,0.0,
1001,114,4,7.0,
1221,135,1,2.0,
10982,708,170,0.0,
1074,121,15,0.0,
14799,899,5,1.0,
4995,416,27,0.0,
5354,441,54,0.0,
1137,127,18,0.0,
3532,321,22,3.0,
12517,602,26,0.0,
14205,847,15,6.0,
5758,468,54,2.0,
4543,385,35,0.0,
11900,638,6,4.0,
4093,361,37,0.0,
3600,324,45,0.0,
11919,640,200,6.0,
630,77,6,10.0,
10195,738,95,2.0,
3497,319,6,3.0,
3701,330,1,6.0,
13547,536,6,9.0,
746,88,17,0.0,
2122,217,20,1.0,
322,48,11,1.0,
12336,619,37,6.0,
9652,773,118,8.0,
3484,318,17,0.0,
988,113,6,16.0,
3392,313,22,0.0,
12941,563,6,6.0,
4198,366,45,0.0,
1243,137,19,1.0,
11076,690,191,0.0,
2384,241,28,0.0,
13742,517,32,3.0,
1840,191,24,0.0,
5915,478,51,2.0,
12401,594,58,0.0,
11362,676,194,0.0,
1540,164,17,0.0,
145,32,4,10.0,
13452,530,63,0.0,
4104,362,6,6.0,
11832,655,187,4.0,
2054,211,25,2.0,
10205,740,6,9.0,
14886,907,131,43.0,
13348,557,32,6.0,
13094,573,25,6.0,
3242,304,3,0.0,
1909,198,3,3.0,
2652,262,29,0.0,
12373,592,80,1.0,
10391,736,34,3.0,
3693,329,34,0.0,
11278,668,66,0.0,
13972,343,1,43.0,
13531,535,1,4.0,
4439,379,18,0.0,
1626,172,15,0.0,
5924,478,34,0.0,
5761,468,45,0.0,
15567,981,4,0.0,
6317,502,51,0.0,
12966,564,182,0.0,
2872,278,22,0.0,
12077,623,6,6.0,
13955,341,5,1.0,
14519,873,206,0.0,
11881,636,82,2.0,
4998,416,34,0.0,
5098,424,1,4.0,
12112,625,6,0.0,
938,108,1,16.0,
2968,286,6,3.0,
4981,415,18,0.0,
368,52,5,0.0,
4821,403,3,0.0,
15170,942,1,8.0,
6403,508,51,0.0,
1907,198,6,16.0,
14962,913,15,0.0,
3166,299,25,0.0,
2948,284,26,0.0,
2628,260,15,0.0,
13253,551,57,0.0,
2139,219,1,10.0,
5112,425,6,10.0,
12913,561,67,2.0,
12292,614,57,0.0,
181,35,2,0.0,
4553,385,49,0.0,
12808,584,25,1.0,
