country,gdp,agriculture,service,industry,inflation
WG,284.0,10.2,40.3,49.5,3.0
BZ,575.0,30.0,,,2.3
HONX,307600.0,0.0,7.9,92.0,2.1
JA,8200.0,7.9,28.1,64.0,25.5
VIRG,1200.0,,,,
EAK,36800.0,27.0,19.0,54.0,1.7
ARU,2258.0,,,,3.4
IRL,54600.0,6.8,35.3,57.9,2.8
WSA,,,,,
GROX,892.0,,,,1.3
G,6000.0,8.2,44.7,47.1,15.0
EW,12300.0,10.0,37.0,53.0,29.0
UZB,54700.0,,,,7.7
NAM,5800.0,,,,11.0
ROU,24400.0,10.5,27.5,62.0,35.4
CI,21900.0,37.0,24.0,39.0,10.0
DZ,108700.0,12.0,50.0,38.0,28.0
NCA,3158.0,15.0,8.8,76.2,1.4
KOS,3237.0,20.0,20.0,60.0,5.3
GE,6200.0,70.4,10.2,19.4,2.2
WEST,3700.0,33.0,7.0,60.0,14.0
MAYO,953.6,,,,
N,106200.0,2.9,34.7,62.4,2.5
IND,1408700.0,,,,9.0
TL,489.0,32.2,12.8,55.0,7.8
AND,1000.0,,,,
SY,430.0,,,,3.9
ANG,7400.0,12.0,56.0,32.0,20.0
LT,13300.0,20.0,42.0,38.0,35.0
RP,179700.0,22.0,30.0,48.0,8.1
RA,278500.0,6.0,31.0,63.0,1.7
EC,44600.0,13.0,39.0,48.0,25.0
GAZA,1700.0,,,,5.7
MEX,721400.0,8.5,28.4,63.1,52.0
DOM,26800.0,13.0,32.0,55.0,9.5
MAL,193600.0,8.0,25.0,67.0,5.3
GNB,1000.0,44.0,8.0,48.0,15.0
MD,10400.0,33.0,36.0,31.0,24.0
SLO,22600.0,5.3,39.9,54.8,8.0
BIH,1000.0,,,,
SME,1300.0,21.6,23.7,54.7,62.0
CH,158500.0,3.0,33.5,63.5,1.8
FJI,4700.0,22.0,17.0,61.0,2.0
YE,37100.0,21.0,24.0,55.0,71.3
LAO,5200.0,50.0,17.0,33.0,20.0
PAL,81.8,,,,
KIR,68.0,,,,5.5
RC,290500.0,3.6,37.3,59.1,4.0
ETH,24200.0,48.0,15.0,37.0,10.0
SN,14500.0,,,,6.1
DK,112800.0,3.0,23.5,73.5,2.4
MH,94.0,,,,4.0
RL,18300.0,13.0,28.0,59.0,9.0
BRU,4600.0,3.0,42.0,55.0,2.4
COOK,183.2,15.1,9.6,75.3,2.1
TO,228.0,40.0,,,3.0
GUY,1600.0,26.5,27.8,45.7,8.1
GCA,36700.0,25.0,20.0,55.0,9.0
YV,195500.0,5.0,41.0,54.0,57.0
MNG,4900.0,28.0,35.0,37.0,53.0
GR,101700.0,11.8,22.2,66.0,8.1
ZW,18100.0,18.3,35.3,46.4,25.8
AUS,405400.0,3.1,27.7,69.2,4.75
AXA,53.0,,,,4.0
RSM,380.0,,,,5.5
ARM,9100.0,57.0,36.0,7.0,32.2
C,14700.0,7.0,30.0,63.0,
BEN,7600.0,36.8,12.6,50.6,55.0
BR,976800.0,16.0,25.0,59.0,23.0
WAN,135900.0,38.0,22.0,40.0,57.0
BHT,1300.0,,,,8.6
PK,274200.0,24.0,27.0,49.0,13.0
THA,416700.0,10.2,30.6,59.2,5.8
PY,17000.0,25.7,25.8,48.5,10.5
SYR,91200.0,30.0,25.0,45.0,15.1
TAD,6400.0,,,,28.0
L,10000.0,1.4,33.7,64.9,3.6
ET,171000.0,,,,9.4
