sea,country,province
Persian Gulf,UAE,Abu Dhabi
Pacific Ocean,USA,Hawaii
Baltic Sea,S,Vasternorrland
Caribbean Sea,C,Sancti Spiritus
Mediterranean Sea,BIH,Bosnia and Herzegovina
Atlantic Ocean,AXA,Anguilla
Red Sea,SUD,ash Sharqiyah
Sibirian Sea,R,Krasnoyarskiy kray
Atlantic Ocean,ANG,Zaire
Atlantic Ocean,USA,Rhode Island
Baltic Sea,S,Gotland
Atlantic Ocean,CDN,Ontario
Sea of Japan,NOK,North Korea
Norwegian Sea,N,Finnmark
Pacific Ocean,AMSA,American Samoa
East China Sea,J,Saga
Pacific Ocean,PA,Darien
Mediterranean Sea,AL,Albania
Mediterranean Sea,RL,Lebanon
South China Sea,SGP,Singapore
Atlantic Ocean,RA,Santa Cruz
Atlantic Ocean,E,Asturias
Atlantic Ocean,BEN,Benin
Pacific Ocean,MEX,Colima
Gulf of Mexico,MEX,Veracruz
Gulf of Mexico,USA,Florida
Atlantic Ocean,IS,Iceland
Mediterranean Sea,LAR,Libya
Yellow Sea,NOK,North Korea
Pacific Ocean,PA,Chiriqui
Black Sea,UA,Krym
Arctic Ocean,R,Magadanskaya oblast
Atlantic Ocean,GH,Ghana
Atlantic Ocean,KN,Saint Kitts and Nevis
Atlantic Ocean,CDN,Prince Edward Island
Caribbean Sea,CR,Limon
Atlantic Ocean,F,Pays de la Loire
Mediterranean Sea,ET,El Buhayra
Atlantic Ocean,HELX,Saint Helena
Atlantic Ocean,BR,Parana
North Sea,GB,Tyne and Wear
North Sea,NL,Zuid Holland
Atlantic Ocean,IRL,Ireland
Pacific Ocean,SLB,Solomon Islands
Black Sea,TR,Sakarya
Pacific Ocean,NZ,New Zealand
The Channel,GB,West Sussex
Caribbean Sea,TT,Trinidad and Tobago
Sibirian Sea,R,Arkhangelskaya oblast
Mediterranean Sea,MNE,Montenegro
Atlantic Ocean,GBZ,Gibraltar
Pacific Ocean,J,Miyagi
Baltic Sea,S,Uppsala
Skagerrak,N,Akershus
Atlantic Ocean,BR,Paraiba
Atlantic Ocean,GB,Cornwall
Black Sea,TR,Kirklareli
Caribbean Sea,KN,Saint Kitts and Nevis
Pacific Ocean,COOK,Cook Islands
Indian Ocean,SY,Seychelles
Sibirian Sea,R,Rep. of Sakha
Irish Sea,GB,Merseyside
Atlantic Ocean,BR,Rio de Janeiro
Pacific Ocean,PA,Los Santos
Atlantic Ocean,CDN,Manitoba
Atlantic Ocean,USA,New Jersey
Red Sea,JOR,Jordan
Atlantic Ocean,C,Ciego de Avila
Pacific Ocean,J,Aichi
Baltic Sea,EW,Estonia
Indian Ocean,RM,Antananarivo
Pacific Ocean,PITC,Pitcairn Islands
Atlantic Ocean,ANG,Benguela
Pacific Ocean,PE,Lima
Mediterranean Sea,GR,Peloponnisos
Persian Gulf,BRN,Bahrain
Caribbean Sea,CO,Atlantico
Sea of Azov,R,Krasnodarsky kray
Kattegat,S,Goteborg och Bohus
Arctic Ocean,CDN,Northwest Territories
Atlantic Ocean,BR,Sergipe
South China Sea,TJ,Guangdong
Atlantic Ocean,BR,Ceara
The Channel,GB,Hampshire
Norwegian Sea,GROX,Greenland
Caribbean Sea,AG,Antigua and Barbuda
The Channel,F,Nord Pas de Calais
