country1,country2,length
PL,SK,444.0
BG,GR,494.0
ET,LAR,1150.0
MOC,MW,1569.0
BD,MYA,193.0
BY,R,959.0
F,I,488.0
BR,PY,1290.0
MEX,USA,3326.0
EAU,RWA,169.0
NAM,RB,1360.0
DJI,ER,113.0
DZ,TN,965.0
IL,RL,79.0
MW,Z,837.0
BF,RMM,1000.0
B,D,167.0
CO,EC,590.0
A,SLO,324.0
CZ,PL,658.0
BF,RT,126.0
DZ,RMM,1376.0
KOS,SRB,352.0
N,R,167.0
BHT,TJ,470.0
BEN,BF,306.0
IRQ,SA,814.0
KGZ,TAD,870.0
BY,PL,605.0
N,SF,729.0
BG,RO,608.0
A,H,366.0
OM,UAE,410.0
BI,EAT,451.0
EAT,MOC,756.0
K,VN,1228.0
A,CH,164.0
NOK,ROK,238.0
BOL,RCH,861.0
MOC,SD,105.0
G,GQ,350.0
GE,TR,252.0
GUY,SME,600.0
CH,F,573.0
A,CZ,362.0
ANG,RCB,201.0
BY,LV,141.0
D,PL,456.0
KAZ,TM,379.0
FGU,SME,510.0
ARM,AZ,787.0
DZ,MA,1559.0
MOC,ZW,1231.0
AL,KOS,112.0
RA,RCH,5150.0
KWT,SA,222.0
