name,country,population,area,capital,capprov
Sudoueste,CAM,838000,24471.0,Buea,Sudoueste
Dorset,GB,662900,2654.0,Dorchester,Dorset
Qostanay,KAZ,1055300,113900.0,Qostanay,Qostanay
Bie,ANG,1125000,70314.0,Bie,Bie
Moxico,ANG,316000,223023.0,Luena,Moxico
Hordaland,N,399702,,Bergen,Hordaland
Tierra del Fuego,RA,69369,21571.0,Ushuaia,Tierra del Fuego
Missouri,USA,5402058,180514.0,Jefferson City,Missouri
Hampshire,GB,1578700,3777.0,Winchester,Hampshire
Tekirdag,TR,468842,6218.0,Tekirdag,Tekirdag
San Jose,CR,1163943,4960.0,San Jose,San Jose
Valle dAosta,I,118000,3262.0,Aosta,Valle dAosta
Halland,S,257874,5454.0,Halmstad,Halland
Niger,RN,9113001,,Niamey,Niger
Salzburg,A,501000,7154.0,Salzburg,Salzburg
Colima,MEX,488028,5455.0,Colima,Colima
Belize,BZ,219296,,Belmopan,Belize
Veneto,I,4415000,18364.0,Venice,Veneto
Dashhowuz,TM,738000,73600.0,Tashauz,Dashhowuz
California,USA,32268301,411047.0,Sacramento,California
Saarland,D,1084201,2570.0,Saarbrucken,Saarland
Balikesir,TR,973314,14292.0,Balikesir,Balikesir
Canakkale,TR,432263,9737.0,Canakkale,Canakkale
Kaolack,SN,816400,16010.0,Kaolack,Kaolack
Saskatchewan,CDN,990237,651900.0,Regina,Saskatchewan
Rio Negro,RA,506772,203013.0,Viedma,Rio Negro
Herrera,PA,108700,2341.0,Chitre,Herrera
Macedonia,MK,2104035,,Skopje,Macedonia
Cuando Cubango,ANG,130000,199049.0,Menongue,Cuando Cubango
Kayah,MYA,168400,11733.0,Loikaw,Kayah
Bedfordshire,GB,534300,1235.0,Bedford,Bedfordshire
Minas Gerais,BR,16660691,588383.0,Belo Horizonte,Minas Gerais
Mauritania,RIM,2336048,,Nouakchott,Mauritania
Algeria,DZ,29183032,,Algier,Algeria
Gloucestershire,GB,538800,2643.0,Gloucester,Gloucestershire
Madhya Pradesh,IND,66181170,443446.0,Bhopal,Madhya Pradesh
Baja California,MEX,2112140,70113.0,Mexicali,Baja California
Merida,YV,680503,11300.0,Merida,Merida
Sarawak,MAL,1648217,124449.0,Kuching,Sarawak
Astrakhanskaya oblast,R,1028900,44100.0,Astrakhan,Astrakhanskaya oblast
Tanga,EAT,1283600,26808.0,Tanga,Tanga
