country,organization,type
USA,ILO,member
RB,UNIDO,member
ANG,UN,member
GQ,ACCT,member
MNG,AsDB,regional member
RO,WTrO,member
ROK,AfDB,nonregional member
NZ,IFC,member
ET,AL,member
RO,WMO,member
THA,ISO,member
BG,WFTU,member
RCA,UNIDO,member
EAT,WCL,member
RA,MTCR,member
E,WToO,member
AG,G-77,member
EAK,UPU,member
CI,ITU,member
RO,WHO,member
GR,IEA,member
CY,G-77,member
SF,IEA,member
ROU,IOM,member
IRQ,IOC,National Olympic Committee
KWT,WMO,member
BF,ACCT,member
IL,ICAO,member
ARM,IDA,Part II
SK,UNAVEM III,member
SUD,CAEU,member
ZW,ISO,member
B,WToO,member
MW,IDA,Part II
NCA,WMO,member
