abbreviation,name,city,country,province,established
BCIE,Central American Bank for Economic Integration,Tegucigalpa,HCA,Francisco Morazan,1960-12-13
IADB,Inter-American Development Bank,Washington,USA,Distr. Columbia,1959-04-08
MTCR,Missile Technology Control Regime,,,,1987-04-16
ICFTU,International Confederation of Free Trade Unions,Brussels,B,Brabant,1949-12-01
MINURSO,United Nations Mission for the Referendum in Western Sahara,New York,USA,New York,1991-04-29
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-01
G-3,Group of 3,,,,1990-10-01
UNCTAD,United Nations Conference on Trade and Development,Geneva,CH,GE,1964-12-30
UNFICYP,United Nations Force in Cyprus,New York,USA,New York,1964-03-04
BIS,Bank for International Settlements,Basel,CH,BS,1930-01-20
Mercosur,Southern Cone Common Market,Buenos Aires,RA,Distrito Federal,1991-03-26
OIC,Organization of the Islamic Conference,Jeddah,SA,Saudi Arabia,1969-09-22
IBRD,International Bank for Reconstruction and Development,Washington,USA,Distr. Columbia,1944-07-22
ACP,"African, Caribbean, and Pacific Countries",Brussels,B,Brabant,1976-04-01
CACM,Central American Common Market,Guatemala City,GCA,Guatemala,1960-12-13
UNMOGIP,United Nations Military Observer Group in India and Pakistan,New York,USA,New York,1948-08-13
WEU,Western European Union,Brussels,B,Brabant,1954-10-23
IDB,Islamic Development Bank,Jeddah,SA,Saudi Arabia,1973-12-15
G-15,Group of 15,Geneva,CH,GE,
Mekong Group,ASEAN-Mekong Basin Development Group,,,,1995-12-01
NIB,Nordic Investment Bank,Helsinki,SF,Uusimaa,1975-12-04
SADC,Southern African Development Community,Gaborone,RB,Botswana,1992-08-17
UPU,Universal Postal Union,Bern,CH,BE,1874-10-09
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,,,,1981-01-01
IFAD,International Fund for Agricultural Development,Rome,I,Lazio,1974-11-01
LAES,Latin American Economic System,Caracas,YV,Distrito Federal,1975-10-17
IMF,International Monetary Fund,Washington,USA,Distr. Columbia,1944-07-22
AL,Arab League,Cairo,ET,El Qahira,1945-03-22
SACU,Southern African Customs Union,Pretoria,RSA,Gauteng,1969-12-11
IOM,International Organization for Migration,Geneva,CH,GE,1951-12-05
UNITAR,United Nations Institute for Training and Research,,,,1963-12-11
SPF,South Pacific Forum,Suva,FJI,Fiji,1971-08-05
WHO,World Health Organization,Geneva,CH,GE,1946-07-22
ACCT,Agency for Cultural and Technical Cooperation,Paris,F,Ile de France,1970-03-21
CIS,Commonwealth of Independent States,Minsk,BY,Belarus,1991-12-08
EN,Nuclear Energy Agency,,,,1958-01-01
Inmarsat,International Mobile Satellite Organization,London,GB,Greater London,1976-09-03
IFC,International Finance Corporation,Washington,USA,Distr. Columbia,1955-05-25
ECA,Economic Commission for Africa,Addis Ababa,ETH,Ethiopia,1958-04-29
C,Commonwealth,London,GB,Greater London,1931-12-31
UNTSO,United Nations Truce Supervision Organization,Jerusalem,IL,Central,1948-05-01
EFTA,European Free Trade Association,Geneva,CH,GE,1960-01-04
APEC,Asia Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-07
G-24,Group of 24,Brussels,B,Brabant,1972-01-01
Intelsat,International Telecommunications Satellite Organization,Washington,USA,Distr. Columbia,1971-08-20
AMU,Arab Maghreb Union,Rabat,MA,Morocco,1989-02-17
AFESD,Arab Fund for Economic and Social Development,,,,1968-05-16
EADB,East African Development Bank,Kampala,EAU,Uganda,1967-06-06
SPC,South Pacific Commission,Noumea,NCA,New Caledonia,1947-02-06
UN,United Nations,New York,USA,New York,1945-06-26
UNHCR,United Nations Office of the High Commissioner for Refugees,Geneva,CH,GE,1949-12-03
IOC,International Olympic Committee,Lausanne,CH,VD,1894-06-23
WCL,World Confederation of Labor,Brussels,B,Brabant,1920-06-19
IDA,International Development Association,Washington,USA,Distr. Columbia,1960-01-26
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
UNU,United Nations University,,,,1973-12-06
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,Indonesia,1967-08-09
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
OPEC,Organization of Petroleum Exporting Countries,Vienna,A,Vienna,1960-09-14
NSG,Nuclear Suppliers Group,Vienna,A,Vienna,
NC,Nordic Council,Stockholm,S,Stockholm,1952-03-16
CE,Council of Europe,Strasbourg,F,Alsace,1949-05-05
CBSS,Council of the Baltic Sea States,,,,1992-03-05
WIPO,World Intellectual Property Organization,Geneva,CH,GE,1967-07-14
UNOMIG,United Nations Observer Mission in Georgia,New York,USA,New York,
G-9,Group of 9,,,,
UNIKOM,United Nations Iraq-Kuwait Observation Mission,New York,USA,New York,1991-04-09
GCC,Gulf Cooperation Council,Riyadh,SA,Saudi Arabia,1981-05-25
UNIDO,United Nations Industrial Development Organization,Vienna,A,Vienna,1966-11-17
ECOWAS,Economic Community of West African States,Lagos,WAN,Nigeria,1975-05-28
IEA,International Energy Agency,Paris,F,Ile de France,1974-11-15
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
G-10,Group of 10,Paris,F,Ile de France,1962-10-01
UNPROFOR,United Nations Protection Force,New York,USA,New York,1992-02-28
WFTU,World Federation of Trade Unions,Prague,CZ,Praha,1945-10-03
LAIA,Latin American Integration Association,Montevideo,ROU,Uruguay,1980-08-12
UNPREDEP,United Nations Preventive Deployment Force,,,,1995-03-31
UNAVEM III,United Nations Angola Verification Mission,New York,USA,New York,1988-12-20
UNCRO,United Nations Confidence Restoration Operation in Croatia,New York,USA,New York,1995-03-31
FZ,Franc Zone,Paris,F,Ile de France,1945-12-20
UNMIH,United Nations Mission in Haiti,New York,USA,New York,1993-09-23
WADB,West African Development Bank,Lome,RT,Togo,1973-11-14
