country,independence,dependent,government
TT,1962-08-31,,parliamentary democracy
JA,1962-08-06,,parliamentary democracy
PNG,1975-09-16,,parliamentary democracy
BHT,1949-08-08,,monarchy
BIH,1992-04-01,,emerging democracy
NIUE,1974-10-19,,self governing territory in free association with New Zealand
AXA,,GB,British Overseas Territories
SVAX,,N,territory of Norway administered by the Ministry of Industry
EW,1991-09-06,,republic
DK,,,constitutional monarchy
NZ,1907-09-26,,parliamentary democracy
ER,1993-05-27,,transitional government
RCB,1960-08-15,,republic
ETH,,,federal republic
BG,1908-09-22,,emerging democracy
AND,,,parliamentary democracy that retains as its heads of state a coprincipality
WV,1979-10-27,,constitutional monarchy
BEN,1960-08-01,,republic under multiparty democratic rule dropped Marxism Leninism December 1989
GCA,1821-09-15,,republic
UAE,1971-12-02,,federation with specified powers delegated to the UAE central government and other powers reserved to member emirates
MNTS,,GB,British Overseas Territories
WD,1978-11-03,,parliamentary democracy
RI,1945-08-17,,republic
WAN,1960-10-01,,military government
WEST,,,
SF,1917-12-06,,republic
GBG,,GB,British crown dependency
SLB,1978-07-07,,parliamentary democracy
MEX,1810-09-16,,federal republic operating under a centralized government
GUAM,,USA,organized
FGU,,F,overseas department of France
UZB,1991-08-31,,republic
TCH,1960-08-11,,republic
EAT,1964-04-26,,republic
RA,1816-07-09,,republic
VIRG,,,organized
CDN,1867-07-01,,confederation with parliamentary democracy
MW,1964-07-06,,multiparty democracy
GUAD,,F,overseas department of France
RWA,1962-07-01,,republic
,,NL,part of the Dutch realm
SPMI,,F,territorial collectivity of France
GNB,1974-09-10,,republic
MACX,,TJ,special administrative area in China
HCA,1821-09-15,,republic
TUV,1978-10-01,,democracy
PAL,1994-10-01,,constitutional government in free association with the US
Z,1964-10-24,,republic
