desert,country,province
Simpson Desert,AUS,Queensland
Tanezrouft,DZ,Algeria
Nefud,SA,Saudi Arabia
Mojave,USA,Nevada
Azaouad,RN,Niger
Erg Chech,RMM,Mali
Red Centre,AUS,Northern Territory
Tanami,AUS,Northern Territory
Grand Erg Est,TN,Tunisia
Baja California Desert,MEX,Baja California
Sturt Desert,AUS,New South Wales
Syrian Desert,IRQ,Al Anbar
Syrian Desert,SA,Saudi Arabia
Ryn,R,Astrakhanskaya oblast
Ust Urt,KAZ,Mangghystau
Erg Rebiana,LAR,Libya
Syrian Desert,SYR,Syria
Great Sandy Desert,AUS,Western Australia
Sonora,MEX,Chihuahua
Kysylkum,KAZ,Qyzylorda
Dascht-e-Kavir,IR,Semnan
Libyan Desert,ET,Beni Suef
Rub Al Chali,OM,Oman
Kum Tagh,TJ,Xinjiang Uygur
Erg Maqteir,RIM,Mauritania
Rub Al Chali,UAE,Al Fujayrah
Atacama,RCH,Chile
Tenere,TCH,Chad
Mojave,USA,California
Thar,IND,Rajasthan
Karakum,TM,Dashhowuz
