mountain,island
Gunung Binaiya,Ceram
Mt. Giluwe,New Guinea
Andringitra,Madagaskar
Leuser,Sumatra
Snaefell,Iceland
Krakatau,Krakatau
Pinatubo,Luzon
Pelee,Martinique
Pico Duarte,Hispaniola
Mount Apo,Mindanao
Haleakala,Maui
Tambora,Sumbawa
Puncak Jaya,New Guinea
Pulog,Luzon
Merapi,Java
Silisili,Savaii
Mont Orohena,Tahiti
Kerinci,Sumatra
Piton de la Fournaise,Reunion
Mauna Loa,Hawaii
Zhima,Olkhon
Queen Marys Peak,Tristan Da Cunha
Blue Mountain Peak,Jamaica
Cerro de Punta,Puerto Rico
Morne Diablotins,Dominica
Barbeau Peak,Ellesmere Island
Pico,Pico
Mt. Odin,Baffin Island
Gunung Agung,Bali
Kinabalu,Borneo
Monte Cinto,Corse
Pico Ruivo,Madeira
Mt. Wilhelm,New Guinea
Roque de los Muchachos,La Palma
Soufriere Hills,Montserrat
Pico de Teide,Teneriffa
Oraefajokull,Iceland
Tatamailau,Timor
Pico Turquino,Cuba
Rinjani,Lombok
Concepcion,Isla da Ometepe
La Soufriere,Basse-Terre
Popomanaseu,Guadalcanal
Kanlaon,Negros
Psiloritis,Kreta
Ruapehu,Te Ika-a-Maui (North Island)
