name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Detroit River,,Lake Erie,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Karasu,,Lake Keban,,720.0,41.3,49.9,Kurdistan,1950.0,38.75,38.8
Tocantins,,,Atlantic Ocean,2640.0,-49.0,-16.0,,,-48.0,-0.5
Schilka,Amur,,,560.0,111.0,49.8,,,121.48,53.33
Mur,Drau,,,453.0,13.35,47.13,Alps,1898.0,16.88,46.3
Cuilo,Kwa,,,970.0,14.7,-11.3,,,17.4,3.3
Doubs,Saone,,,453.0,6.2,46.7,Jura,937.0,5.0,46.9
Benue,Niger,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Reuss,Aare,Vierwaldstattersee,,164.0,8.54,46.56,Alps,2431.0,8.2371,47.4921
Limpopo,,,Indian Ocean,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Arkansas,Mississippi,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Umeaelv,,Storuman,Baltic Sea,470.0,15.0,66.1,,,20.1,63.5
Akagera,,Lake Victoria,,275.0,29.3,-2.5,East African Rift,2700.0,33.0,-1.0
Narva,,,Baltic Sea,78.0,27.49,58.68,,30.0,28.04,59.46
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
Irtysch,Ob,,,4248.0,90.0,47.9,Altai,2930.0,68.93,61.07
Breg,Donau,,,45.9,8.16,48.1,Black Forest,1078.0,8.52,47.95
Saskatchewan River,,Lake Winnipeg,,1392.0,-123.0,52.5,,1920.0,-97.97,52.77
Merrimack River,,,Atlantic Ocean,177.0,-71.6,43.4,,,-70.8119,42.8194
Black Drin,Drin,,,133.0,20.7,41.0,,695.0,20.4,42.1
Vuoksi,,Ozero Ladoga,,162.0,28.75,61.2,,,31.54,60.81
Oesterdalaelv,Dalaelv,Siljan,,241.0,12.6,62.2,,,15.1,60.7
Uelle,Ubangi,,,1130.0,30.5,2.0,East African Rift,,22.5,4.0
Sobat,White Nile,,,740.0,,,,,31.65,9.63
Enns,Donau,,,254.0,13.35,47.33,Alps,1375.0,14.52,48.24
Lagen,Glomma,Mjoesa-See,,322.0,8.45,62.19,,611.0,11.45,61.1
Saint Lawrence River,,,Atlantic Ocean,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Rhein,,Bodensee,North Sea,1324.0,8.7,46.6,Alps,2345.0,4.0,51.9
Drin,,,Mediterranean Sea,152.0,20.4,42.1,,,19.6,41.8
Tigris,Schatt al Arab,,,1900.0,41.0,38.3,Antitaurus,,47.44,31.0
Ticino,Po,Lago Maggiore,,248.0,8.42,46.475,Alps,2400.0,9.235,45.14
Mekong,,,South China Sea,4350.0,94.0,32.5,,5200.0,107.0,9.0
Truckee River,,Pyramid Lake,,225.0,-120.0,39.0,,1900.0,-119.43,39.85
Saar,Mosel,,,227.0,7.15,48.5,Vogesen,640.0,6.6,49.7
Loire,,,Atlantic Ocean,1013.0,4.22,44.84,Cevennes,1408.0,-2.18,47.27
Morava,Donau,,,185.0,21.4,43.7,,,21.1,44.6
Ob,,,Sibirian Sea,3650.0,85.0,52.43,,162.0,71.35,66.48
Pibor,Sobat,,,,,,,,,
Ammer,Isar,Ammersee,,168.0,11.05,47.57,Alps,850.0,11.96,48.5
Schari,,Chad Lake,,1400.0,21.0,8.0,,,14.0,13.2
Saluen,,,Andaman Sea,2980.0,91.9,32.5,,5450.0,97.5,17.0
Uruguay,,,Atlantic Ocean,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Aller,Weser,,,211.0,11.23,52.1,,130.0,9.18,52.94
Ganges,,,Gulf of Bengal,2511.0,79.5,30.5,,,90.0,22.0
Paraguay,Parana,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Swir,,Ozero Ladoga,,224.0,35.49,60.99,,33.0,32.79,60.51
Amur,,,Sea of Okhotsk,2824.0,121.48,53.33,,305.0,140.73,53.1
Marne,Seine,,,514.0,5.35,47.8,,406.0,2.4,48.8
Kwa,Zaire,,,100.0,17.4,3.3,,,16.1967,-3.1765
Maas,,,North Sea,925.0,5.63,47.97,,409.0,4.67,51.72
Senegal,,,Atlantic Ocean,1430.0,-12.0,11.5,,,-16.5,15.96
Volta,,Lake Volta,Atlantic Ocean,1500.0,-4.5,11.0,,,0.68,5.77
Oulujoki,,,Baltic Sea,107.0,27.25,64.3,,123.0,25.2,65.3
Indus,,,Arabian Sea,3180.0,79.7,32.45,,5300.0,67.4,24.0
Missouri,Mississippi,Fort Peck Lake,,4130.0,-111.5,45.9,,1232.0,-90.12,38.81
Orinoco,,,Atlantic Ocean,2140.0,-63.5,2.0,Sierra Parima,,-62.0,9.0
Hwangho,,,Yellow Sea,4845.0,96.2,35.3,,4500.0,119.14,37.74
Oka,Volga,,,1480.0,36.1,52.5,,,44.0,56.3
Lukenie,Fimi,,,900.0,24.5,-6.8,,,16.9,3.0
Riviere Richelieu,Saint Lawrence River,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Tobol,Ob,,,1591.0,60.8,51.2,Ural,,68.25,58.2
Seine,,,The Channel,776.0,4.71,47.48,,470.0,0.1,49.42
Wurm,Ammer,Starnberger See,,35.0,11.35,48.0,,596.0,11.5,48.3
Katun,Ob,,,688.0,86.56,49.75,Altai,2000.0,85.0,52.43
Western Dwina,,,Baltic Sea,1020.0,34.0,56.0,Waldai Hills,228.0,24.1,57.0
Newa,,,Baltic Sea,74.0,31.53,60.82,,4.0,30.17,59.95
Weichsel,,,Baltic Sea,1047.0,19.01,49.61,Beskides,1100.0,18.95,54.36
Limmat,Aare,,,36.3,8.64,47.23,,406.0,8.23631,47.5018
Niagara River,,Lake Ontario,,58.0,-78.9,42.9,,174.0,79.1,43.25
Oder,,,Baltic Sea,866.0,17.52,49.61,Sudety Mountains,634.0,14.59,53.6
