name,mountains,height,type,longitude,latitude
Merapi,,2914.0,volcano,110.4,-7.5
Clingmans Dome,Appalachen,2025.0,,-83.2,35.3
Ojos del Salado,Andes,6893.0,volcano,-68.5,-27.1
Mt Bona,Elias Range,5005.0,,-141.75,61.4
Kasbek,Kaukasus,5033.0,volcanic,44.31,42.42
Mt Rainier,Cascade Range,4392.0,volcano,-121.75,46.5
Moncayo,Cordillera Iberica,2313.0,,1.85,41.8
Marmolata,Alps,3343.0,,11.85,46.4
Mt. Cook,New Zealand Alps,3754.0,,170.2,-43.6
Grand Ballon,Vosges,1424.0,,7.1,47.9
Kljutschewskaja Sopka,Kamchatka,4750.0,volcano,160.6,56.1
Fujisan,,3776.0,volcano,139.0,35.0
Cotopaxi,Andes,5897.0,volcano,-78.4,-0.7
Morne Diablotins,,1447.0,volcano,-61.4,15.5
Zard Kuh,Zagros,4550.0,,50.1,32.35
Mount Apo,,2954.0,volcanic,125.45,7.0
Tupungato,Andes,6550.0,volcano,-69.87,-33.35
Tambora,,2850.0,volcano,118.0,-8.2
Monte Rosa,Alps,4634.0,,7.9,45.9
Popomanaseu,,2335.0,volcanic,160.1,-9.7
Ampato,Andes,6288.0,volcano,-71.9,-15.8
Llullaillaco,Andes,6739.0,volcano,-68.5,-24.7
Monte Pissis,Andes,6795.0,volcanic,-68.85,-27.8
Tahat,Ahaggar,3003.0,volcanic,5.5,23.3
Mount Everest,Himalaya,8848.0,,86.9,28.0
Pico de Sao Tome,,2024.0,volcanic,6.6,0.2
Tarrekaise,,1850.0,,17.3,67.0
Mt McKinley,Alaska Range,6193.0,,-151.0,63.1
Hochgolling,Alps,2862.0,,13.75,47.3
Pico de Almanzor,Cordillera Central,2648.0,,-5.3,40.25
Mt Logan,Elias Range,5959.0,,-140.4,60.6
Rantekombola,,3455.0,volcanic,120.0,-3.6
Tsiafajavona,,2642.0,volcanic,47.2,-19.3
Aconcagua,Andes,6962.0,,-70.0,-32.65
Pico,Azores,2351.0,volcano,-28.4,38.5
Grossglockner,Alps,3797.0,,12.5,47.0
Mt. Balbi,,2715.0,volcanic,155.0,-5.9
Djebel Aures,Rif,2456.0,,-6.5,35.5
Torre de Estrela,Cordillera Central,1993.0,,-7.6,40.3
Haleakala,Hawaii,3055.0,volcano,-156.25,20.7
Mont Blanc,Alps,4808.0,,6.8,45.8
La Soufriere,,1467.0,volcano,-61.65,16.05
Kinabalu,,4101.0,granite,116.5,6.1
Dodabetta,West Ghats,2636.0,,76.7,11.4
Jostedalsbre,,2083.0,,5.5,61.4
Pik Revoluzija,Pamir,6974.0,,72.2,38.3
Kangchendzonga,Himalaya,8586.0,,88.1,27.7
Licancabur,Andes,5920.0,volcano,-67.9,-22.8
Oraefajokull,,2110.0,volcano,64.0,16.39
Dhaulagiri,Himalaya,8167.0,,83.5,28.7
Annapurna,Himalaya,8091.0,,83.8,28.6
Katla,,1450.0,volcano,-19.0,63.6
Sarektjokko,,2090.0,,17.4,67.3
Changbai Shan,Changbai,2744.0,,128.1,42.0
Mt. Odin,Penny Highlands,2147.0,,-65.6,66.55
Nevado de Colima,Cordillera Volcanica,4330.0,volcano,-104.0,20.0
Barre des Ecrins,Alps,4101.0,,6.3,44.9
Huascaran,Cordillera Blanca,6768.0,,-77.3,-9.0
Uluru,,869.0,monolith,131.0,-25.3
Olymp,,2917.0,,22.35,40.1
Ben Nevis,Grampians,1344.0,,-5.0,56.8
Musala,Balkan,2925.0,,23.6,42.2
Haltiatunturi,,1328.0,,21.4,67.0
