river,country,province
Akagera,EAT,Mwanza
Victoria Nile,EAU,Uganda
Ounasjoki,SF,Lappia
Jangtse,TJ,Jiangsu
Shabelle,SP,Somalia
Enns,A,Styria
Thames,GB,Essex
Paatsjoki,R,Murmanskaya oblast
Blue Nile,SUD,al Khartum
Bahr el-Djebel/Albert-Nil,SUD,Aali an Nil
Enns,A,Salzburg
Saluen,MYA,Mon
March,A,Lower Austria
Seine,F,Haute Normandie
Tshuapa,ZRE,Equateur
Pruth,MD,Moldova
Western Morava,SRB,Serbia
Salzach,A,Salzburg
Rio San Juan,NIC,Nicaragua
Missouri,USA,Missouri
White Nile,SUD,al Khartum
Angara,R,Krasnoyarskiy kray
Limpopo,MOC,Gaza
Maas,NL,Noord Brabant
Schari,CAM,Nord extreme
Rio Negro,BR,Amazonas
Colorado,MEX,Sonora
Rio Lerma,MEX,"Mexico, Estado de"
Chire,MOC,Zambezia
Mincio,I,Veneto
Main,D,Hessen
Breg,D,Baden Wurttemberg
Vuoksi,R,Rep. of Karelia
Saint Lawrence River,CDN,Quebec
