name,code,capital,province,area,population
Trinidad and Tobago,TT,Port-of-Spain,Trinidad and Tobago,5130.0,1272385
Marshall Islands,MH,Majuro,Marshall Islands,181.3,58363
Morocco,MA,Rabat,Morocco,446550.0,29779156
Sweden,S,Stockholm,Stockholm,449964.0,8900954
Cameroon,CAM,Yaounde,Centre,475440.0,14261557
Kiribati,KIR,Tarawa,Kiribati,717.0,80919
Gaza Strip,GAZA,,,360.0,813332
Saint Pierre and Miquelon,SPMI,Saint-Pierre,Saint Pierre and Miquelon,242.0,6809
Cook Islands,COOK,Avarua,Cook Islands,240.0,11870
Solomon Islands,SLB,Honiara,Solomon Islands,28450.0,412902
Ghana,GH,Accra,Ghana,238540.0,17698271
Puerto Rico,PR,San Juan,Puerto Rico,8870.0,3971020
United Arab Emirates,UAE,Abu Dhabi,Abu Dhabi,75581.0,3057337
Uzbekistan,UZB,Tashkent,Toshkent,447400.0,23418381
Netherlands Antilles,,Willemstad,Netherlands Antilles,960.0,227049
Kazakstan,KAZ,Almaty,Almaty (munic.),2717300.0,16916463
Belarus,BY,Minsk,Belarus,207600.0,10415973
Sao Tome and Principe,STP,Sao Tome,Sao Tome and Principe,1001.0,144128
Vanuatu,VU,Port-Vila,Vanuatu,14760.0,177504
Mongolia,MNG,Ulaanbaatar,Mongolia,1565000.0,2496617
Burkina Faso,BF,Ouagadougou,Burkina Faso,274200.0,10623323
Timor-Leste,TL,Dili,Timor-Leste,15007.0,1131612
French Guiana,FGU,Cayenne,French Guiana,91000.0,151187
Netherlands,NL,Amsterdam,Noord Holland,37330.0,15568034
Switzerland,CH,Bern,BE,41290.0,7207060
Iran,IR,Tehran,Tehran,1648000.0,66094264
India,IND,New Delhi,Delhi,3287590.0,952107694
Zimbabwe,ZW,Harare,Zimbabwe,390580.0,11271314
Egypt,ET,Cairo,El Qahira,1001450.0,63575107
Malaysia,MAL,Kuala Lumpur,Fed. Terr. of Kuala Lumpur,329750.0,19962893
Croatia,HR,Zagreb,Croatia,56538.0,5004112
Armenia,ARM,Yerevan,Armenia,29800.0,3463574
Barbados,BDS,Bridgetown,Barbados,430.0,257030
Myanmar,MYA,Rangoon,Yangon,678500.0,45975625
Haiti,RH,Port-au-Prince,Haiti,27750.0,6731539
Ireland,IRL,Dublin,Ireland,70280.0,3566833
Zambia,Z,Lusaka,Lusaka,752610.0,9159072
Russia,R,Moscow,Moskva,17075200.0,148178487
Guadeloupe,GUAD,Basse-Terre,Guadeloupe,1780.0,407768
Liberia,LB,Monrovia,Liberia,111370.0,2109789
Faroe Islands,FARX,Torshavn,Faroe Islands,1400.0,43857
Slovakia,SK,Bratislava,Slovakia,48845.0,5374362
Anguilla,AXA,The Valley,Anguilla,102.0,14436
Saint Martin,SMAR,Marigot,Saint Martin,54.0,29820
Greenland,GROX,Nuuk,Greenland,2175600.0,58203
Paraguay,PY,Asuncion,Paraguay,406750.0,5504146
Seychelles,SY,Victoria,Seychelles,455.0,77575
Guatemala,GCA,Guatemala City,Guatemala,108890.0,11277614
Norfolk Island,NORF,Kingston,Norfolk Island,34.6,2209
Colombia,CO,Bogota,"Santa Fe de Bogota, DC",1138910.0,36813161
Saint Lucia,WL,Castries,Saint Lucia,620.0,157862
Brunei,BRU,Bandar Seri Begawan,Brunei,5770.0,299939
Cayman Islands,CAYM,George Town,Cayman Islands,262.0,49035
Christmas Island,XMAS,Flying Fish Cove,Christmas Island,135.0,1402
Pitcairn Islands,PITC,Adamstown,Pitcairn Islands,47.0,48
Latvia,LV,Riga,Latvia,64100.0,2468982
Nepal,NEP,Kathmandu,Nepal,140800.0,22094033
Martinique,MART,Fort-de-France,Martinique,1128.0,399151
Central African Republic,RCA,Bangui,Central African Republic,622980.0,3274426
Ukraine,UA,Kiev,Kyyivska,603700.0,50864009
Vietnam,VN,Hanoi,Vietnam,329560.0,73976973
Indonesia,RI,Jakarta,Indonesia,1919440.0,206611600
Moldova,MD,Chisinau,Moldova,33700.0,4463847
Kenya,EAK,Nairobi,Nairobi,582650.0,28176686
Bangladesh,BD,Dhaka,Bangladesh,144000.0,123062800
Tonga,TO,Nukualofa,Tonga,748.0,106466
Lebanon,RL,Beirut,Lebanon,10400.0,3776317
Guam,GUAM,Agana,Guam,541.3,178430
West Bank,WEST,,,5860.0,1427741
Norway,N,Oslo,Oslo,324220.0,4383807
Estonia,EW,Tallinn,Estonia,45100.0,1459428
Honduras,HCA,Tegucigalpa,Francisco Morazan,112090.0,5605193
Botswana,RB,Gaborone,Botswana,600370.0,1477630
Niue,NIUE,Alofi,Niue,260.0,1398
Cuba,C,Havana,Ciudad de la Habana,110860.0,10951334
Brazil,BR,Brasilia,Distrito Federal,8511960.0,162661214
Togo,RT,Lome,Togo,56790.0,4570530
American Samoa,AMSA,Pago Pago,American Samoa,199.0,65628
El Salvador,ES,San Salvador,El Salvador,21040.0,5828987
Burundi,BI,Bujumbura,Burundi,27830.0,5943057
Liechtenstein,FL,Vaduz,Liechtenstein,160.0,31122
United Kingdom,GB,London,Greater London,244820.0,58489975
Namibia,NAM,Windhoek,Namibia,825418.0,1677243
North Korea,NOK,Pyongyang,North Korea,120540.0,23904124
Antigua and Barbuda,AG,Saint Johns,Antigua and Barbuda,442.0,65647
Sudan,SUD,Khartoum,al Khartum,2505810.0,31547543
Aruba,ARU,Oranjestad,Aruba,193.0,103065
