mountain,country,province
Manaslu,NEP,Nepal
Sarektjokko,S,Norrbotten
Yu Shan,RC,Taiwan
Aconcagua,RA,Mendoza
Grand Ballon,F,Alsace
Gunung Agung,RI,Indonesia
Monte Falterona,I,Toscana
Mantalingajan,RP,Philippines
Korab,AL,Albania
GerlachovskyStit,SK,Slovakia
Schneekoppe,PL,Walbrzyskie
Fujisan,J,Yamanashi
Mont Blanc,F,Rhone Alpes
Ojos del Salado,RA,Tucuman
Sulitjelma,S,Norrbotten
Mt. Bogong,AUS,Victoria
Kenia,EAK,Eastern
Gasherbrum II,TJ,Xinjiang Uygur
Snoehetta,N,Oppland
Changbai Shan,NOK,North Korea
Rantekombola,RI,Indonesia
Makalu,NEP,Nepal
Kangchendzonga,NEP,Nepal
Ruwenzori,ZRE,Kivu
Nevado del Huila,CO,Huila
Gasherbrum I,PK,Pakistan
Zard Kuh,IR,Chahar Mahal e Bakhtiari
GranParadiso,I,Valle dAosta
Ausangate,PE,Cuzco
Haltiatunturi,SF,Lappia
Fujisan,J,Shizuoka
Pico Duarte,DOM,Dominican Republic
Mt Marcy,USA,New York
Mt McKinley,USA,Alaska
Korab,MK,Macedonia
Pico Basile,GQ,Equatorial Guinea
Barre des Ecrins,F,Rhone Alpes
Popocatepetl,MEX,Puebla
Coropuna,PE,Arequipa
Elgon,EAU,Uganda
Jabal Shuayb,YE,Yemen
Pidurutalagala,CL,Sri Lanka
