lake,country,province
Lake Genezareth,SYR,Syria
Balaton,H,Somogy
Lake Tanganjika,ZRE,Shaba/Katanga
Makarikari Salt Pan,RB,Botswana
Caspian Sea,R,Rep. of Kalmykiya
Lake Winnipeg,CDN,Manitoba
Laguna Mar Chiquita,RA,Santiago de Estero
Lake Malawi,MOC,Niassa
Vaenern,S,Skaraborg
Vaettern,S,Ostergotland
Chiemsee,D,Bayern
Balaton,H,Veszprem
Lake Victoria,EAU,Uganda
Caspian Sea,KAZ,Atyrau
Lake Rukwa,EAT,Tabora
Lake Tanganjika,BI,Burundi
Ozero Onega,R,Vologodskaya oblast
Lake Eyre,AUS,South Australia
Lake Van,TR,Bitlis
Kallavesi,SF,Kuopio
Lake Victoria,EAK,Nyanza
Chew Bahir,ETH,Ethiopia
Lake Manitou,CDN,Ontario
Lago Trasimeno,I,Umbria
Ozero Chanka,R,Primorsky kray
Chickamauga Lake,USA,Tennessee
Lake Prespa,GR,Dhytiki Makedhonia
Lake Volta,GH,Ghana
Lake Erie,CDN,Ontario
Ozero Ladoga,R,Leningradskaya oblast
Lake Kainji,WAN,Nigeria
Lake Kariba,ZW,Zimbabwe
Atlin Lake,CDN,Yukon Territory
Lake Maracaibo,YV,Trujillo
Caspian Sea,IR,Mazandaran
Lake Sakakawea,USA,Montana
Lake Victoria,EAT,Kagera
Lake Tanganjika,EAT,Mbeya
Lake Mweru,ZRE,Shaba/Katanga
Lake Tanganjika,EAT,Kigoma
Ozero Tschany,R,Novosibirskaya oblast
Kentucky Lake,USA,Tennessee
Bodensee,D,Baden Wurttemberg
Lago di Garda ,I,Lombardia
Bodensee,CH,TG
Hamun e Jaz Murian,IR,Kerman
Ozero Balchash,KAZ,Zhambyl
Caspian Sea,AZ,Azerbaijan
Lake Champlain,USA,New York
Lake Keban,TR,Malatya
Loch Lomond,GB,Highland
Lac Leman,F,Rhone Alpes
Ozero Baikal,R,Irkutskaya oblast
Ozero Taimyr,R,Krasnoyarskiy kray
Lac Leman,CH,GE
Lake Tahoe,USA,Nevada
Lake Genezareth,IL,North
Dead Sea,IL,South
Vierwaldstattersee,CH,UR
Lake Kivu,ZRE,Kivu
Ozero Onega,R,Rep. of Karelia
Paeijaenne,SF,Suomi
Maelaren,S,Stockholm
Ozero Aral,UZB,Qaraqalpoghiston
Lake Hume,AUS,Victoria
Lake Skutari,MNE,Montenegro
Ozero Balchash,KAZ,Taldyqorghan
