name,islands,area,height,type,longitude,latitude
Grand Comoro,Comores,1148.0,,,43.4,-11.7
Cebu,Phillipines,5088.0,1000.0,,123.8,10.4
Lavan,,76.0,,,53.1,26.5
Pico,Azores,442.0,2351.0,volcanic,-28.4,38.5
Sicilia,,25462.0,3323.0,,14.0,37.0
Prince of Wales Island,Canadian Arctic Islands,33339.0,,,-98.55,72.6
Borkum,Ostfriesische Inseln,31.0,6.0,,6.7,53.6
Arran,Inner Hebrides,430.0,874.0,,-5.5,55.3
Anglesey,British Isles,715.0,,,-4.4,53.3
Paramuschir,Curiles,2042.0,1816.0,volcanic,155.75,50.5
East Falkland,Falkland Islands,6605.0,705.0,,-58.8,-51.8
Grenada,Lesser Antilles,344.0,840.0,volcanic,-62.0,12.0
Isabela,Galapagos,5436.0,1707.0,volcanic,-91.3,-1.0
Sao Miguel,Azores,747.0,,volcanic,-25.5,37.7
North Caicos,Turks and Caicos Islands,,20.0,,-72.1,22.1
Jersey,Channel Islands,117.0,,,-2.1,49.2
Ikaria,Sporades,255.0,1037.0,,26.2,37.6
Fuenen,,2976.0,,,10.25,55.35
Rhodos,Sporades,1401.0,1215.0,,28.0,36.2
Bangka,Sunda Islands,11942.0,700.0,,106.0,2.25
Grand Bermuda,Bermuda Islands,53.3,79.0,coral,-64.47,32.17
Great Britain,British Isles,229850.0,1344.0,,-1.5,53.0
Mindanao,Phillipines,95581.0,2954.0,,124.9,7.55
Amrum,Nordfriesische Inseln,20.5,32.0,,8.3,54.65
Banks Island,Canadian Arctic Islands,70028.0,,,-122.1,72.85
Tongatapu,Tonga Islands,260.0,65.0,coral,-175.15,-21.2
Efate,Vanuatu,900.0,647.0,,168.4,-17.8
Okinawa,Japan,2255.0,,volcanic,128.0,26.0
Manitoulin,,2766.0,,,-82.2,45.75
Helgoland,,1.7,61.3,,7.9,54.2
Ibiza,Baleares,572.0,476.0,,1.5,38.5
Te Waka-a-Maui (South Island),New Zealand,151757.0,3754.0,,170.4,-44.0
Flores,Azores,143.0,914.0,volcanic,-31.2,39.5
Montserrat,Lesser Antilles,102.0,1050.0,volcanic,-62.13,16.42
Mull,Inner Hebrides,910.0,,,6.0,56.3
Mohilla,Comores,290.0,,,43.75,-12.25
Santa Rosa Island,Californian Channel Islands,215.0,484.0,,-120.1,34.0
Ponape,Micronesian Islands,336.0,782.0,volcanic,158.2,6.85
Linosa,,5.0,195.0,volcanic,13.85,35.85
South Uist,Outer Hebrides,320.0,,,-7.2,57.2
Teneriffa,Canares,2034.0,3718.0,volcanic,-16.6,28.3
Cuba,Greater Antilles,105806.0,1974.0,,-79.0,22.0
Lanai,Hawaii Islands,364.0,1027.0,,-157.0,20.5
Pemba,,984.0,,,39.7,-5.2
Mahe,Seychelles,154.0,905.0,,55.5,-4.65
Dagoe,,965.0,,,22.7,58.8
Lolland,,1241.0,,,11.5,54.4
Sri Lanka,,65610.0,,,80.0,7.0
Menorca,Baleares,760.0,358.0,,4.0,40.0
Streymoy,Faroe Islands,373.0,789.0,,-7.0,62.0
Madeira,Madeira,794.0,1861.0,volcanic,-16.0,31.0
Panarea,Lipari Islands,3.4,421.0,volcanic,15.05,38.65
Leyte,Phillipines,7368.0,,,124.9,11.0
Shikoku,Japan,18000.0,1965.0,volcanic,134.0,34.0
Lombok,Sunda Islands,4725.0,3726.0,volcanic,116.5,-8.4
Palawan,Phillipines,11785.0,2085.0,,118.4,9.5
Lipari,Lipari Islands,37.5,602.0,volcanic,14.95,38.5
Khark,,20.5,,,50.2,29.1
Vanua Levu,Fiji Islands,5500.0,,volcanic,179.25,-16.35
Malta,Malta,246.0,252.0,,14.5,35.9
Hainan,,34380.0,1897.0,,109.6,19.1
Bougainville,Solomon Islands,8800.0,2715.0,,155.25,-6.2
Kefallinia,Ionic Islands,689.0,1628.0,,20.6,38.2
Barbados,Lesser Antilles,430.0,336.0,lime,-59.3,13.0
Ireland,British Isles,84421.0,1041.0,,-7.8,53.5
Guam,Mariana Islands,541.0,,coral,144.7,13.4
Pellworm,Nordfriesische Inseln,37.4,2.0,,8.6,54.5
Melville Island,,5800.0,,,131.0,-12.0
Majuro,Marshall Islands,9.2,,atoll,171.4,7.1
New Providence,Bahama Islands,207.0,,,-77.4,25.0
Gotland,,3140.0,,,18.5,57.5
Saint Thomas,Lesser Antilles,31.0,,,-64.9,18.3
Nantucket,,125.0,,,-70.1,41.5
Osterinsel,,163.0,,volcanic,-109.35,-27.1
Tahiti,Polynesian Islands,1045.0,2241.0,volcanic,-149.34,-17.32
Jura,Inner Hebrides,367.0,785.0,,-6.0,56.0
Tobago,Lesser Antilles,301.0,576.0,,-60.7,11.25
Guadalcanal,Solomon Islands,5358.0,2335.0,,160.2,-9.6
Baffin Island,Canadian Arctic Islands,507451.0,2147.0,,72.0,69.0
Fongafale,Ellice Islands,2.8,,atoll,179.1,-8.5
