city,province,country,river,lake,sea
Mostaganem,Algeria,DZ,,,Mediterranean Sea
Petropavl,Soltustik Qazaqstan,KAZ,Ischim,,
New Haven,Connecticut,USA,,,Atlantic Ocean
Steinkjer,Nord Trondelag,N,,,Norwegian Sea
Sao Vicente,Sao Paulo,BR,,,Atlantic Ocean
Reading,Berkshire,GB,Thames,,
Wiesbaden,Hessen,D,Rhein,,
Braila,Braila,RO,Donau,,
Qyzylorda,Qyzylorda,KAZ,Syrdarja,,
Khabarovsk,Khabarovskiy kray,R,Amur,,
Zhenjiang,Jiangsu,TJ,Jangtse,,
Yaroslavl,Yaroslavskaya oblast,R,Volga,,
Halmstad,Halland,S,,,Kattegat
Erzurum,Erzurum,TR,Karasu,,
Port-Vila,Vanuatu,VU,,,Pacific Ocean
El Paso,Texas,USA,Rio Grande,,
Tel Aviv,Tel Aviv,IL,,,Mediterranean Sea
Haifa,Haifa,IL,,,Mediterranean Sea
Jefferson City,Missouri,USA,Missouri,,
Haeju,North Korea,NOK,,,Yellow Sea
Port Sudan,ash Sharqiyah,SUD,,,Red Sea
Gaza,Gaza Strip,GAZA,,,Mediterranean Sea
Cincinnati,Ohio,USA,Ohio River,,
Nuevo Laredo,Tamaulipas,MEX,Rio Grande,,
Alicante,Valencia,E,,,Mediterranean Sea
Yinchuan,Ningxia Huizu,TJ,Hwangho,,
Zamboanga,Philippines,RP,,,Sulawesi Sea
New York,New York,USA,Hudson River,,Atlantic Ocean
Marsa Matruh,Matruh,ET,,,Mediterranean Sea
Taitung,Taiwan,RC,,,Pacific Ocean
Hobart,Tasmania,AUS,,,Pacific Ocean
La Laguna,Canary Islands,E,,,Atlantic Ocean
Rome,Lazio,I,Tiber,,
Joao Pessoa,Paraiba,BR,,,Atlantic Ocean
Santarem,Santarem,P,Tajo,,
Sunshine Coast,New South Wales,AUS,,,Pacific Ocean
Korfu,Ionioi Nisoi,GR,,,Mediterranean Sea
Stuttgart,Baden Wurttemberg,D,Neckar,,
Tetouan,Morocco,MA,,,Mediterranean Sea
Dzerzhinsk,Nizhegorodskaya oblast,R,Oka,,
Resistencia,Chaco,RA,Parana,,
Reynosa,Tamaulipas,MEX,Rio Grande,,
Bamako,Mali,RMM,Niger,,
Saint Georges,Grenada,WG,,,Caribbean Sea
Schaffhausen,SH,CH,Rhein,,
Male,Maldives,MV,,,Indian Ocean
Ingolstadt,Bayern,D,Donau,,
Charlotte Amalie,Virgin Islands,VIRG,,,Caribbean Sea
Quebec,Quebec,CDN,Saint Lawrence River,,
Manaus,Amazonas,BR,Rio Negro,,
Ust Ilimsk,Irkutskaya oblast,R,Angara,,
Nantong,Jiangsu,TJ,Jangtse,,
Phnom Penh,Cambodia,K,Mekong,,
Natal,Rio Grande do Norte,BR,,,Atlantic Ocean
Molde,Moere og Romsdal,N,,,Norwegian Sea
Komsomolsk na Amure,Khabarovskiy kray,R,Amur,,
Sydney,New South Wales,AUS,,,Pacific Ocean
Palikir,Micronesia,FSM,,,Pacific Ocean
Safi,Morocco,MA,,,Atlantic Ocean
Bandar Lampung,Indonesia,RI,,,Indian Ocean
Magdeburg,Sachsen Anhalt,D,Elbe,,
Yokohama,Kanagawa,J,,,Pacific Ocean
Dresden,Sachsen,D,Elbe,,
Niigata,Niigata,J,,,Sea of Japan
Okhotsk,Magadanskaya oblast,R,,,Sea of Okhotsk
Pangkal Pinang,Indonesia,RI,,,South China Sea
Poole,Dorset,GB,,,The Channel
Fareham,Hampshire,GB,,,The Channel
Yingkou,Liaoning,TJ,,,Yellow Sea
Venice,Veneto,I,,,Mediterranean Sea
Aomori,Aomori,J,,,Sea of Japan
Shizuoka,Shizuoka,J,,,Pacific Ocean
Stamford,Connecticut,USA,,,Atlantic Ocean
Muscat,Oman,OM,,,Gulf of Oman
Lappeenrenta,Kymi,SF,,Saimaa,
Algeciras,Andalusia,E,,,Mediterranean Sea
Gdynia,Gdanskie,PL,,,Baltic Sea
Galati,Galati,RO,Donau,,
Tours,Centre,F,Loire,,
Cherkasy,Cherkaska,UA,Dnepr,,
Brisbane,Queensland,AUS,,,Pacific Ocean
Arkhangelsk,Arkhangelskaya oblast,R,Northern Dwina,,Barents Sea
Ermoupoli,Notion Aiyaion,GR,,,Mediterranean Sea
Petropavlovsk Kamchatsky,Kamchatskaya oblast,R,,,Pacific Ocean
Kristiansand,Vest Agder,N,,,Skagerrak
Banda Aceh,Indonesia,RI,,,Andaman Sea
Helwan,El Qahira,ET,Nile,,
