island,country,province
Fogo,CV,Cape Verde
Kyushu,J,Fukuoka
Kyushu,J,Saga
Borneo,MAL,Sarawak
Prince Edward Island,CDN,Prince Edward Island
Great Britain,GB,Kent
Anguilla,AXA,Anguilla
Great Britain,GB,Northumberland
Dagoe,EW,Estonia
Greenland,GROX,Greenland
Krakatau,RI,Indonesia
Ireland,GB,Northern Ireland
Hierro,E,Canary Islands
Sardegna,I,Sardegna
Tortola,BVIR,British Virgin Islands
Santa Cruz Island,USA,California
Southampton Island,CDN,Northwest Territories
Olkhon,R,Rep. of Buryatiya
Usedom,PL,Szczecinskie
Rarotonga,COOK,Cook Islands
Great Britain,GB,Torfaen
Okinawa,J,Okinawa
Efate,VU,Vanuatu
Antigua,AG,Antigua and Barbuda
Great Britain,GB,Pembrokeshire
Great Britain,GB,Highland
Christmas Island,XMAS,Christmas Island
Sulawesi,RI,Indonesia
Lewis and Harris,GB,Outer Hebrides
Great Britain,GB,Neath and Port Talbot
Kyushu,J,Nagasaki
