city,province,country,island
Yungho,Taiwan,RC,Taiwan
Gloucester,Gloucestershire,GB,Great Britain
Kofu,Yamanashi,J,Honshu
Naha,Okinawa,J,Okinawa
Chungho,Taiwan,RC,Taiwan
Stockport,Greater Manchester,GB,Great Britain
Tsu,Mie,J,Honshu
Fort-de-France,Martinique,MART,Martinique
Belfast,Northern Ireland,GB,Ireland
Utsonomiya,Tochigi,J,Honshu
Yokohama,Kanagawa,J,Honshu
Ciego de Avila,Ciego de Avila,C,Cuba
Pingtung,Taiwan,RC,Taiwan
Newcastle upon Tyne,Tyne and Wear,GB,Great Britain
Kawasaki,Kanagawa,J,Honshu
Probolinggo,Indonesia,RI,Java
Saint Georges,Grenada,WG,Grenada
Sanya,Hainan,TJ,Hainan
Stanley,Falkland Islands,FALK,East Falkland
Saint-Denis,Reunion,REUN,Reunion
Flying Fish Cove,Christmas Island,XMAS,Christmas Island
Kumamoto,Kumamoto,J,Kyushu
Horsham,West Sussex,GB,Great Britain
Panchiao,Taiwan,RC,Taiwan
Hsinchuang,Taiwan,RC,Taiwan
Iraklion,Kriti,GR,Kreta
Southampton,Hampshire,GB,Great Britain
Bournemouth,Dorset,GB,Great Britain
Saint Johns,Newfoundland,CDN,Newfoundland
Gateshead,Tyne and Wear,GB,Great Britain
Wiral,Merseyside,GB,Great Britain
Gifu,Gifu,J,Honshu
Exeter,Devon,GB,Great Britain
Salisbury,Wiltshire,GB,Great Britain
Ebbw Vale,Blaenau Gwent,GB,Great Britain
Bradford,West Yorkshire,GB,Great Britain
Dublin,Ireland,IRL,Ireland
Basingstoke,Hampshire,GB,Great Britain
San Juan,Puerto Rico,PR,Puerto Rico
Matsue,Shimane,J,Honshu
Koror,Palau,PAL,Koror
Santo Domingo,Dominican Republic,DOM,Hispaniola
Carlisle,Cumbria,GB,Great Britain
Antsirabe,Antananarivo,RM,Madagaskar
Tegal,Indonesia,RI,Java
Keflavik,Iceland,IS,Iceland
Maidstone,Kent,GB,Great Britain
Llandrindod Wells,Powys,GB,Great Britain
Yamagata,Yamagata,J,Honshu
Stratford on Avon,Warwickshire,GB,Great Britain
Cardiff,Cardiff,GB,Great Britain
Nara,Nara,J,Honshu
Saipan,Northern Mariana Islands,NMIS,Saipan
Victoria,British Columbia,CDN,Vancouver Island
Kochi,Kochi,J,Shikoku
Santiago de Cuba,Santiago de Cuba,C,Cuba
Carmarthen,Carmarthenshire,GB,Great Britain
Dundee,Tayside,GB,Great Britain
Birmingham,West Midlands,GB,Great Britain
Ystrad Fawr,Caerphilly,GB,Great Britain
Victoria,Malta,M,Gozo
Caernarfon,Gwynedd,GB,Great Britain
Aberystwyth,Ceredigion,GB,Great Britain
Lincoln,Lincolnshire,GB,Great Britain
Port Talbot,Neath and Port Talbot,GB,Great Britain
Gorontalo,Indonesia,RI,Sulawesi
Otsu,Shiga,J,Honshu
Chiai,Taiwan,RC,Taiwan
Semarang,Indonesia,RI,Java
Manzanillo,Granma,C,Cuba
Nagasaki,Nagasaki,J,Kyushu
Port Moresby,Papua New Guinea,PNG,New Guinea
Surabaya,Indonesia,RI,Java
Manado,Indonesia,RI,Sulawesi
Alofi,Niue,NIUE,Niue
Cwmbran,Monmouthshire,GB,Great Britain
Palma de Mallorca,Balearic Islands,E,Mallorca
Sibu,Sarawak,MAL,Borneo
Nagano,Nagano,J,Honshu
Kirkwall,Orkneys,GB,Orkney Mainland
