playerid,award,year,lgid,note,pos
lindste01,First Team All-Star,1956,NHL,,LW
marshdo01,Second Team All-Star,1966,NHL,,LW
gaborma01,Second Team All-Star,2011,NHL,,RW
hampste01,Deneau,1972,WHA,Most Gentlemanly,
appssy01,Lady Byng,1941,NHL,,
gretzwa01,First Team All-Star,1990,NHL,,C
gretzwa01,First Team All-Star,1984,NHL,,C
bauerbo01,Second Team All-Star,1940,NHL,,RW
trottbr01,Second Team All-Star,1981,NHL,,C
macmibo01,Lady Byng,1978,NHL,,
richama01,Second Team All-Star,1952,NHL,,RW
appssy01,Second Team All-Star,1942,NHL,,C
orrbo01,Norris,1971,NHL,,
roypa01,Jennings,1988,NHL,shared,
trottbr01,Calder,1975,NHL,,
gretzwa01,Pearson,1984,NHL,,
smithal02,Hatskin,1977,WHA,Best Goaltender,
mcfadji01,Calder,1947,NHL,,
gallage01,Second Team All-Star,1988,NHL,,LW
tayloda01,Masterton,1990,NHL,,
vaskomo01,Second Team All-Star,1963,NHL,,D
belivje01,First Team All-Star,1954,NHL,,C
backsni01,Jennings,2006,NHL,shared,
doughdr01,All-Rookie,2008,NHL,,D
weslegl01,All-Rookie,1987,NHL,,D
thomati01,Crozier,2010,NHL,,
parkbr01,Second Team All-Star,1972,NHL,,D
dionngi01,All-Rookie,1991,NHL,,LW
enstrto01,All-Rookie,2007,NHL,,D
chabolo01,First Team All-Star,1934,NHL,,G
hasekdo01,Vezina,1994,NHL,,
leachre01,Conn Smythe,1975,NHL,,
fuhrgr01,Vezina,1987,NHL,,
litzeed01,Second Team All-Star,1956,NHL,,C
kariypa01,Second Team All-Star,2002,NHL,,LW
nasluma01,Lady Byng,1987,NHL,,
cechmro01,Second Team All-Star,2000,NHL,,G
hortoti01,First Team All-Star,1963,NHL,,D
drydeke01,First Team All-Star,1978,NHL,,G
brindro01,Selke,2005,NHL,,
dejorde01,Vezina,1966,NHL,shared,
bourqra01,First Team All-Star,1979,NHL,,D
pacioma01,Masterton,2011,NHL,,
heatlda01,Calder,2001,NHL,,
horvabr01,Second Team All-Star,1959,NHL,,C
laflegu01,Conn Smythe,1976,NHL,,
esposph01,Art Ross,1970,NHL,,
laflegu01,Art Ross,1975,NHL,,
gretzwa01,Lady Byng,1993,NHL,,
cloutre01,Second Team All-Star,1977,WHA,,RW
chelich01,Norris,1988,NHL,,
bourqra01,Second Team All-Star,1980,NHL,,D
blakero01,Second Team All-Star,2001,NHL,,D
cechmro01,Jennings,2002,NHL,shared,
thornjo01,Hart,2005,NHL,,
chabolo01,Vezina,1934,NHL,,
esposph01,Art Ross,1971,NHL,,
bourqra01,First Team All-Star,1990,NHL,,D
bossymi01,Second Team All-Star,1984,NHL,,RW
fuhrgr01,Second Team All-Star,1981,NHL,,G
geoffbe01,Hart,1960,NHL,,
richama01,First Team All-Star,1945,NHL,,RW
thomsji01,Second Team All-Star,1950,NHL,,D
shoreed01,First Team All-Star,1932,NHL,,D
brodema01,Vezina,2007,NHL,,
burepa01,Calder,1991,NHL,,
pitkajo01,All-Rookie,2003,NHL,,D
esposto01,Vezina,1969,NHL,,
sawchte01,Vezina,1951,NHL,,
howema01,Plus-Minus,1985,NHL,,
iginlja01,Messier,2008,NHL,,
messima01,Pearson,1989,NHL,,
mikitst01,Art Ross,1963,NHL,,
stewaga01,First Team All-Star,1945,NHL,,LW
brimsfr01,Second Team All-Star,1940,NHL,,G
crosbsi01,Pearson,2006,NHL,,
ftorero01,Second Team All-Star,1975,WHA,,C
seibeea01,First Team All-Star,1942,NHL,,D
crosbsi01,Hart,2006,NHL,,
fuhrgr01,Jennings,1993,NHL,shared,
bentldo01,First Team All-Star,1946,NHL,,LW
goldhbo01,Second Team All-Star,1954,NHL,,D
robitlu01,First Team All-Star,1988,NHL,,LW
lemiema01,First Team All-Star,1995,NHL,,C
belfoed01,All-Rookie,1990,NHL,,G
ryanbo01,All-Rookie,2008,NHL,,F
nighbfr01,Lady Byng,1924,NHL,,
drapekr01,Selke,2003,NHL,,
pilotpi01,First Team All-Star,1966,NHL,,D
kerrda01,First Team All-Star,1939,NHL,,G
gadsbbi01,First Team All-Star,1958,NHL,,D
bauerbo01,Lady Byng,1940,NHL,,
thompti01,Vezina,1929,NHL,,
schmimi01,First Team All-Star,1950,NHL,,C
prattba01,Hart,1943,NHL,,
turcoma01,Crozier,2002,NHL,,
eliaspa01,Plus-Minus,2000,NHL,tie,
berezse01,All-Rookie,1996,NHL,,F
berarbr01,All-Rookie,1996,NHL,,D
mahovfr01,Second Team All-Star,1965,NHL,,LW
quickjo01,Conn Smythe,2011,NHL,,
backsni02,All-Rookie,2007,NHL,,F
sawchte01,Second Team All-Star,1953,NHL,,G
anderto01,Hart,1941,NHL,,
nealja01,First Team All-Star,2011,NHL,,RW
goulemi01,First Team All-Star,1985,NHL,,LW
plantja01,Hart,1961,NHL,,
jagrja01,First Team All-Star,1995,NHL,,RW
plantja01,Second Team All-Star,1959,NHL,,G
iginlja01,First Team All-Star,2007,NHL,,RW
esposph01,Pearson,1970,NHL,,
lidstni01,First Team All-Star,1998,NHL,,D
bathgan01,Second Team All-Star,1962,NHL,,RW
burchbi01,Lady Byng,1926,NHL,,
millery01,Vezina,2009,NHL,,
barryma01,First Team All-Star,1936,NHL,,C
