year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1984,NHL,CAL,23,11,6.0,,18,16,6.0,,,,,,7,4,0,,7,4,1,,5,7,2,,7,4,4.0,,5,6,0.0,,9,2,3,,1,0,2,
1976,WHA,WIJ,30,9,1.0,,16,23,1.0,,,,,,7,3,0,,7,7,1,,4,5,0,,7,5,0.0,,9,5,1.0,,9,6,0,,3,1,0,
1962,NHL,NYR,12,17,6.0,,10,19,6.0,,,,,,2,5,1,,6,7,1,,3,7,4,,3,6,2.0,,4,6,3.0,,4,5,1,,,,,
1977,WHA,CIN,21,19,1.0,,14,23,2.0,,,,,,1,5,0,,7,8,0,,5,6,2,,6,8,0.0,,5,6,1.0,,8,5,0,,3,4,0,
1979,NHL,PIT,20,13,7.0,,10,24,6.0,,,,,,4,4,1,,5,4,3,,5,3,7,,5,10,0.0,,4,7,0.0,,6,7,2,,1,2,0,
1917,NHL,TOA,10,1,0.0,,3,8,0.0,,,,,,,,,,,,,,2,2,0,,5,3,0.0,,5,3,0.0,,1,1,0,,,,,
1995,NHL,NJD,22,17,2.0,,15,16,10.0,,,,,,6,4,0,,5,6,3,,4,9,1,,7,3,1.0,,5,3,3.0,,7,4,4,,3,4,0,
2007,NHL,DET,29,9,,3,25,12,,4,,,,,10,2,,1,7,4,,1,12,2,,1,9,2,,1,4,8,,2,10,2,,1,2,1,,0
1983,NHL,MTL,19,19,2.0,,16,21,3.0,,,,,,4,7,0,,7,5,1,,7,6,1,,7,6,1.0,,4,6,2.0,,6,10,0,,,,,
1939,NHL,NYA,12,11,1.0,,3,18,3.0,,,,,,,,,,2,6,0,,4,8,1,,4,7,1.0,,2,5,1.0,,3,3,1,,,,,
1997,NHL,FLO,11,24,6.0,,13,19,9.0,,,,,,3,6,3,,5,7,2,,6,7,1,,4,5,5.0,,0,4,1.0,,3,10,0,,3,4,3,
1980,NHL,HAR,14,17,9.0,,7,24,9.0,,,,,,5,4,2,,3,8,2,,5,3,4,,2,10,3.0,,2,5,5.0,,3,9,2,,1,2,0,
1935,NHL,NYA,10,11,3.0,,6,14,4.0,,,,,,,,,,2,5,1,,5,4,1,,3,6,1.0,,2,5,4.0,,4,5,0,,,,,
1997,NHL,STL,26,10,5.0,,19,19,3.0,,,,,,10,2,2,,5,7,1,,7,6,3,,6,5,2.0,,3,2,0.0,,8,4,0,,6,3,0,
2009,NHL,SJS,27,6,,8,24,14,,3,,,,,9,4,,1,9,2,,3,8,2,,3,10,2,,2,4,3,,0,7,7,,1,4,0,,1
1921,WCHL,EDE,8,4,1.0,,7,5,0.0,,,,,,,,,,,,,,2,2,1,,3,5,0.0,,9,2,0.0,,1,0,0,,,,,
1984,NHL,BOS,21,15,4.0,,15,19,6.0,,,,,,5,4,0,,6,6,1,,5,5,5,,8,6,1.0,,3,5,1.0,,7,7,1,,2,1,1,
1996,NHL,CHI,16,21,4.0,,18,14,9.0,,,,,,6,5,2,,6,7,1,,3,8,3,,3,6,2.0,,7,3,1.0,,6,4,3,,3,2,1,
1975,WHA,CAC,25,13,2.0,,16,22,2.0,,,,,,3,5,0,,9,4,1,,7,5,1,,6,7,0.0,,6,6,2.0,,9,7,0,,1,1,0,
1973,NHL,PIT,15,18,6.0,,13,23,3.0,,,,,,4,4,1,,3,7,2,,2,10,2,,5,8,0.0,,5,6,1.0,,7,4,3,,2,2,0,
1970,NHL,BOS,33,4,2.0,,24,10,5.0,,,,,,6,1,1,,8,3,3,,11,2,1,,10,2,1.0,,9,2,1.0,,11,4,0,,2,0,0,
1981,NHL,LAK,19,15,6.0,,5,26,9.0,,,,,,6,6,0,,4,8,0,,3,7,3,,1,6,8.0,,3,5,2.0,,7,7,2,,0,2,0,
1996,NHL,DET,20,12,9.0,,18,14,9.0,,,,,,7,4,1,,7,4,2,,6,4,3,,2,5,3.0,,8,2,3.0,,6,5,3,,2,2,3,
1936,NHL,MTM,11,7,6.0,,11,10,3.0,,,,,,,,,,2,4,3,,4,4,2,,5,6,2.0,,5,2,1.0,,6,1,1,,,,,
2007,NHL,NYR,25,13,,3,17,14,,10,,,,,4,6,,1,10,3,,1,6,6,,2,5,7,,2,8,2,,2,8,3,,3,1,0,,2
1990,NHL,BUF,15,13,12.0,,16,17,7.0,,,,,,3,5,4,,6,4,2,,5,7,3,,7,5,1.0,,3,4,6.0,,7,5,3,,,,,
1987,NHL,NYR,22,13,5.0,,14,21,5.0,,,,,,4,5,3,,4,8,0,,6,6,2,,6,6,1.0,,7,4,2.0,,8,5,1,,1,0,1,
1974,NHL,MTL,27,8,5.0,,20,6,14.0,,,,,,4,3,4,,8,3,3,,8,0,4,,8,3,2.0,,8,1,3.0,,8,4,3,,3,0,0,
2006,NHL,NYI,22,13,,6,18,17,,6,,,,,5,4,,2,7,5,,1,7,6,,0,4,6,,3,9,2,,2,4,7,,4,4,0,,0
1978,WHA,EDO,29,11,1.0,,19,19,1.0,,,,,,3,5,0,,8,3,0,,6,7,0,,6,4,0.0,,10,2,1.0,,8,6,1,,7,3,0,
1986,NHL,BUF,18,18,4.0,,10,26,4.0,,,,,,1,7,2,,4,8,1,,4,8,2,,6,7,1.0,,8,3,0.0,,4,10,1,,1,1,1,
1925,NHL,OTS,15,2,1.0,,9,6,3.0,,,,,,,,,,1,0,0,,8,1,0,,8,1,1.0,,4,3,2.0,,3,3,1,,,,,
1989,NHL,BUF,27,11,2.0,,18,16,6.0,,,,,,7,4,1,,9,2,3,,7,5,2,,7,6,0.0,,6,7,0.0,,8,3,2,,1,0,0,
2009,NHL,TOR,18,17,,6,12,21,,8,,,,,1,7,,4,5,5,,3,8,6,,2,3,10,,2,2,3,,0,9,5,,2,2,2,,1
1952,NHL,BOS,19,10,6.0,,9,19,7.0,,,,,,2,2,4,,7,6,0,,4,6,3,,4,6,3.0,,5,5,1.0,,6,4,2,,,,,
