year,lgid,tmid,oppid,w,l,t,otl
2001,NHL,NJD,COL,0,2,0.0,0
1970,NHL,CHI,LAK,4,2,0.0,
1951,NHL,MTL,CHI,10,1,3.0,
2007,NHL,WAS,BOS,2,2,,0
1996,NHL,COL,BUF,0,1,1.0,
1990,NHL,PHI,DET,1,2,0.0,
1976,NHL,MTL,LAK,4,0,2.0,
1984,NHL,MTL,PHI,2,1,0.0,
1974,WHA,PHR,CHC,4,2,0.0,
2000,NHL,ANA,VAN,1,2,1.0,0
2006,NHL,LAK,MIN,0,2,,2
1995,NHL,FLO,BOS,1,2,1.0,
1992,NHL,BUF,WAS,2,2,0.0,
1967,NHL,MNS,PHI,3,6,1.0,
1967,NHL,STL,OAK,7,0,3.0,
1938,NHL,BOS,NYR,5,3,0.0,
2003,NHL,COL,DAL,3,1,0.0,0
1989,NHL,NJD,TOR,1,2,0.0,
1984,NHL,QUE,NJD,1,1,1.0,
1996,NHL,STL,BUF,0,1,1.0,
2002,NHL,FLO,CBS,0,1,0.0,0
1992,NHL,CAL,CHI,0,3,0.0,
1913,NHA,MOC,OT1,1,3,0.0,
2001,NHL,SJS,ATL,2,0,0.0,0
1991,NHL,PHI,WIN,0,3,0.0,
1977,WHA,IND,EDO,2,9,0.0,
1972,NHL,CHI,TOR,2,1,2.0,
1997,NHL,TOR,STL,1,4,0.0,
2000,NHL,CAR,CBS,1,1,0.0,0
2011,NHL,TBL,SJS,1,1,,0
2007,NHL,LAK,TOR,1,0,,0
2001,NHL,PIT,DET,0,1,0.0,0
1927,NHL,PIP,MTL,1,2,1.0,
1937,NHL,DET,NYA,2,2,2.0,
1990,NHL,WIN,HAR,2,1,0.0,
1974,WHA,QUN,MFS,2,4,0.0,
1979,NHL,STL,MTL,2,2,0.0,
2009,NHL,AND,DAL,2,3,,1
2001,NHL,VAN,WAS,1,0,0.0,0
2002,NHL,PHI,CBS,1,0,0.0,0
2001,NHL,CAL,BUF,1,1,0.0,0
2008,NHL,VAN,COL,3,1,,2
1993,NHL,MTL,NYR,2,1,1.0,
1970,NHL,MTL,CHI,3,3,0.0,
2003,NHL,NYR,COL,0,1,0.0,1
1989,NHL,WAS,TOR,1,2,0.0,
1996,NHL,HAR,ANA,1,1,0.0,
2007,NHL,OTT,MTL,5,3,,0
1993,NHL,WIN,TOR,1,4,1.0,
1938,NHL,TOR,MTL,4,2,2.0,
2005,NHL,COL,VAN,4,2,,2
2011,NHL,EDM,MIN,2,1,,3
2005,NHL,COL,DET,0,4,,0
1929,NHL,MTM,DTC,2,1,1.0,
2000,NHL,NYR,MTL,3,0,1.0,0
2008,NHL,STL,FLO,1,1,,0
2000,NHL,PHO,CBS,1,2,1.0,0
1923,WCHL,REG,VC1,4,0,0.0,
2001,NHL,VAN,STL,1,2,1.0,0
1995,NHL,SJS,STL,1,3,0.0,
1968,NHL,MNS,LAK,4,1,3.0,
1997,NHL,MTL,PIT,2,3,1.0,
1978,NHL,PHI,NYR,3,2,3.0,
2011,NHL,PHO,BUF,1,0,,0
1978,NHL,VAN,PHI,1,2,1.0,
1997,NHL,VAN,STL,0,4,0.0,
1995,NHL,HAR,NYI,3,0,1.0,
