playerid,year,stint,tmid,w,l,sa,ga
lundqhe01,2006,1,NYR,8,4,50,9
conklty01,2005,1,EDM,0,1,2,2
andercr01,2010,1,COL,1,0,3,0
toivoha01,2006,1,BOS,1,1,8,3
pavelon01,2011,1,WPG,3,3,20,8
budajpe01,2006,1,COL,3,4,27,11
morrimi01,2005,1,EDM,5,2,24,6
thomati01,2009,1,BOS,5,5,33,9
gigueje01,2011,1,COL,1,2,7,5
lundqhe01,2010,1,NYR,7,3,46,7
crawfco01,2005,1,CHI,0,1,3,2
johnsbr02,2008,1,WAS,0,1,2,1
aubinje01,2007,1,LAK,1,1,4,2
weekeke01,2005,1,NYR,3,1,13,6
caronse01,2005,1,PIT,0,3,10,6
dipieri01,2006,1,NYI,5,4,44,9
clemmsc01,2011,1,FLO,2,3,20,7
bobrose01,2011,1,PHI,1,2,8,4
budajpe01,2010,1,COL,3,0,14,1
auldal01,2007,2,BOS,2,3,15,5
johnsbr02,2005,1,WAS,3,1,13,2
ersbeer01,2007,1,LAK,1,1,10,2
dipieri01,2011,1,NYI,0,1,3,1
hillejo01,2008,1,AND,5,1,31,5
reimeja01,2010,1,TOR,1,3,11,3
varlasi01,2009,1,WAS,3,4,33,9
pavelon01,2010,1,ATL,3,5,24,9
hillejo01,2009,1,AND,3,4,27,10
gustajo01,2009,1,TOR,2,1,7,3
vokouto01,2009,1,FLO,4,9,49,19
bryzgil01,2010,1,PHO,4,5,32,11
bernijo01,2011,1,LAK,0,1,2,2
denisma01,2007,1,TBL,1,0,3,0
smithmi02,2011,1,PHO,6,8,46,15
nabokev01,2008,1,SJS,5,4,32,11
thomati01,2011,1,BOS,7,1,26,6
andercr01,2008,1,FLO,0,4,11,7
aebisda01,2006,1,MTL,2,2,18,6
karlshe01,2010,1,CAL,1,3,11,5
labarja01,2007,1,LAK,2,1,10,5
theodjo01,2006,1,COL,2,0,6,0
quickjo01,2008,1,LAK,4,1,14,4
leclapa01,2005,1,CBS,4,2,18,4
khabini01,2005,1,CHI,2,1,15,5
schneco01,2010,1,VAN,1,0,3,0
josepcu01,2008,1,TOR,2,1,11,3
bironma01,2006,2,PHI,0,1,3,2
huetcr01,2006,1,MTL,2,3,14,8
hillejo01,2010,1,AND,4,2,26,4
bironma01,2010,1,NYR,2,0,7,2
hasekdo01,2007,1,DET,3,2,12,3
emeryra01,2006,1,OTT,1,4,19,8
backsni01,2009,1,MIN,2,7,38,14
elliobr01,2010,2,COL,2,1,10,1
bironma01,2008,1,PHI,2,3,17,5
luongro01,2009,1,VAN,2,3,14,5
millery01,2005,1,BUF,3,2,17,5
sabouda01,2007,1,PIT,4,1,26,6
nabokev01,2011,1,NYI,5,1,18,4
scrivbe01,2011,1,TOR,1,1,5,2
halakja01,2010,1,STL,3,4,29,10
dubiewa01,2009,1,MIN,1,0,2,0
tellqmi01,2008,1,PHO,1,0,8,1
andercr01,2010,2,OTT,2,1,12,1
backsni01,2011,1,MIN,5,6,32,15
gerbema01,2005,1,CAR,7,2,33,10
tellqmi01,2005,1,TOR,1,1,5,2
wardca01,2007,1,CAR,1,3,11,6
varlasi01,2010,1,WAS,1,2,8,3
millery01,2007,1,BUF,4,7,33,14
turcoma01,2009,1,DAL,4,8,53,15
garonma01,2006,1,LAK,1,3,18,7
gerbema01,2010,1,EDM,1,0,4,1
lundqhe01,2011,1,NYR,4,3,25,7
leclapa01,2009,1,OTT,3,1,10,5
lalimpa01,2007,1,CHI,3,0,9,2
howarji01,2010,1,DET,3,2,17,2
weekeke01,2008,1,NJD,2,0,6,2
ersbeer01,2008,1,LAK,1,4,20,8
halakja01,2008,1,MTL,2,1,7,2
labarja01,2009,1,PHO,6,1,27,8
brodema01,2010,1,NJD,1,1,9,2
leclapa01,2006,1,CBS,1,1,15,4
rasktu01,2009,1,BOS,5,4,33,10
vokouto01,2005,1,NAS,4,3,20,8
conklty01,2006,1,CBS,1,1,5,2
brustba01,2006,1,LAK,1,1,5,1
budajpe01,2007,1,COL,1,2,9,4
khabini01,2006,1,CHI,4,4,33,11
huetcr01,2005,1,MTL,1,2,9,3
lehtoka01,2010,1,DAL,3,7,33,14
sabouda01,2008,1,PIT,3,2,19,5
theodjo01,2010,1,MIN,2,1,15,7
theodjo01,2009,1,WAS,2,2,16,7
osgooch01,2009,1,DET,1,2,8,4
gustajo01,2011,1,TOR,1,3,11,4
brodema01,2008,1,NJD,2,1,10,3
masonst01,2010,1,CBS,4,5,31,10
brodema01,2007,1,NJD,8,4,43,11
bachmri01,2011,1,DAL,0,1,3,1
elliobr01,2010,1,OTT,0,4,8,6
gigueje01,2005,1,ANA,3,7,31,12
turcoma01,2007,1,DAL,3,3,23,9
andercr01,2006,1,FLO,1,0,2,0
lehtoka01,2006,1,ATL,7,4,30,10
kolesvi01,2005,1,COL,1,0,7,0
sanfocu01,2011,1,CBS,2,3,15,5
khabini01,2009,1,EDM,2,2,12,4
lehtoka01,2005,1,ATL,5,0,20,3
luongro01,2008,1,VAN,3,4,29,8
bouchbr01,2006,1,CHI,0,2,4,4
emeryra01,2005,1,OTT,0,2,5,2
