year,hofid,name,category
1958,gardihe01h,Herb Gardiner,Player
1962,hylanha01h,Harry Hyland,Player
1947,nelsofr01h,Francis Nelson,Builder
1990,perregi01h,Gilbert Perreault,Player
2006,duffdi01h,Dick Duff,Player
1993,grifffr01h,Frank Griffiths,Builder
1950,drinkgr01h,Graham Drinkwater,Player
1977,ahearbu01h,Bunny Ahearne,Builder
1961,halljo01h,Joe Hall,Player
1958,hayge01h,George Hay,Player
1973,harvedo01h,Doug Harvey,Player
1971,jacksbu01h,Busher Jackson,Player
1981,mahovfr01h,Frank Mahovlich,Player
2003,kilrebr01h,Brian Kilrea,Builder
1950,richage01h,George Richardson,Player
1984,esposph01h,Phil Esposito,Player
1989,tretivl01h,Vladislav Tretiak,Player
1958,mcnamge02h,George McNamara,Player
1958,clancki01h,King Clancy,Player
1950,patrifr01h,Frank Patrick,Builder
2006,roypa01h,Patrick Roy,Player
1958,dudlege01h,George Dudley,Builder
1997,sathegl01h,Glen Sather,Builder
1959,dennecy01h,Cy Denneny,Player
1976,gibsoja02h,Jack Gibson,Builder
1980,butteja01h,Jack Butterfield,Builder
1969,kellyre01h,Red Kelly,Player
1973,molsoha01h,Hartland Molson,Builder
1958,turnell01h,Lloyd Turner,Builder
1962,broadpu01h,Punch Broadbent,Player
1963,goodfeb01h,Ebbie Goodfellow,Player
1977,cattajo01h,Joseph Cattarinich,Builder
1962,watsoha01h,Harry Watson,Player
1972,adamswe01h,Weston Adams,Builder
1947,clappdi01h,Dit Clapper,Player
1972,belivje01h,Jean Beliveau,Player
1995,cookbu01h,Bun Cook,Player
1992,johnsbo02h,Bob Johnson,Builder
1992,allenke01h,Keith Allen,Builder
1979,howelha01h,Harry Howell,Player
1963,seibeea01h,Earl Seibert,Player
1999,vanhean01h,Andy Van Hellemond,Referee/Linesman
1945,allanmo01h,Montagu Allan,Builder
1958,fredrfr01h,Frank Fredrickson,Player
2002,gillicl01h,Clark Gillies,Player
1983,mikitst01h,Stan Mikita,Player
1997,lemiema01h,Mario Lemieux,Player
1962,huttobo01h,Bowse Hutton,Player
1958,moranpa01h,Paddy Moran,Player
1992,dionnma01h,Marcel Dionne,Player
1960,manthsy01h,Sylvio Mantha,Player
1966,brimsfr01h,Frank Brimsek,Player
2008,andergl01h,Glenn Anderson,Player
1991,potvide01h,Denis Potvin,Player
1973,smithto01h,Tommy Smith,Player
1947,patrile01h,Lester Patrick,Player
1983,sindeha01h,Harry Sinden,Builder
1978,tuttwi01h,William Tutt,Builder
1993,smithbi01h,Billy Smith,Player
1983,hullbo01h,Bobby Hull,Player
1950,davidal01h,Scotty Davidson,Player
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1994,oneilbr01h,Brian O'Neill,Builder
1978,bickejo01h,John Bickell,Builder
1965,hornere01h,Red Horner,Player
2007,macinal01h,Al MacInnis,Player
2002,federbe01h,Bernie Federko,Player
1974,vossca01h,Carl Voss,Builder
1965,hewitfo01h,Foster Hewitt,Builder
1958,johnsch01h,Ching Johnson,Player
1971,robergo02h,Gord Roberts,Player
1962,maxwest01h,Steamer Maxwell,Player
1989,sittlda01h,Darryl Sittler,Player
1975,armstge01h,George Armstrong,Player
2000,mullejo01h,Joe Mullen,Player
1947,nighbfr01h,Frank Nighbor,Player
