season,seed,team
1994,W16,1251
2011,Y08,1139
2014,W13,1174
2010,X15,1352
1989,X10,1261
2009,X06,1113
2002,W05,1266
1998,X04,1268
1998,W05,1343
1987,Z01,1424
1998,X09,1229
1994,W09,1130
2010,W10,1281
1994,Z05,1143
2006,Z04,1228
1989,Y14,1166
2003,Z01,1112
2006,X13,1133
1985,Y12,1338
1991,W09,1437
2005,Z11,1320
2004,W09,1112
2008,X12,1437
1998,X12,1375
2013,Z04,1243
1986,Y04,1228
2011,Y01,1338
2014,Y11b,1397
2014,W15,1454
2004,Y01,1386
2004,W11,1102
2006,Z13,1102
2009,X13,1103
2011,Z15,1103
2013,X12,1103
2003,Y10,1104
2004,X08,1104
2005,X05,1104
2006,X10,1104
2012,X09,1104
2005,Z16a,1105
2004,W16,1106
2009,Y16a,1106
2011,W16a,1106
2006,Z16,1107
2007,X13,1107
2013,Y15,1107
2014,X16a,1107
2008,W15,1110
2009,W14,1110
2014,Z15,1110
2005,X03,1112
2006,Y08,1112
2007,Y08,1112
2008,Z10,1112
2009,Y12,1112
2011,X05,1112
2013,Z06,1112
2014,Z01,1112
2003,Z10,1113
2014,Y10,1113
2011,Y16a,1114
2010,X16a,1115
2006,X08,1116
2007,W12,1116
2008,W09,1116
2003,W10,1120
2003,W13,1122
2008,Y15,1122
2008,Z11,1124
2010,X03,1124
2012,Y03,1124
2014,Z06,1124
2006,X15,1125
1997,Z03,1448
2008,Z15,1125
1994,W14,1241
1988,Y14,1427
2004,W05,1228
2012,X11,1301
1986,X13,1403
1987,Z12,1461
2001,X13,1245
1991,Y10,1190
2010,W05,1396
1985,X16,1380
2008,Y16,1426
2014,Z09,1329
1990,X14,1411
2005,X10,1388
2006,W15,1335
2011,Z11a,1425
1987,Y06,1385
1993,Y06,1243
1992,X13,1418
2011,Z10,1199
2010,Z05,1139
1985,Z11,1120
2010,Y07,1329
2006,Z06,1277
1990,W07,1417
1998,Z06,1417
1995,X04,1428
2007,W04,1400
1986,W09,1452
2010,X06,1323
1999,X12,1348
2007,Y05,1139
1994,Y08,1228
2013,Y01,1257
1997,Y16,1402
2011,Y02,1196
2011,Y16b,1421
2010,X16b,1457
2007,W05,1425
1987,Z09,1243
1993,Z01,1276
1985,Z10,1333
1998,W12,1424
1986,Z03,1314
