season,daynum,wteam,wscore,lteam,lscore,wloc,numot
1991,136,1112,93,1384,80,Н,0
1988,143,1437,80,1246,74,Н,0
2002,136,1112,86,1364,81,Н,0
2009,144,1328,84,1393,71,Н,0
1999,143,1385,76,1268,62,Н,0
2002,136,1242,70,1221,59,Н,0
2004,145,1329,64,1386,62,Н,0
1993,144,1153,71,1438,54,Н,0
1989,139,1314,88,1417,81,Н,0
1987,138,1314,109,1276,97,Н,0
1990,137,1276,76,1229,70,Н,0
1992,136,1163,86,1304,65,Н,0
2006,144,1163,98,1449,92,Н,1
1989,145,1276,102,1438,65,Н,0
1992,146,1153,88,1272,57,Н,0
1985,137,1268,69,1275,68,Н,1
2003,139,1268,77,1462,64,Н,0
2003,138,1181,86,1141,60,Н,0
2000,136,1428,48,1387,45,Н,0
2004,139,1338,59,1458,55,Н,0
2002,137,1328,71,1227,63,Н,0
1997,146,1314,97,1257,74,Н,0
1986,136,1210,68,1265,53,Н,0
2007,137,1458,76,1394,63,Н,0
2013,135,1247,80,1129,71,Н,0
2001,137,1323,83,1462,71,Н,0
1997,136,1386,75,1334,65,Н,0
1990,136,1314,83,1283,70,Н,0
2002,136,1323,82,1150,63,Н,0
2000,139,1409,69,1153,61,Н,0
1987,138,1424,80,1243,61,Н,0
1994,136,1393,92,1218,78,Н,0
1990,143,1163,71,1155,70,Н,0
2002,137,1356,76,1403,68,Н,0
1988,136,1120,90,1133,86,Н,0
1985,146,1385,69,1301,60,Н,0
1987,136,1243,82,1208,79,Н,1
1989,138,1438,104,1292,88,Н,0
2014,139,1112,84,1211,61,Н,0
1994,136,1196,64,1241,62,Н,0
2012,136,1124,68,1355,60,Н,0
1992,136,1231,94,1183,55,Н,0
1996,138,1428,73,1235,67,Н,0
2002,137,1228,93,1361,64,Н,0
2005,137,1356,65,1388,56,Н,0
2005,138,1403,71,1211,69,Н,0
2001,136,1207,63,1116,61,Н,0
1998,137,1348,97,1293,74,Н,0
2008,137,1207,66,1420,47,Н,0
1997,139,1257,64,1307,63,Н,0
1989,137,1400,76,1210,70,Н,0
2003,137,1338,87,1447,61,Н,0
1996,137,1448,62,1419,50,Н,0
2001,136,1386,66,1210,62,Н,0
1992,136,1116,80,1293,69,Н,0
1998,136,1452,82,1396,52,Н,0
2009,136,1181,86,1127,62,Н,0
1985,143,1328,86,1256,84,Н,1
1988,139,1396,74,1207,53,Н,0
2010,136,1397,62,1361,59,Н,0
1991,138,1163,66,1462,50,Н,0
1988,137,1338,108,1185,90,Н,0
1991,144,1385,91,1326,74,Н,0
1995,152,1116,75,1314,68,Н,0
2005,137,1181,57,1175,46,Н,0
1995,136,1448,79,1299,47,Н,0
2009,136,1261,75,1139,71,Н,0
2000,152,1196,71,1314,59,Н,0
2005,137,1163,77,1416,71,Н,0
2005,144,1246,62,1428,52,Н,0
2005,137,1196,67,1325,62,Н,0
1985,137,1298,78,1261,55,Н,0
2013,138,1112,74,1217,51,Н,0
2005,134,1324,79,1105,69,Н,0
2005,136,1112,66,1429,53,Н,0
2005,136,1130,85,1335,65,Н,0
2005,136,1153,76,1234,64,Н,0
2005,136,1211,74,1457,64,Н,0
2005,136,1228,67,1192,55,Н,0
2005,136,1246,72,1184,64,Н,0
2005,136,1305,61,1400,57,Н,0
2005,136,1328,84,1310,67,Н,0
2005,136,1334,79,1338,71,Н,0
2005,136,1403,78,1417,66,Н,0
2005,136,1412,82,1261,68,Н,0
2005,136,1428,60,1431,54,Н,0
2005,136,1448,70,1151,54,Н,0
2005,136,1449,88,1285,77,Н,0
2005,136,1452,63,1166,61,Н,0
2005,136,1454,83,1104,73,Н,0
2005,137,1137,64,1242,63,Н,0
2005,137,1210,80,1203,68,Н,0
2005,137,1235,64,1278,53,Н,0
2005,137,1257,68,1418,62,Н,0
2005,137,1277,89,1330,81,Н,0
2005,137,1280,93,1390,70,Н,0
2005,137,1301,75,1150,63,Н,0
2005,137,1314,96,1324,68,Н,0
2005,137,1329,63,1368,50,Н,0
2005,137,1436,60,1393,57,Н,1
2005,137,1437,55,1307,47,Н,0
2005,137,1458,57,1320,52,Н,0
2005,138,1112,85,1412,63,Н,0
2005,138,1228,71,1305,59,Н,0
2005,138,1246,69,1153,60,Н,0
2005,138,1428,67,1328,58,Н,0
2005,138,1449,97,1334,79,Н,0
2005,138,1452,111,1448,105,Н,2
2005,138,1454,83,1130,75,Н,0
2005,139,1181,63,1280,55,Н,0
2005,139,1257,76,1210,54,Н,0
2005,139,1277,72,1436,61,Н,0
2005,139,1301,65,1163,62,Н,0
2005,139,1314,92,1235,65,Н,0
2005,139,1329,85,1356,77,Н,0
2005,139,1437,76,1196,65,Н,0
2005,139,1458,71,1137,62,Н,0
2005,143,1112,79,1329,78,Н,0
2005,143,1228,77,1454,63,Н,0
2005,143,1257,93,1449,79,Н,0
2005,143,1452,65,1403,60,Н,0
2005,144,1277,78,1181,68,Н,0
2005,144,1314,67,1437,66,Н,0
2005,144,1458,65,1301,56,Н,0
2005,145,1228,90,1112,89,Н,1
2005,145,1257,93,1452,85,Н,1
2005,146,1277,94,1246,88,Н,2
2005,146,1314,88,1458,82,Н,0
2005,152,1228,72,1257,57,Н,0
2005,152,1314,87,1277,71,Н,0
2005,154,1314,75,1228,70,Н,0
2003,143,1112,88,1323,71,Н,0
2001,136,1425,69,1329,54,Н,0
1986,145,1261,59,1246,57,Н,0
2014,138,1257,66,1387,51,Н,0
1994,137,1116,94,1299,79,Н,0
1989,136,1373,80,1390,78,Н,0
2002,144,1163,71,1356,59,Н,0
1994,144,1130,77,1231,68,Н,0
1991,146,1181,78,1385,61,Н,0
1987,143,1207,70,1242,57,Н,0
1998,138,1452,75,1153,74,Н,0
2013,137,1274,78,1334,49,Н,0
1985,139,1104,63,1433,59,Н,0
2009,137,1277,77,1352,62,Н,0
2011,135,1433,59,1425,46,Н,0
2007,144,1196,65,1139,57,Н,0
2013,152,1276,61,1393,56,Н,0
1999,145,1163,67,1211,62,Н,0
1999,138,1234,82,1116,72,Н,0
2007,136,1326,78,1148,57,Н,0
2010,144,1277,59,1320,52,Н,0
1987,139,1177,83,1385,75,Н,1
