charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
28177,9742,442,4,12 июля 1999 года в 10:45 утра,2503.0,9742,
90037,9218,477,3,1999-08-03 10:50:34,171.0,9218,
567404,9139,500,3,1999-09-30 10:48:48,4843.0,29139,
574212,9905,438,2,1999-09-04 10:49:20,2419.0,19905,
621441,9370,419,7,1999-08-27 10:45:14,1107.0,19370,
637803,2429,439,2,1999-08-27 10:46:32,3631.0,12429,
669689,9919,473,3,1999-09-20 10:48:59,88.0,29919,
783536,9589,350,7,1999-07-25 10:50:03,3936.0,9589,
854511,9613,485,10,25.09.1999 10:47,4752.0,29613,
1014959,3268,327,9,19.08.1999 10:44,4193.0,13268,
1052954,9134,485,8,19.06.1999 10:47,4479.0,9134,
1065012,2395,463,10,1999-09-29 10:48:37,395.0,22395,
1111760,6933,367,10,1999-08-10 10:44:29,1888.0,6933,
1115226,8501,435,3,1999-08-08 10:44:45,3326.0,8501,
1149436,9689,499,4,12.07.1999 10:47,4444.0,9689,
1150331,7884,390,9,1999-09-23 10:47:30,4554.0,27884,
1220810,7025,464,4,1999-08-24 10:45:11,129.0,17025,
1248133,9799,457,7,"12.10.1999 г., 10:47",2266.0,29799,
1388826,6427,500,10,1999-06-30 10:50:28,167.0,6427,
1402579,5983,418,10,24.VI.1999 10:43,3343.0,5983,
1454317,1574,500,5,1999-06-30 10:47:48,3729.0,1574,
1470212,7679,372,9,1999-08-06 10:49:01,4654.0,7679,
1508954,779,431,8,1999-08-02 10:44:17,147.0,779,
1541536,6579,484,3,1999-06-28 10:46:49,3142.0,6579,
1588324,6244,495,3,1999-09-28 10:50:26,2329.0,26244,
1588602,1356,465,8,1999-08-04 10:50:27,3830.0,1356,
1628794,4840,499,5,1999-06-23 10:45:49,807.0,4840,
1636898,7182,455,2,10 сентября 1999 года в 10:46 утра,2086.0,17182,
1662702,7725,412,8,23.07.1999 10:48,4514.0,7725,
1711769,9296,216,5,1999-08-16 10:44:29,491.0,19296,
1734949,9856,484,9,1999-10-10 10:46:18,3389.0,29856,
1750725,9930,466,10,1999-07-28 10:47:31,4313.0,9930,
1773213,7164,468,4,1999-06-22 10:49:15,371.0,7164,
1974815,4667,494,3,1999-07-29 10:49:23,4338.0,4667,
1978530,9637,204,2,"27 июня 1999 г., неделя 35-я",3796.0,9637,
