corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
1,Корп. Апекс Ключ КамниИнк., , ,,,,,2004-10-12 10:41:26,3,
2,Корп. Apex Lighting Inc., , ,,,,,2004-10-12 10:41:26,8,
3,Корп. Апекс Механикри Инк., , ,,,,,2004-10-12 10:41:26,6,
4,Корп. Апекс Нидлворк Инк., , ,,,,,2004-10-12 10:41:26,6,
5,Корп. Апекс Оперинц., , ,,,,,2004-10-12 10:41:26,3,
7,Корп. Апекс КвестсИнк., , ,,,,,2004-10-12 10:41:26,8,
9,Корп. Апекс Сейл Майкерс Инк., , ,,,,,2004-10-12 10:41:26,3,
11,Корп. Бостонские каменные кости Инк., , ,,,,,2004-10-12 10:41:26,5,
13,Корп. Бостон Механика Инк., , ,,,,,2004-10-12 10:41:26,5,
14,Корп. Бостонская вышивка Инк., , ,,,,,2004-10-12 10:41:26,6,
15,Корп. Бостонская операИнк., , ,,,,,2004-10-12 10:41:26,8,
18,"Компания ""Бостон Ресторанс Инк.""", , ,,,,,2004-10-12 10:41:26,5,
19,Корп. Бостонских судоремонтников, , ,,,,,2004-10-12 10:41:26,3,
21,Корп. Компьютерные Ключевые Камни Инк., , ,,,,,2004-10-12 10:41:26,6,
23,Корп. Компьютерной Машинери Inc., , ,,,,,2004-10-12 10:41:26,6,
24,Corp. Компьютерное вышивальное производство Инк., , ,,,,,2004-10-12 10:41:26,5,
25,Корп. Компьютер ОпераИнк., , ,,,,,2004-10-12 10:41:26,4,
26,Корп. Компьютер Петролеум Инк., , ,,,,,2004-10-12 10:41:26,5,
28,Корп. Компьютер Ресторанз Инк., , ,,,,,2004-10-12 10:41:26,8,
29,Корп. Компьютерные судоремесленники Инк., , ,,,,,2004-10-12 10:41:26,7,
35,Corp. Драйвен ОпереИнк., , ,,,,,2004-10-12 10:41:26,3,
36,Корп. Драйвен Петролеум Инк., , ,,,,,2004-10-12 10:41:26,7,
