managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
rickebr01m,1923,SLN,NL,1,154,79,74,5,"Hello, how can I help you today?"
hartnga01m,1938,CHN,NL,2,73,44,27,1,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
mackco01m,1894,PIT,NL,2,23,12,10,7,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
herzowh01m,1989,SLN,NL,1,164,86,76,3,"Hello, how can I help you today?"
eliale01m,1982,CHN,NL,1,162,73,89,5,"Hello, how can I help you today?"
loftuto01m,1884,MLU,UA,1,12,8,4,2,"Hello, how can I help you today?"
lockmwh01m,1973,CHN,NL,1,161,77,84,5,"Hello, how can I help you today?"
lopezal01m,1954,CLE,AL,1,156,111,43,1,"Hello, how can I help you today?"
rodgebu01m,1993,CAL,AL,1,162,71,91,5,"Hello, how can I help you today?"
rosepe01m,1989,CIN,NL,1,125,59,66,5,"Hello, how can I help you today?"
hutchfr01m,1961,CIN,NL,1,154,93,61,1,"Hello, how can I help you today?"
murrabi99m,1907,PHI,NL,1,149,83,64,3,"Hello, how can I help you today?"
weaveea99m,1985,BAL,AL,3,105,53,52,4,"Hello, how can I help you today?"
johnsda02m,1995,CIN,NL,1,144,85,59,1,"Hello, how can I help you today?"
dykesji01m,1942,CHA,AL,1,148,66,82,6,"Hello, how can I help you today?"
hurdlcl01m,2008,COL,NL,1,162,74,88,3,"Hello, how can I help you today?"
lopezal01m,1951,CLE,AL,1,155,93,61,2,"Hello, how can I help you today?"
schuljo05m,1973,DET,AL,2,28,14,14,3,"Hello, how can I help you today?"
leylaji99m,1988,PIT,NL,1,160,85,75,2,"Hello, how can I help you today?"
herzowh01m,1981,SLN,NL,1,103,59,43,2,"Hello, how can I help you today?"
hartji99m,1886,LS2,AA,1,138,66,70,4,"Hello, how can I help you today?"
maculji01m,1879,SR1,NL,3,27,5,21,7,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
mcaleji01m,1904,SLA,AL,1,156,65,87,6,"Hello, how can I help you today?"
lemonbo01m,1977,CHA,AL,1,162,90,72,3,"Hello, how can I help you today?"
harribu01m,1937,WS1,AL,1,158,73,80,6,"Hello, how can I help you today?"
martima01m,1986,SEA,AL,2,1,0,1,7,"Hello, how can I help you today?"
harribu01m,1942,WS1,AL,1,151,62,89,7,"Hello, how can I help you today?"
alstowa01m,1966,LAN,NL,1,162,95,67,1,"Hello, how can I help you today?"
bancrfr99m,1881,DTN,NL,1,84,41,43,4,"Hello, how can I help you today?"
ermerca01m,1967,MIN,AL,2,114,66,46,2,"Hello, how can I help you today?"
bancrfr99m,1885,PRO,NL,1,110,53,57,4,"Hello, how can I help you today?"
showabu99m,2004,TEX,AL,1,162,89,73,3,"Hello, how can I help you today?"
trembda99m,2008,BAL,AL,1,161,68,93,5,"Hello, how can I help you today?"
friscfr01m,1949,CHN,NL,2,104,42,62,8,"Hello, how can I help you today?"
goryljo01m,1980,MIN,AL,2,36,23,13,3,"Hello, how can I help you today?"
cronijo01m,1947,BOS,AL,1,157,83,71,3,"Hello, how can I help you today?"
pfefffr01m,1892,LS3,NL,2,100,42,56,9,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
garcida99m,1980,CLE,AL,1,160,79,81,6,"Hello, how can I help you today?"
wrighha01m,1881,BSN,NL,1,83,38,45,6,"Hello, how can I help you today?"
valenbo02m,2000,NYN,NL,1,162,94,68,2,"Hello, how can I help you today?"
fregoji01m,1993,PHI,NL,1,162,97,65,1,"Hello, how can I help you today?"
dyered01m,1948,SLN,NL,1,155,85,69,2,"Hello, how can I help you today?"
eversjo01m,1921,CHN,NL,1,96,41,55,7,"Hello, how can I help you today?"
johnsda01m,1980,SEA,AL,1,105,39,65,7,"Hello, how can I help you today?"
barroed99m,1918,BOS,AL,1,126,75,51,1,"Hello, how can I help you today?"
marioma01m,1953,SLA,AL,1,154,54,100,8,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
boudrlo01m,1946,CLE,AL,1,156,68,86,6,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
wardjo01m,1891,BRO,NL,1,137,61,76,6,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
ewingbu01m,1898,CIN,NL,1,157,92,60,3,"Hello, how can I help you today?"
southbi01m,1943,SLN,NL,1,157,105,49,1,"Hello, how can I help you today?"
sewellu01m,1943,SLA,AL,1,153,72,80,6,"Hello, how can I help you today?"
cuthbne01m,1882,SL4,AA,1,80,37,43,5,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
andersp01m,1971,CIN,NL,1,162,79,83,5,"Hello, how can I help you today?"
buckeal99m,1894,PIT,NL,1,110,53,55,7,"Hello, how can I help you today?"
mcraeha01m,1992,KCA,AL,1,162,72,90,5,"Hello, how can I help you today?"
houkra01m,1973,NYA,AL,1,162,80,82,4,"Hello, how can I help you today?"
peckiro01m,1933,CLE,AL,1,51,26,25,4,"Hello, how can I help you today?"
stricge01m,1966,CLE,AL,2,39,15,24,5,"Hello, how can I help you today?"
stanked01m,1977,TEX,AL,2,1,1,0,2,"Hello, how can I help you today?"
chancfr01m,1910,CHN,NL,1,154,104,50,1,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
mathech01m,1917,CIN,NL,1,157,78,76,4,"Hello, how can I help you today?"
pearcdi01m,1875,SL2,NA,1,72,39,29,4,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
gerenbo01m,2007,OAK,AL,1,162,76,86,3,"Hello, how can I help you today?"
martibi02m,1982,OAK,AL,1,162,68,94,5,"Hello, how can I help you today?"
larusto01m,2010,SLN,NL,1,162,86,76,2,"Hello, how can I help you today?"
mackco01m,1943,PHA,AL,1,155,49,105,8,"Hello, how can I help you today?"
kuheljo01m,1948,WS1,AL,1,154,56,97,7,"Hello, how can I help you today?"
oneilst01m,1952,PHI,NL,2,91,59,32,4,"Hello, how can I help you today?"
wrighha01m,1874,BS1,NA,1,71,52,18,1,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
harrilu01m,1971,ATL,NL,1,162,82,80,3,"Hello, how can I help you today?"
collite99m,1994,HOU,NL,1,115,66,49,2,"Hello, how can I help you today?"
fletcar01m,1925,PHI,NL,1,153,68,85,6,"Hello, how can I help you today?"
meyerbi01m,1950,PIT,NL,1,154,57,96,8,"Hello, how can I help you today?"
maddojo99m,2010,TBA,AL,1,162,96,66,1,"Hello, how can I help you today?"
loberha01m,1938,PHI,NL,2,2,0,2,8,"Hello, how can I help you today?"
hackst01m,1956,CHN,NL,1,157,60,94,8,"Hello, how can I help you today?"
manuech01m,2002,CLE,AL,1,86,39,47,3,"Hello, how can I help you today?"
muserto01m,1998,KCA,AL,1,161,72,89,3,"Hello, how can I help you today?"
frankhe01m,1965,SFN,NL,1,163,95,67,2,"Hello, how can I help you today?"
manueje01m,2010,NYN,NL,1,162,79,83,4,"Hello, how can I help you today?"
gonzafr99m,2007,FLO,NL,1,162,71,91,5,"Hello, how can I help you today?"
onsloja01m,1950,CHA,AL,1,31,8,22,6,"Hello, how can I help you today?"
tinkejo01m,1916,CHN,NL,1,156,67,86,5,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
mckecbi01m,1933,BSN,NL,1,156,83,71,4,"Hello, how can I help you today?"
weaveea99m,1986,BAL,AL,1,162,73,89,7,"Hello, how can I help you today?"
knighra01m,2003,CIN,NL,2,1,1,0,5,"Hello, how can I help you today?"
hanlone01m,1904,BRO,NL,1,154,56,97,6,"Hello, how can I help you today?"
trebeto99m,1990,ML4,AL,1,162,74,88,6,"Hello, how can I help you today?"
kellejo01m,1903,CIN,NL,1,141,74,65,4,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
alstowa01m,1956,BRO,NL,1,154,93,61,1,"Hello, how can I help you today?"
hanlone01m,1893,BLN,NL,1,130,60,70,8,"Hello, how can I help you today?"
zimmedo01m,1991,CHN,NL,1,37,18,19,4,"Hello, how can I help you today?"
houkra01m,1969,NYA,AL,1,162,80,81,5,"Hello, how can I help you today?"
tebeapa01m,1897,CL4,NL,1,132,69,62,5,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык."
mcgrajo01m,1927,NY1,NL,1,122,70,52,3,"Hello, how can I help you today?"
francte01m,2004,BOS,AL,1,162,98,64,2,"Hello, how can I help you today?"
lefebji01m,1991,SEA,AL,1,162,83,79,5,"Hello, how can I help you today?"
willidi02m,1973,OAK,AL,1,162,94,68,1,"Hello, how can I help you today?"
baylodo01m,2000,CHN,NL,1,162,65,97,6,"Hello, how can I help you today?"
alstowa01m,1960,LAN,NL,1,154,82,72,4,"Hello, how can I help you today?"
howleda01m,1932,CIN,NL,1,155,60,94,8,"Hello, how can I help you today?"
bakerdu01m,1998,SFN,NL,1,163,89,74,2,"Hello, how can I help you today?"
coxbo01m,2003,ATL,NL,1,162,101,61,1,"Hello, how can I help you today?"
kellyto01m,1987,MIN,AL,1,162,85,77,1,"Hello, how can I help you today?"
hobsobu01m,1994,BOS,AL,1,115,54,61,4,"Hello, how can I help you today?"
carribi02m,1928,BOS,AL,1,154,57,96,8,"Hello, how can I help you today?"
