managerid,awardid,yearid,lgid,tie,notes
dyered01m,TSN Manager of the Year,1946,ML,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
coxbo01m,TSN Manager of the Year,1999,NL,,
penato01m,TSN Manager of the Year,2003,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
stengca01m,TSN Manager of the Year,1953,ML,,
aloufe01m,TSN Manager of the Year,1994,NL,,
harribu01m,TSN Manager of the Year,1947,ML,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
andersp01m,BBWAA Manager of the year,1984,AL,,
mauchge01m,TSN Manager of the Year,1973,ML,,
murtada01m,TSN Manager of the Year,1960,ML,,
rignebi01m,TSN Manager of the Year,1962,ML,,
murtada01m,TSN Manager of the Year,1970,ML,,
gardero01m,BBWAA Manager of the year,2010,AL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
torrejo01m,TSN Manager of the Year,1998,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
tannech01m,TSN Manager of the Year,1972,ML,,
guilloz01m,TSN Manager of the Year,2005,AL,,
sewellu01m,TSN Manager of the Year,1944,ML,,
weaveea99m,TSN Manager of the Year,1977,ML,,
melesa01m,TSN Manager of the Year,1965,ML,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
alstowa01m,TSN Manager of the Year,1963,ML,,
kellyto01m,TSN Manager of the Year,1991,AL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
coxbo01m,TSN Manager of the Year,2004,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
