playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
aaronha01,1955,0,NLS195507120,ML1,NL,1.0,
aaronha01,1956,0,ALS195607100,ML1,NL,1.0,
aaronha01,1957,0,NLS195707090,ML1,NL,1.0,9.0
aaronha01,1958,0,ALS195807080,ML1,NL,1.0,9.0
aaronha01,1959,1,NLS195907070,ML1,NL,1.0,9.0
aaronha01,1959,2,NLS195908030,ML1,NL,1.0,9.0
aaronha01,1960,1,ALS196007110,ML1,NL,1.0,9.0
aaronha01,1960,2,ALS196007130,ML1,NL,1.0,9.0
aaronha01,1961,1,NLS196107110,ML1,NL,1.0,
aaronha01,1961,2,ALS196107310,ML1,NL,1.0,
aaronha01,1962,1,ALS196207100,ML1,NL,0.0,
aaronha01,1962,2,NLS196207300,ML1,NL,1.0,
aaronha01,1963,0,ALS196307090,ML1,NL,1.0,9.0
aaronha01,1964,0,NLS196407070,ML1,NL,1.0,
aaronha01,1965,0,ALS196507130,ML1,NL,1.0,9.0
aaronha01,1966,0,NLS196607120,ATL,NL,1.0,7.0
aaronha01,1967,0,ALS196707110,ATL,NL,1.0,8.0
aaronha01,1968,0,NLS196807090,ATL,NL,1.0,9.0
aaronha01,1969,0,ALS196907230,ATL,NL,1.0,9.0
aaronha01,1970,0,NLS197007140,ATL,NL,1.0,9.0
aaronha01,1971,0,ALS197107130,ATL,NL,1.0,9.0
aaronha01,1972,0,NLS197207250,ATL,NL,1.0,9.0
aaronha01,1973,0,ALS197307240,ATL,NL,1.0,3.0
aaronha01,1974,0,NLS197407230,ATL,NL,1.0,9.0
aaronha01,1975,0,ALS197507150,ML4,AL,1.0,
aasedo01,1986,0,NLS198607150,BAL,AL,1.0,
abreubo01,2004,0,NLS200407130,PHI,NL,1.0,
abreubo01,2005,0,ALS200507120,PHI,NL,1.0,9.0
adamsac01,1943,0,ALS194307130,NY1,NL,0.0,
adcocjo01,1960,1,ALS196007110,ML1,NL,1.0,3.0
