playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
mendora01,2002,NYA,AL,АЛДС-1,П,2,0,4.0,0,0,0,0,0,,0.0,0.0
crabtti01,1999,TEX,AL,ALDS2,П,2,0,5.0,0,1,0,0,0,,0.0,0.0
moellch01,2002,ARI,NL,NLDS2,С,1,1,18.0,4,1,0,0,0,0.0,1.0,1.0
bellda01,2002,SFN,NL,НЛКС,3Б,5,5,135.0,2,10,0,0,0,,,
barnevi01,1923,NY1,NL,ws,П,2,0,14.0,1,2,0,0,0,,0.0,0.0
boonebo01,1980,PHI,NL,ws,С,6,6,161.0,49,3,0,0,0,0.0,6.0,1.0
bonilbo01,2000,ATL,NL,НЛДС-1,ЛФ,1,0,13.0,0,0,0,0,0,,,
fermife01,1995,SEA,AL,АЛКС,SS,1,0,6.0,0,0,0,0,0,,,
cromawa01,1981,MON,NL,НЛКС,1Б,5,5,132.0,48,2,0,6,0,,,
colonba01,2004,ANA,AL,АЛДС-1,П,1,1,18.0,0,0,0,0,0,,0.0,0.0
slatoji01,1981,ML4,AL,Аидив,П,4,0,18.0,0,0,0,0,0,,0.0,0.0
lacyle01,1977,LAN,NL,ws,RF,2,2,42.0,2,0,0,0,0,,,
labincl01,1953,BRO,NL,ws,П,3,0,15.0,0,2,0,1,0,,0.0,1.0
matthga02,2008,LAA,AL,АЛДС-1,RF,2,1,39.0,5,0,1,0,0,,,
sprinru01,1997,HOU,NL,NLDS2,П,2,0,5.0,0,0,0,0,0,,0.0,0.0
bauerha01,1951,NYA,AL,ws,ЛФ,1,1,27.0,0,0,0,0,0,,,
johnto01,1981,NYA,AL,Аидив,П,1,1,21.0,0,3,0,0,0,,0.0,1.0
devermi01,1996,BAL,AL,АЛДС-1,RF,2,0,6.0,1,0,0,0,0,,,
ogdencu01,1924,WS1,AL,ws,П,1,1,1.0,0,0,0,0,0,,0.0,0.0
planked01,1914,PHA,AL,ws,П,1,1,27.0,0,1,0,0,0,,2.0,1.0
marreel01,2002,SLN,NL,NLDS2,ЛФ,1,0,6.0,0,0,0,0,0,,,
wyseha01,1945,CHN,NL,ws,П,3,1,23.0,0,0,0,0,0,,0.0,0.0
penato01,1997,HOU,NL,NLDS2,С,2,0,6.0,2,0,0,0,0,0.0,0.0,0.0
yeagest01,1983,LAN,NL,НЛКС,С,2,2,48.0,7,1,0,0,0,0.0,0.0,0.0
roystje01,1982,ATL,NL,НЛКС,3Б,1,0,4.0,0,0,0,0,0,,,
lopezau01,1984,DET,AL,ws,П,2,0,9.0,0,0,0,0,0,,0.0,0.0
johnsho01,1988,NYN,NL,НЛКС,3Б,1,0,3.0,0,0,0,0,0,,,
victosh01,2007,PHI,NL,NLDS2,RF,2,2,51.0,6,0,0,0,0,,,
fernato01,1993,TOR,AL,АЛКС,SS,6,6,162.0,12,8,0,5,0,,,
mendora01,2001,NYA,AL,ws,П,2,0,8.0,0,1,0,0,0,,0.0,0.0
fostege01,1972,CIN,NL,ws,RF,1,0,6.0,0,0,0,0,0,,,
koplomi01,2002,ARI,NL,NLDS2,П,1,0,4.0,1,0,0,0,0,,0.0,0.0
willist02,1959,LAN,NL,ws,П,1,0,6.0,0,0,0,0,0,,0.0,0.0
salmoti01,2002,ANA,AL,ws,RF,7,7,162.0,11,0,1,0,0,,,
wrighja02,1997,CLE,AL,ws,П,2,2,37.0,0,1,0,0,0,,1.0,0.0
wakefti01,1998,BOS,AL,АЛДС-1,П,1,1,4.0,0,0,0,0,0,,1.0,0.0
sanchre01,1997,NYA,AL,АЛДС-1,Две единицы,5,5,118.0,15,14,0,1,0,,,
belanma01,1979,BAL,AL,ws,SS,5,2,57.0,3,7,1,2,0,,,
ibanera01,2010,PHI,NL,НЛДС-1,ЛФ,3,3,81.0,7,0,0,0,0,,,
marioma01,1946,SLN,NL,ws,SS,7,7,186.0,12,22,2,3,0,,,
fairlro01,1965,LAN,NL,ws,RF,7,7,180.0,8,0,0,0,0,,,
bonilbo01,1990,PIT,NL,НЛКС,RF,5,5,99.0,3,0,1,0,0,,,
bottoji01,1926,SLN,NL,ws,1Б,7,7,189.0,79,1,0,5,0,,,
meusebo01,1921,NYA,AL,ws,RF,8,8,210.0,10,2,0,0,0,,,
hoakdo01,1955,BRO,NL,ws,3Б,1,1,27.0,1,1,0,0,0,,,
zimmedo01,1955,BRO,NL,ws,Две единицы,4,3,78.0,4,8,2,3,0,,,
frymatr01,1999,CLE,AL,АЛДС-1,3Б,5,5,129.0,0,10,0,2,0,,,
magnami01,2001,OAK,AL,ALDS2,П,1,0,4.0,0,0,0,0,0,,0.0,0.0
cunnawi01,2003,ATL,NL,NLDS2,П,2,0,5.0,0,0,0,0,0,,0.0,0.0
wisede01,2004,ATL,NL,NLDS2,ЛФ,1,0,3.0,0,0,0,0,0,,,
yountro01,1982,ML4,AL,ws,SS,7,7,180.0,20,19,3,1,0,,,
rootch01,1938,CHN,NL,ws,П,1,0,9.0,0,0,0,0,0,,0.0,0.0
sanchfr01,2010,SFN,NL,НЛКС,Две единицы,6,6,159.0,9,17,0,3,0,,,
mendora01,2001,NYA,AL,ALDS2,П,3,0,13.0,0,2,0,0,0,,0.0,0.0
uribejo01,1989,SFN,NL,ws,SS,3,2,47.0,1,3,0,0,0,,,
sewellu01,1933,WS1,AL,ws,С,5,5,138.0,23,2,0,0,0,0.0,0.0,1.0
