playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
roeniga01,1987,1,ATL,NL,RF,4,2.0,54.0,5.0,0.0,0.0,0.0,,,,,
valleda01,1990,1,SEA,AL,С,104,98.0,2526.0,631.0,44.0,2.0,9.0,9.0,44.0,65.0,28.0,0.0
braunst01,1975,1,MIN,AL,3Б,2,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
stronja01,2005,1,SEA,AL,RF,1,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
singlke01,1974,1,MON,NL,RF,143,142.0,3729.0,224.0,7.0,11.0,0.0,,,,,
meyerda01,1975,1,DET,AL,ОФ,74,74.0,1902.0,130.0,4.0,7.0,0.0,,,,,
lillyte01,2002,2,OAK,AL,П,6,5.0,70.0,1.0,1.0,0.0,0.0,,,,,
faszhja01,1953,1,SLN,NL,П,4,,,0.0,0.0,0.0,0.0,,,,,
sullijo01,1896,1,PHI,NL,SS,2,,,2.0,4.0,3.0,1.0,,,,,
harpeto01,1975,2,OAK,AL,RF,3,2.0,45.0,5.0,0.0,0.0,0.0,,,,,
bridgma01,1965,1,WS2,AL,П,40,0.0,172.0,3.0,9.0,1.0,0.0,,,,,
valdese01,1990,2,CLE,AL,П,24,13.0,307.0,8.0,11.0,2.0,1.0,,,,,
hendrge01,1986,1,CAL,AL,ОФ,93,67.0,1764.0,144.0,6.0,5.0,2.0,,,,,
wertdo01,1970,1,DET,AL,Две единицы,2,0.0,15.0,1.0,2.0,0.0,0.0,,,,,
tayloja02,1906,2,CHN,NL,П,17,,,5.0,44.0,1.0,2.0,,,,,
wardtu01,1991,1,CLE,AL,ОФ,38,29.0,795.0,65.0,1.0,0.0,0.0,,,,,
latimta01,1899,1,LS3,NL,1Б,1,,,0.0,0.0,2.0,0.0,,,,,
owenser01,2000,1,SDN,NL,CF,34,32.0,849.0,74.0,2.0,0.0,0.0,,,,,
tinslle01,1997,1,SEA,AL,CF,6,3.0,105.0,9.0,1.0,0.0,1.0,,,,,
jacksra01,1959,2,CHN,NL,ОФ,1,1.0,3.0,0.0,0.0,0.0,0.0,,,,,
