franchid,franchname,active,naassoc
BUF,Баффало Биллс,"Hello, how can I help you today?",
ANA,Лос-Анджелес Энджелс из Анахайма,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
MLU,Милуоки Брюэрс,"Hello, how can I help you today?",
NYI,Нью-Йорк Джайантс,"Hello, how can I help you today?",
PBS,Питтсбург Rebелы,"Hello, how can I help you today?",
COR,Цинциннати Оутлоуд Редз,"Hello, how can I help you today?",
BNA,Бостон Ред Стокингс,Нет,"ATL — это акроним от ""Above The Line"" и используется в маркетинге и рекламе для обозначения форм маркетинговых коммуникаций, которые не требуют прямого взаимодействия с потребителем или клиентом. К ним относятся печатная реклама, радио- и телевизионная реклама, наружная реклама и другие формы рекламы, которые достигают широкой аудитории без персонального подхода."
CLI,Кливленд Инфантс,"Hello, how can I help you today?",
NNA,Нью-Йорк Мютуалов,Нет,НЮ
HAR,Χάρтфорд Дарк Блюз,"Hello, how can I help you today?",НАН
KCP,Канзас-Сити Пакерс,"Hello, how can I help you today?",
TLM,Толедо Маумее,"Hello, how can I help you today?",
LOU,Луисвилл Колонелс,"Hello, how can I help you today?",
MAR,"Балтимор, Мэриленд",Нет,
ATL,Атланта Брейвз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",БНА
BRA,Бруклин Атлетикс,Нет,
CKK,Киль в Цинциннати: убийцы,"Hello, how can I help you today?",
BLU,Бальтиморские монументальные скульптуры,"Hello, how can I help you today?",
BLC,Балтиморские орлы,Нет,
PHI,Филадельфийские Филлис,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
SYR,Сиракузские звёзды,"Hello, how can I help you today?",
SEA,Сиэтл Маринерс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
CHH,Чикаго Вэллис,"Hello, how can I help you today?",
BWW,Вундрa Бруклин Уорда,"Hello, how can I help you today?",
RIC,Ричмондцы Вирджиния,"Hello, how can I help you today?",
SLI,Сент-Луис Территерс,"Hello, how can I help you today?",
CLS,Коламбус Солонс,"Hello, how can I help you today?",
WST,Вашингтон Стейтменс,"Hello, how can I help you today?",
BLT,Балтимор Чалджи,"Hello, how can I help you today?",
ALT,Альтона-Маунтин-Сити,"Hello, how can I help you today?",
CPI,Чикаго/Питтсбург (Объединенная лига),"Hello, how can I help you today?",
CHP,Чикаго Пираты,"Hello, how can I help you today?",
SNA,Сент-Луис Браун Стокингс,Нет,SBS
BFB,Баффало Биллс,"Hello, how can I help you today?",
MLG,Милвоки Грейс,"Hello, how can I help you today?",
NEW,Ньюарк Пеппер,"Hello, how can I help you today?",
WIL,Уилмингтон-Квикстепс,"Hello, how can I help you today?",
NYY,Нью-Йорк Янкиз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
SBS,Сент-Луис Браун Стокингс,"Hello, how can I help you today?",СНА
PNA,Филадельфийские Атлеты,Нет,АТХ
IBL,Индианаполис Блюз,"Hello, how can I help you today?",
TEX,Техас Рейнджеры,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
MAN,Миддлтон-Мансфилды,Нет,
LAD,Лос-Анджелес Доджерс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
RES,Элизабета Решает,Нет,
KCN,Канзас-Сити Ковбои,"Hello, how can I help you today?",
IHO,Индианаполис Хойос,"Hello, how can I help you today?",
TRT,Тройцы,"Hello, how can I help you today?",
FLA,Флорида Марлинс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
COL,Колорадо Рокиз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
MLA,Милуоки Брюэрс,"Hello, how can I help you today?",
DTN,Детройт Влэрз,"Hello, how can I help you today?",
HNA,Χάρтфорд Дарк Блюз,Нет,ХАР
WAS,Вашингтонские сенаторы,"Hello, how can I help you today?",
WBL,Вашингтонские синие ноги,Нет,
WES,Кеокук Уэстернс,Нет,
MIN,Миннесота Твинс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
SLM,Сент-Луис Марунс,"Hello, how can I help you today?",
BAL,Балтимор Ориолс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",
BRD,Бостон Редс,"Hello, how can I help you today?",
PHA,Филадельфийские Атлеты,"Hello, how can I help you today?",
CNR,Цинциннати Редс,"Hello, how can I help you today?",
ATH,Филадельфийские Атлеты,"Hello, how can I help you today?",НБА
