id,lgid,teamid,franchid,name,park
163,NL,BRO,LAD,Бруклинские грызуны,Вашингтон Парк II
73,AL,LAA,ANA,Лос-Анджелес Энджелс,Уридж-билдинг (Чикаго)
314,UA,WSU,WNA,Вашингтон Нэшнлз,
206,NL,CN1,CNR,Цинциннати Редс,Банк Стрит Граундс
51,AL,CHA,CHW,Чикаго Уайлд-Уингс,Южный парк II
292,NL,WAS,WSN,Вашингтон Нэшнлз,Стадион R.F.K.
309,UA,MLU,MLU,Милуоки Брюэрс,
200,NL,CIN,CIN,Цинциннати Редс,Дворец Фанатов
311,UA,SLU,SLM,Сент-Луис Марунс,
118,FL,BRF,BTT,Бруклин Тип-Топс,
136,NA,CL1,CFC,Кливленд Форест Сити,Национальная ассоциация игровых площадок
9,AA,BS2,BRS,Бостон Редс,Конгресс-стрит-граундс
111,AL,WS1,MIN,Вашингтонские сенаторы,Американский бейсбольный парк I
140,NA,KEO,WES,Кеокук Уэстернс,Перри-Парк
207,NL,COL,COL,Колорадо Рокиз,Корас Филд
45,AL,BOS,BOS,Бостон Ред Сокс,Фенвей-парк II
248,NL,PHI,PHI,Филадельфийские Филлис,Бакер-бол
92,AL,PHA,OAK,Филадельфийские Атлеты,Колумбский парк
304,UA,BLU,BLU,Бальтиморские монументальные скульптуры,
91,AL,OAK,OAK,Окленд Атлетикс,Окленд-Аламеда Каунти Колизей
126,FL,PTF,PBS,Питтсбург Rebелы,
293,NL,WOR,WOR,Уорикер Руби Лэгс,Остер-Боденский парк для езды на лошадях
77,AL,MIN,MIN,Миннесота Твинс,"Стадион ""Метрополитен"""
90,AL,OAK,OAK,Окленд Атлетикс,Окленд Колизей
93,AL,PHA,OAK,Филадельфийские Атлеты,Стадион Конни Мак
70,AL,KCA,KCR,Канзас-Сити Роялс,Муниципальный стадион II
7,AA,BR3,LAD,Бруклин Грейс,Вашингтон-парк I
124,FL,KCF,KCP,Канзас-Сити Пакерс,
62,AL,CLE,CLE,Кливлендские гиганты,Лиговый парк II
80,AL,MLA,BAL,Милуоки Брюэрс,Ллойд-стрит-граундс
151,NA,WS3,OLY,Олимпийские игры в Вашингтоне,Олимпийский комплекс
25,AA,PH4,PHA,Филадельфийские Атлеты,Оукдейл-Парк
225,NL,LAN,LAD,Лос-Анджелес Доджерс,Лос-Анджелесский мемориальный стадион
35,AA,TL2,TLM,Толедо Маумее,Парк Сперанца
291,NL,WAS,WSN,Вашингтон Нэшнлз,Национальная площадка
24,AA,PH4,PHA,Филадельфийские Атлеты,Jefferson Street Grounds
271,NL,SFN,SFG,Сан-Франциско Джайентс,Стадион «Кандлстик Парк»
94,AL,PHA,OAK,Филадельфийские Атлеты,Шибе-парк
37,AA,WS9,WAS,Вашингтон Стейтменс,Ограничивающая область
73,AL,LAA,ANA,Лос-Анджелес Энджелс,Уридж-билдинг (Чикаго)
228,NL,LS3,LOU,Луисвилл Колонелс,Эклипс Парк II
98,AL,SEA,SEA,Сиэтл Маринерс,"Стадион ""Сафеко Филд"""
63,AL,DET,DET,Детройт Тайгерс,Бэнетт Парк
168,NL,BRO,LAD,Бруклин Робинс,Эббитс-филд
239,NL,NY1,SFG,Нью-Йорк Джайантс,Поло-граунды III
247,NL,PHI,PHI,Филадельфийские Блю Джейс,Шибе-парк
174,NL,BSN,ATL,Бостон Бэеватерс,"Южный конец, участок III"
60,AL,CLE,CLE,Кливлендские индейцы,Прогрессивное поле
146,NA,PH3,CEN,Филадельфийские столетники,Стоунхилл-ин-Фолз
231,NL,MIL,MIL,Милуоки Брюэрс,Миллером Парк
43,AL,BOS,BOS,Бостон Ред Сокс,Хинтон-авеню Гроундс
208,NL,COL,COL,Колорадо Рокиз,"Стадион ""Майл-Хай"""
51,AL,CHA,CHW,Чикаго Уайлд-Уингс,Южный парк II
40,AL,BAL,BAL,Балтимор Ориолс,Мемориальный стадион
147,NA,RC1,ROK,Рокфорд Фолс Ситиз,Содружество сельскохозяйственных обществ
263,NL,PIT,PIT,Питтсбургские пираты,Пи-эн-си Парк
190,NL,CHN,CHC,"Чикаго ""Белые стокинги""",Парк озера I/Парк озера I
226,NL,LS1,LGR,Луисвилл Грейс,"Стадион ""Луисвилл Бэйсбол"""
145,NA,PH2,PWS,Филадельфия-Уайтс,Jefferson Street Grounds
276,NL,SL5,SLM,Сент-Луис Марунс,Парк спортивного отдыха I
152,NA,WS4,NAT,Вашингтон Нэшнлз,Национальные площадки
97,AL,SEA,SEA,Сиэтл Маринерс,Стадион «Кингдом» / «Сафеко Филд»
78,AL,MIN,MIN,Миннесота Твинс,Целевое поле
292,NL,WAS,WSN,Вашингтон Нэшнлз,Стадион R.F.K.
14,AA,CN2,CIN,Цинциннати Ред Стокингс,Лига-парк I в Цинциннати
118,FL,BRF,BTT,Бруклин Тип-Топс,
21,AA,ML3,MLA,Милуоки Брюэрс,Спортивная площадка
