schoolid,schoolname,schoolcity,schoolstate,schoolnick
viterbowi,Университет Витербо,ЛаКросс,ВИ,Сыры
gaswestern,Гораиу-Сизуэсте Стейт Университет,Америкус,GA,Ураганы
baylor,Бэйлорский университет,Вако,ТХ,Медведи
evansville,Университет Эвансвилла,Эвансвилл,В,Фиолетовые Асы
scarolina,Университет Южной Каролины,Колумбия,СК,Птица цыплят
indianapa,Пенсильванский университет в Индиане,Индиана,ПА,Индийцы
umass,Университет Массачусетса в Амхерсте,Амхерст,МА,Минутмены
stthomasmn,Университет Святого Томаса,Сент-Пол,MN — МН,Томми
harding,Университет Хардинга,Сарси,АР,Бизон
philly,Филадельфийский университет,Филиадельфиа,ПА,Рамсы
hawaiihilo,Университет Гавайи на Хило,Хило,Привет!,Вулканы
troyst,Тройский государственный университет,Трой,АЛ,Трояны
stedwardtx,Университет Святого Эдуарда,Остин,ТХ,Горные вёрсты
nycortland,"Государственный университет Нью-Йорка, колледж в Кортленде",Кортленд,Нью-Йорк,красные драконы
nebkearney,Университет Небраски в Кейнеке,Керн,НЕ,Лопперс
elon,Элон-Университи,Элон,НГ,Финикс
loyolachi,Лойолаский университет в Чикаго,Чикаго,ИЛ,Рамблеры
creighton,Университет Кристьана,Омаха,НЕ,Скиперы
kansas,Университет Канзаса,Лоренс,К,Джейхуксы
scstate,Южный Каролиский государственный университет,Орангебург,СК,Бульдоги
navy,Морской кадетской школы США,Аннаполис,МД,Мидшипмены
ohio,Университет Огайо,Афины,ОХ,Бобкаты
cflorida,Университет Центральной Флориды,Орландо,ФЛ,Золотые Рыцари
lambuthtn,Университет Ламбта,Джексон,ТН,Орлы
samhouston,Сам Хьюстонский государственный университет,Хунсвилл,ТХ,Баркац
erskine,Колледж Эрскина,Западный край,СК,Летный флот
nmhighland,Университет высоких plains Нью-Мексико,Las-Вегас,НМ,"Буквально: ""ковбои"""
trinityct,Тринити-колледж,Харфорд,КТ,Бантеры
miamioh,Университет Майами,Оксфорд,ОХ,Красный ястреб
georgemas,Университет Джорджа Масона,Фэрфакс,Ва,Патриоты
mtunionoh,Монт-Юнион Колледж,Союз,ОХ,Разбойники
ilcollege,Колледж Иллинойса,Джексонвилл,ИЛ,Блюбойз
almami,Альма-колледж,Алма,МИ,Скотцы
rhodestn,Роудс Колледж,Мемфис,ТН,Линкс
unc,Университет Северной Каролины,Чапел-Хилл,НГ,Тар-Хилс
txwesleyan,Техасский методистский университет,Форт-Уорт,ТХ,Рамсы
villanova,Университет Villanova,Вилла Новелла,ПА,Дикие кошки
wflorida,Университет Западной Флориды,Пенсакола,ФЛ,Аргонавты
grinnellia,Университет Гринелл,Гриннелл,Я,Пионеры
colbyme,Колби-колледж,Ватервилл,Я,Мули
highpoint,Университет Хай-Пойнт,Высокий пункт,НГ,Пантеры
hendrixar,Колледж Hendrix,Конвей,АР,Воины
staugustne,Колледж Святого Августина,Рали,НГ,Соколы
fordham,Фордхамский университет,Брукс,Нью-Йорк,Рамсы
amerintl,Международный колледж Америки,Спрингфилд,МА,Желтые жакеты
drake,Университет Дрейка,Дес-Молинс,Я,Бульдоги
muskingum,Колледж Маскингем,Новый Конкорд,ОХ,Борьба с москами
montanast,Монтана Государственный Университет,Боузман,МТ,Бобкаты
sfaustin,Стивен Ф. Остин Стейт Университет,Накогдошеc,ТХ,Лесорубы
