playerid,awardid,yearid,lgid,tie,notes
koufasa01,Hutch Award,1966,ML,,
oneilst01,Baseball Magazine All-Star,1921,ML,,С
walkela01,Gold Glove,1993,NL,,ОФ
jeterde01,Lou Gehrig Memorial Award,2010,ML,,
fonsele01,Baseball Magazine All-Star,1929,AL,,1Б
gehrich01,Baseball Magazine All-Star,1936,ML,,Две единицы
kurowwh01,Baseball Magazine All-Star,1946,NL,,3Б
maddugr01,Cy Young Award,1993,NL,,
alexape01,Baseball Magazine All-Star,1925,NL,,П2
foxxji01,Most Valuable Player,1933,AL,,
bollifr01,Gold Glove,1958,AL,,Две единицы
simmoal01,Baseball Magazine All-Star,1931,AL,,ЛФ
stephve01,Baseball Magazine All-Star,1944,AL,,SS
izturce01,Gold Glove,2004,NL,,SS
burksel01,TSN All-Star,1990,AL,,ОФ
kellyge01,Baseball Magazine All-Star,1921,NL,,1Б
pinsova01,Gold Glove,1961,NL,,ОФ
greenha01,Baseball Magazine All-Star,1935,AL,,1Б
koufasa01,TSN All-Star,1966,NL,,П
roberro01,TSN All-Star,1953,ML,,П
cobbty01,Baseball Magazine All-Star,1917,AL,,ОФ
stanlmi02,TSN All-Star,1993,AL,,С
perezto01,Lou Gehrig Memorial Award,1980,ML,,
gehrilo01,Baseball Magazine All-Star,1934,ML,,1Б
edmonji01,Gold Glove,2002,NL,,ОФ
glavito02,TSN All-Star,1998,NL,,ЛХП
robinja02,TSN All-Star,1950,ML,,Две единицы
brosisc01,Gold Glove,1999,AL,,3Б
parneme01,TSN All-Star,1949,ML,,П
dropowa01,TSN All-Star,1950,ML,,1Б
garvest01,Gold Glove,1977,NL,,1Б
willima04,TSN All-Star,1993,NL,,3Б
suzukic01,Most Valuable Player,2001,AL,,
applilu01,TSN All-Star,1940,ML,,SS
wertzvi01,Baseball Magazine All-Star,1949,ML,,RF
bondsba01,Gold Glove,1990,NL,,ОФ
speaktr01,Baseball Magazine All-Star,1918,ML,,ОФ
venturo01,Gold Glove,1992,AL,,3Б
daubeja01,Baseball Magazine All-Star,1914,ML,,1Б
bunniji01,TSN All-Star,1964,NL,,П
collied01,Baseball Magazine All-Star,1911,ML,,Две единицы
santibe01,Silver Slugger,1991,NL,,С
boudrlo01,Baseball Magazine All-Star,1946,AL,,SS
wilsoha01,Baseball Magazine All-Star,1929,ML,,CF
boggswa01,Silver Slugger,1989,AL,,3Б
deandi01,TSN Guide MVP,1934,NL,,
willima04,Gold Glove,1993,NL,,3Б
guidrro01,Gold Glove,1985,AL,,П
tananfr01,TSN All-Star,1976,AL,,ЛХП
