country,organization,type
ТА,ООН,Член
УРБ,ВОИС,Член
NAU,ВОЗ,Член
KWT,МФК,Член
SY,МФОКК,Член
ТА,АСЕАН,Член
SF,Интерпол,Член
CZ,ГЯП,Член
ВАГ,Интерпол,Член
GH,WFTU,Член
ДЖА,МОТ,Член
ДОМ,Группа 11,Член
IRL,СПРООН,Член
ВАН,Интерпол,Член
COM,МАР,Часть II
И,О-9,Член
РП,Интелсат,Член
ДА,AL,Член
Новой Зеландии,МФОКК,Член
Н,ВОЗ,Член
RO,МОК,Национальный олимпийский комитет
ТА,Интерпол,Член
РП,МАР,Часть II
Новой Зеландии,ВОИС,Член
ВАГ,ВОТ,Член
ДСО,ВПС,Член
GH,ИКМООНН,Член
CH,ЕБРР,Член
АГ,ВОЗ,Член
PL,МСЭ,Член
D,ППТС,Член
МВт,МФК,Член
ZW,ИКАО,Член
TAD,ЭСКАТО,Член
YV,МБРР,Член
РЧ,МОК,Национальный олимпийский комитет
Р,РКРТ,Член
Р,ППТС,Член
E,ВОЗ,Член
СУА,ЮНЕСКО,Член
RG,МФК,Член
МСП,МООНГ,Член
ДОМ,ВМО,Член
B,АККТ,Член
ДК,ИСО,Член
Ру,МАГАТЭ,Член
SLB,МБРР,Член
РГ,ЛАС,Член
МВт,ВПС,Член
РШМ,МОМ,наблюдатель
JOR,МОМ,наблюдатель
Н,ВМО,Член
МАРТ,ВКЛ,Член
РММ,ВОТ,Член
Р,ЭКЛАК,Член
ОПП,ЦЕИ,ассоциированный член
ОК,ВОЗ,Член
I,ЭКЛАК,Член
ЛТ,БИС,Член
B,АГ,наблюдатель
СИН,МУС,Член
KN,ВКЛ,Член
РЭ,МВФ,Член
Р,ZC,Член
AL,ЕБРР,Член
RSA,МСЭ,Член
США,ВОЗ,Член
PL,ИКАО,Член
ПК,МАР,Часть II
CI,ИКАО,Член
К,ЭСКАТО,Член
ТЗА,АзБР,региональный член
HCA,ВМО,Член
ГБ,ИКМООНН,Член
РЧ,ВКЛ,Член
PY,ВКЛ,Член
ГНБ,ФАО,Член
КН,АНК,Член
АГ,Группа 77,Член
БРУ,ФАО,Член
МПК,WFTU,Член
ВАН,ОАЕ,Член
И,ЮНИДО,Член
ПНГ,C,Член
ГБ,МАГАТЭ,Член
SLB,МФК,Член
БИ,МФОКК,Член
ДОМ,ВКЛ,Член
