mountain,island
Мерапи,Ява
Рантекомбола,Сулавеси
Piton de la Fournaise,Воссоединение
Пулог,Лузон
Королева Марис Пик,Тристан-да-Кунья
Oraefajokull,Италия
Бен Невис,Великобритании
Мантальингаджан,Палаван
Керинчи,Суматра
Мауна Луа,Гавайи
Псилорит,Крета
Сильвисили,Саваи
Монт-Орохена,Таити
Ю Шан,Тайвань
Piton des Neiges,Воссоединение
Пико де Сан-Томе,Сан-Томе
Этна,Сицилия
Гунунг Бинайя,Церам
Leuser,Суматра
Концепция,Айла да Ометепе
Пико де Тейд,Тенерифа
Пико Туркино,Куба
Диаблотины морна,Доминика
Халекала,Мауи
Суфриер Хиллз,Монтсеррат
Пико Руиво,Мадейра
Pico de los Nieves,Гран Канариа
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Руапеху,Те Ика-а-Мауи (Северный остров)
Попоманасей,Гвадалканал
Панчак Джая,Новая Гвинея
Монте Синто,Корс
Суфриер,Сент-Винсент
М. Кук,Те Вака-а-Мауи (Южный остров)
Кинабалу,Борнео
Жима,Олкхон
Асахи-Дейк,Хоккайдо
Вильгельм,Новая Гвинея
Ла Суфриер,Басс-Терре
Фого,Фого
Гора Апо,Минданао
Андрингитра,Мадагаскар
Пели,Мартиника
Олимпос,Кипр
Голубая гора,Чили
Гилуве,Новая Гвинея
Тамбора,Сумбава
Пинатубо,Лузон
Виктория,Вити Леву
Снэфелл,Италия
Циафаявона,Мадагаскар
Царатанана,Мадагаскар
Г-н Один,Остров Баффин
Г-н Бабель,Остров Рене Левассеур
