island,country,province
Кайман Брак,Кейм,Каймановы острова
Льюис и Харрис,ГБ,Внешние гебриды
Фуэртевентура,E,Канарские острова
Кюсю,J,Оита
Великобритании,ГБ,Блейно Гвент
Манитулен,КН,Онтарио
Великобритании,ГБ,Кармартеншир
Сент-Люсия,WL,Сент-Люсия
Остров Санта-Каталина,США,Калифорния
Великобритании,ГБ,Кардифф
Князь острова Уэльс,КН,Северо-западные территории
Великобритании,ГБ,Кливленд
Дагое,ЭВ,Литва
Сантьяго,CV,Кабо-Верде
Новая Гвинея,ПНГ,Папуа-Новая Гвинея
Кюсю,J,Кумамото
Италия,ГБ,Великобритании и Северной Ирландии
Руген,D,Мекленбург Ворпоммерн
Мадагаскар,РМ,Тоамасина
Каваратти,СИН,Лаксхадвип - это.
Хонсю,J,Осака
Влиленд,Нл,Фризленд
Фальстер,ДК,Дания
Хоккайдо,J,Хоккайдо
Великобритании,ГБ,Мерсисайд
Куба,C,Гуантанамо
Остров Санта-Роза,США,Калифорния
Кюсю,J,Кагосима
Грязный червь,D,Шлезвиг Гольштейн
Сент-Китс,KN,Сент-Китс и Невис
Сарденья,I,Сарденья
Борнео,РИ,Индонезия
Куба,C,Пинар-дель-Рио
Куба,C,Матанзас
Хонсю,J,Ишикава
Шикоку,J,Эхим
Лолланд,ДК,Дания
Хонсю,J,Хиого
Бангка,РИ,Индонезия
Санта-Мария,Р,Азоры
Хонсю,J,Шиман
Хонсю,J,Яманаши
Хонсю,J,Ямагата
Шикоку,J,Кагава
Гозо,М,Мальта
Углы,ГБ,Углы
Антигуа,АГ,Антигуа и Барбуда
Борнео,ТЗА,Саравак
Великобритании,ГБ,Торфаен
Мохилья,COM,Коморские Острова
Хонсю,J,Вакаяма
Гелголенд,D,Шлезвиг Гольштейн
Великобритании,ГБ,Южный Йоркшир
