name,depth
Северный Ледовитый океан,5608.0
Беременное море,4096.0
Мексиканский залив,4375.0
Азовское море,100.0
Охотское море,3372.0
Атлантический океан,9219.0
Море Сулавеси,6218.0
Скагеррак,725.0
Персидский залив,102.0
Карибское море,7240.0
Черное море,2211.0
Японское море,4036.0
Арабское море,5203.0
Восточно-Китайское море,2370.0
Малаккский пролив,104.0
Ирландское море,272.0
Индийский океан,6400.0
Канал,175.0
Сундское море,7440.0
Балтийское море,459.0
Бенгальский залив,4694.0
Море Баренцев,32.0
Сибирианское море,540.0
Каттегат,94.0
Южно-Китайское море,5420.0
Красное море,2635.0
Тихоокеанский океан,11034.0
Бенгальский залив,4045.0
Средиземное море,5121.0
Андаманское море,3113.0
Северное море,200.0
Норвежское море,3860.0
Оманский залив,3350.0
Желтое море,200.0
Аденский залив,5143.0
