mountain,country,province
Мт Митчелл,США,Северная Каролина
Табана Нтленьяна,ЛС,Лесото
Харни Пик,США,Южная Дакота
Тахан,ТЗА,Паханг
Мулхасен,E,Андалусия
Пиз Бернина,I,Ломбардия
Барбо Пик,КН,Северо-западные территории
Иллимани,БОЛ,Боливия
Серро-де-Пунта,ПР,Пуэрто-Рико
Пик Ленина,KGZ,Кыргызстан
Монте Роза,CH,VS
Г-н Богонг,AUS,Виктория
Успокойся.,ПЭ,Куско
Мантальингаджан,РП,Филиппины
Мт Колумбия,КН,Британская Колумбия
Пик Ленина,TAD,Бадахшони Куни
Пик Победа,ТДж,Синьцзян Уйгур
Фудзисан,J,Шизуока
Пико де Сан-Томе,ПДТ,Сан-Томе и Принсипи
М. Кук,Новой Зеландии,Новая Зеландия
Джезерс,AL,Австралия
Невадо дель Руис,CO,Чоко
Суфриер,WV,Сент-Винсент и Гренадины
Дерьмо_Sogn_Gion,CH,ГР
Олимпос,CY,Кипр
Клингонские куполы,США,Теннесси
Халекала,США,Гавайи
Grosser Arber,D,Байерн
Ключевская Сопка,Р,Камчатская область
Pico de los Nieves,E,Канарские острова
Попокатепетл,МЕКС,Пуэбла
Попокатепетл,МЕКС,Морелос
Mt Blackburn,США,Аляска
Gasherbrum I,ПК,Пакистан
Тахат,DZ,Алжир
Пиз Бернина,CH,ГР
Котопакси,ЕС,Эквадор
Г-н Косцийко,AUS,Новый Южный Уэльс
Улуру,AUS,Северная территория
Piton de la Fournaise,ВРЕМЯ,Воссоединение
Рувензори,ЗРЕ,Киву
Дамаванд,IR,Мазандаран
Фако,КАМ,Судоэст
Монте Роза,I,Ломбардия
Монт-Орохена,ФПОЛ,Французская Полинезия
Пик Коммунизма,TAD,Бадахшони Куни
Мт Адамс,США,Вашингтон
Мт МакКинли,США,Аляска
Охос-дель-Саладо,РЭ,Тукуман
Иразу,ЧР,Картаго
Кинабалу,ТЗА,Саба
Семеру,РИ,Индонезия
Коропуна,ПЭ,Арекипа
Охос-дель-Саладо,RCH,Чили
Hotaka-Dake,J,Нагано
Чанбай Шан,Норк,Северная Корея
Мт Реддюйм,США,Аляска
Lhotsse,ТДж,Тибет
Демирказик,ТR,Нигде
Мт Уитни,США,Калифорния
Попоманасей,SLB,Соломоновы Острова
Тубкхаль,МЭТ,Марокко
