city,province,country,river,lake,sea
Омдурман,Аль-Хартум,СУД,Синий Нил,,
Шишу,Хабэй,ТДж,Янгце,,
Шай Шай,Газа,МПК,Лимпопо,,Индийский океан
Мацуяма,Эхим,J,,,Тихоокеанский океан
Гальмстад,Хэлланд,И,,,Каттегат
Брайтон,Восточный Сассекс,ГБ,,,Канал
Джонкопинг,Джонкопинг,И,,Веттерн,
Барселона,Каталония,E,,,Средиземное море
Хуалиен,Тайвань,КР,,,Тихоокеанский океан
Бескон,Фрэнше Комте,F,Сомнения,,
Оломоук,Североморавский,CZ,март,,
Манама,Бахрейн,БРИН,,,Персидский залив
Наполи,Кампания,I,,,Средиземное море
Руан,Достоинство Нормандии,F,Сена,,
Браззавиль,Конго,КБК,Заир,,
Пенанг,Пулау Пинанг,ТЗА,,,Малаккский пролив
Оита,Оита,J,,,Японское море
Иокогама,Канагава,J,,,Тихоокеанский океан
Западный остров,Острова Кокос,COCO,,,Индийский океан
Дакка,Бангладеш,БД,Габариты,,
Шарлотта Амали,Виргинские острова,ВИРГ,,,Карибское море
&lt; &lt; Реджио ди Калабрия &gt; &gt;,Калабрия,I,,,Средиземное море
Вена,Вена,A,Донау,,
Влэр,Австралия,AL,,,Средиземное море
Мульмейн,Мон,МЬЯ,Салуэн,,Андаманское море
Киншаса,Киншаса,ЗРЕ,Заир,,
Сент-Луис,Миссури,США,Миссисипи,,
Калмар,Калмар,И,,,Балтийское море
Мьиткина,Качин,МЬЯ,Иравадди,,
Банда Ачех,Индонезия,РИ,,,Андаманское море
Стэмфорд,Коннектикут,США,,,Атлантический океан
Порт-Судан,Шаркия,СУД,,,Красное море
Нижний Новгород,Нижегородская область,Р,Волга,,
Громовая бухта,Онтарио,КН,,Верхнее озеро,
Оран,Алжир,DZ,,,Средиземное море
Банжармасин,Индонезия,РИ,,,Сундское море
Шаши,Хабэй,ТДж,Янгце,,
Вэйхай,Шаньдун,ТДж,,,Желтое море
Окаяма,Окаяма,J,,,Тихоокеанский океан
Пусан,Южная Корея,ОК,,,Японское море
Соревнование,Соревнование,МЬЯ,Иравадди,,
Порт-Морсби,Папуа-Новая Гвинея,ПНГ,,,Тихоокеанский океан
Вадсоэ,Финнмарк,Н,,,Море Баренцев
Момбаса,Побережье,ЭАК,,,Индийский океан
Флорианополис,Санта-Катарина,КР,,,Атлантический океан
Ангарск,Иркутская область,Р,Ангара,,
Ливорно,Тоскана,I,,,Средиземное море
Бени Сюф,Бени Сюф,ЕТ,Нил,,
Эрзурум,Эрзурум,ТR,Карасу,,
Черкаси,Шеркаска,UA,Днепр,,
Эмбон,Индонезия,РИ,,,Сундское море
Картахена,Мурсия,E,,,Средиземное море
Сьюдад Мадеро,Тамаулипас,МЕКС,,,Мексиканский залив
Роусон,Чубут,РЭ,,,Атлантический океан
Спрингфилд,Массачусетс,США,Река Коннектикут,,
Конкорд,Нью-Гэмпшир,США,Река Мерримак,,
Гаухати,Ассам,СИН,Брахмапутра,,
Ле Хавр,Достоинство Нормандии,F,Сена,,Канал
