island,sea,lake,river
Окинава,Восточно-Китайское море,,
Хонсю,Японское море,,
Басс-Терре,Атлантический океан,,
Невис,Атлантический океан,,
Сент-Люсия,Атлантический океан,,
Миндоро,Южно-Китайское море,,
Паней,Море Сулавеси,,
Барбадос,Атлантический океан,,
Гомера,Атлантический океан,,
Батам,Южно-Китайское море,,
Авст-Вагои,Норвежское море,,
Сулавеси,Море Сулавеси,,
Ломбок,Сундское море,,
Хоккайдо,Охотское море,,
Шри-Ланка,Бенгальский залив,,
Сент-Томас,Атлантический океан,,
Манитулен,,Озеро Гурон,
Площадь,Балтийское море,,
Фехмарн,Северное море,,
Куба,Карибское море,,
Ланай,Тихоокеанский океан,,
Гуам,Тихоокеанский океан,,
Икария,Средиземное море,,
Амеланд,Северное море,,
Борнео,Сундское море,,
Фонгафейл,Тихоокеанский океан,,
Остров Сан-Клементе,Тихоокеанский океан,,
Спиекерог,Северное море,,
Терскельное движение,Северное море,,
Остров Эллесмир,Северный Ледовитый океан,,
Шьермониког,Северное море,,
Великобритании,Канал,,
Шри-Ланка,Индийский океан,,
Линоза,Средиземное море,,
Фуэн,Балтийское море,,
Монтсеррат,Атлантический океан,,
Фальстер,Балтийское море,,
Менорка,Средиземное море,,
Маленький Кайман,Карибское море,,
Стреймой,Норвежское море,,
Родос,Средиземное море,,
Сингапур,Южно-Китайское море,,
Северный Кайкос,Атлантический океан,,
Ниихау,Тихоокеанский океан,,
Гешм,Арабское море,,
Сашалин,Японское море,,
Тристан-да-Кунья,Атлантический океан,,
Хой,Северное море,,
Рум,Атлантический океан,,
Эмбон,Сундское море,,
Окинава,Тихоокеанский океан,,
Кюсю,Японское море,,
Каваратти,Арабское море,,
Южный Андаман,Андаманское море,,
Чили,Карибское море,,
Силит,Северное море,,
Остров Виктория,Северный Ледовитый океан,,
Тонгатапу,Тихоокеанский океан,,
Футуна,Тихоокеанский океан,,
Сицилия,Средиземное море,,
Гран Канариа,Атлантический океан,,
Сент-Мартин,Атлантический океан,,
Италия,Норвежское море,,
Тексель,Северное море,,
Восточный Фолкленд,Атлантический океан,,
Самосир,,Озеро Тоба,
