abbreviation,name,city,country,province,established
ССЗ,Совет сотрудничества стран Залива,Эр-Рияд,С.А.,Саудовская Аравия,1981-05-25
АТЭС,Азиатско-тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,Аль-Хартум,1974-02-18
О-2,Группа 2,,,,
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ОЭС,Организация экономического сотрудничества,Тегеран,IR,Тегеран,1985-01-01
Группа 77,Группа 77,,,,1967-10-01
FZ,Зона франка,Париж,F,Иль де Франция,1945-12-20
ИСО,Международная организация по стандартизации,Женева,CH,ГЭ,1947-02-01
МФСР,Международный фонд сельскохозяйственного развития,Рим,I,Лацио,1974-11-01
УООН,Университет Организации Объединенных Наций,,,,1973-12-06
О-3,Группа 3,,,,1990-10-01
НС,Совет северных стран,Стокгольм,И,Стокгольм,1952-03-16
МУС,Международная торговая палата,Париж,F,Иль де Франция,1919-01-01
Спартека,Южнотихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
МКПТ,Международное движение Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1928-01-01
WFTU,Всемирная федерация профсоюзов,Прага,CZ,Праха,1945-10-03
AMU,Союз арабского Магриба,Рабат,МЭТ,Марокко,1989-02-17
АКТ,"Страны Африки, Карибского бассейна и Тихоокеанского региона",Брюссель,B,Брабант,1976-04-01
СЕ,Совет Европы,Страсбург,F,Alsace,1949-05-05
Г-10,Группа 10,Париж,F,Иль де Франция,1962-10-01
О-9,Группа 9,,,,
МОК,Международный олимпийский комитет,Лозанна,CH,VD,1894-06-23
О-5,Группа 5,,,,1985-09-22
ЦЕИАК,Экономическое сообщество центральноафриканских государств,Либревиль,G,Габон,1983-10-18
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Парень,Гайана,1973-07-04
CDB,Карибский банк развития,,,,1969-10-18
ЭСКАТО,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,ТА,Таиланд,1947-03-28
ЕС,Европейский союз,Брюссель,B,Брабант,1992-02-07
СООНО,Силы Организации Объединенных Наций по охране,Нью-Йорк,США,Нью-Йорк,1992-02-28
ОАТЭС,Организация арабских стран-экспортеров нефти,,,,1968-01-09
RG,Группа Рио,,,,1988-01-01
БИС,Банк международных расчетов,Базель,CH,BS,1930-01-20
АНЗЫ,Договор о безопасности между Австралией и Новой Зеландией и Соединенными Штатами,Канберра,AUS,Австралийская столичная территория,1951-09-01
БКИ,Центральноамериканский банк экономической интеграции,Тегусигальпа,HCA,Франциско Моразан,1960-12-13
САДК,Сообщество по вопросам развития стран юга Африки,Габороне,РБ,Ботсвана,1992-08-17
АФЭСР,Арабский фонд экономического и социального развития,,,,1968-05-16
Группа восьми,Группа 8,,,,1975-10-01
ВКЛ,Всемирная конфедерация труда,Брюссель,B,Брабант,1920-06-19
ЭКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТО,Эфиопия,1958-04-29
ЕАСТ,Европейская ассоциация свободной торговли,Женева,CH,ГЭ,1960-01-04
ZC,Комитет Цангера,,,,
ОООНВД,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ЮНИДО,Организация Объединенных Наций по промышленному развитию,Вена,A,Вена,1966-11-17
КАСМ,Центральноамериканский общий рынок,Город Гватемала,СУА,Гватемала,1960-12-13
ООН,В настоящий отчет могут вноситься поправки.,Нью-Йорк,США,Нью-Йорк,1945-06-26
Интерпол,Международная организация уголовной полиции,Лион,F,Рон-Алпес,1956-06-13
ИБР,Исламский банк развития,Джидда,С.А.,Саудовская Аравия,1973-12-15
