desert,country,province
Эрг Ребиана,ЛАР,Ливия
Калахари,АНГ,Моксико
Ригестан,ПК,Пакистан
Сирийская пустыня,С.А.,Саудовская Аравия
Калахари,АНГ,Куандо Кубинго
Кум Таг,ТДж,Синьцзян Уйгур
Ордос,ТДж,Шаанси
Колорадо Плато,США,Юта
Чиуауа,США,Аризона
Каракум,ТМ,Балканские острова
Красный центр,AUS,Западная Австралия
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Джураб,TCH,Чад
Гоби,ТДж,Гансу
Дашт-е-Лут,IR,Язд
Ливийская пустыня,ЛАР,Ливия
Ливийская пустыня,ЕТ,Эль-Вади-эль-Джадид
Сирийская пустыня,ИРК,Аль-Анбар
Mojave,США,Аризона
Руб аль-Чали,ОАЭ,Абу-Даби
Фесан,ЛАР,Ливия
Сирийская пустыня,JOR,Иордания
Муджункум,KAZ,Кызылорда
Рин,KAZ,Атырау
Калахари,Z,Западный
Пустыня Гибсон,AUS,Западная Австралия
Площадь Нулларбора,AUS,Западная Австралия
Эрди Эннеди,TCH,Чад
Большой бассейн,США,Невада
Сирийская пустыня,СИР,Сирия
Mojave,США,Юта
Ust Urt,KAZ,Aqtobe
Сонора,МЕКС,Чиуауа
Дашт-е-Кавир,IR,Семнан
Трарца,РИМ,Мавритания
Оуихи,США,Айдахо
Великая пустыня Виктория,AUS,Западная Австралия
Эрг Исауан,DZ,Алжир
Намиб,ДН,Намибия
Thar,СИН,Раджастан
Эрг Игиди,РИМ,Мавритания
Руб аль-Чали,ОАЭ,Дюбай
Танами,AUS,Северная территория
Каракум,ТМ,Ахал
Thar,СИН,Пенджаб
Калахари,РБ,Ботсвана
Кысилкум,Юзеф,Каракальпогистон
Гоби,ТДж,Нинксиа Хуидзу
Ливийская пустыня,ЕТ,Эль-Гиза
Танезруфт,DZ,Алжир
Гоби,ТДж,Нэй Монголь
Пустыня,AUS,Квинсленд
Негев,Ил,Южное
Оуихи,США,Невада
Большая песчаная пустыня,AUS,Западная Австралия
Mojave,США,Невада
Оуихи,США,Орегон
Такла-Макан,ТДж,Синьцзян Уйгур
Атакама,RCH,Чили
Гоби,МПГ,Монголия
Ферло,SN,Луга
Калахари,RSA,Северо-западный
Пустыня Симпсон,AUS,Северная территория
Рин,Р,Республика Калмикия
Хамада дю Драа,МЭТ,Марокко
