river,country,province
Днестр,UA,Виннитская
Ориноко,CO,Вичада
Брахмапутра,ТДж,Тибет
Бахр-эль-Гасаль,СУД,Бахр-эль-Газаль
Доуро,Р,Порто
Гудзон Ривер,США,Нью-Джерси
Вейксель,PL,Бельский
Исар,A,Тирол
Луар,F,Овернь
Рио Сан-Франциско,КР,Минас-Жерайс
Индус,СИН,Джамму и Кашмир
Тичино,I,Пьемонт
Сохранить,ОПП,Сербия
Рейн,D,Нордрхейн Вестфален
Нигер,РН,Нигер
Гамбия,SN,Тамбакунда
Нил,ЕТ,Думят
Южная Морава,MK,Чешская Республика
Белый кусок,KOS,Косово
Эбро,E,Страна Басков
Белый Нил,СУД,Нил аль-Асрак
Верра,D,Гессен
Колорадо,США,Невада
Сенегал,RG,Гвинея
Мозель,L,Люксембург
Гаронн,F,Миди-Пиренеи
Ломами,ЗРЕ,Киву
Нил,ЕТ,Кафр-эш-Шейх
Рейн,Нл,Гелдерленд
Вуокси,Р,Респондент Карелии
Янгце,ТДж,Цзянсу
Ломами,ЗРЕ,Верхний Заир
Петшора,Р,Архангельская область
Донау,Н,Будапешт (муниципалитет)
Иртыш,KAZ,Павлодар
Ольт,RO,Сибиу
Уэсер,D,Нидераксен
Донау,Н,Бакс Кискун
Рейн,CH,SG
Вааль,RSA,Мпумаланга
Луалаба,ЗРЕ,Верхний Заир
Санага,КАМ,Кот/литератор
Нил,ЕТ,Эль-Кахира
Оранье,ЛС,Лесото
Луар,F,Платежи за обучение в Луаре
Северная Двина,Р,Архангельская область
Волга,Р,Самарская область
Брахмапутра,СИН,Аруначал-Прадеш
Кимижоки,SF,Кими
Далаэльв,И,Уппсала
Индус,ПК,Пакистан
Волга,Р,Саратовская область
Вейксель,PL,Жешовски
Уругвай,Ру,Уругвай
Донау,MD,Молдова
Днепр,UA,Шеркаска
Тигр,ИРК,Аль Басра
Донау,RO,Телеорман
Миссури,США,Канзас
Маас,B,Лимбург
Гуадиана,Р,Порталегри
Миссисипи,США,Миннесота
Хванхо,ТДж,Шаньдун
