name,islands,area,height,type,longitude,latitude
Корс,,8680.0,2706.0,,8.4,41.4
Сайпан,Марианские острова,115.0,474.0,вулканическое,145.75,15.2
Гран-Терре,Малые Антильские острова,589.0,,вулканическое,-61.4,16.3
Льюис и Харрис,Внешние гебриды,2170.0,,,-6.8,57.9
Гернси,Нормандские острова,194.0,,,-2.6,49.6
Остров принца Эдуарда,,5660.0,142.0,,-63.4,46.3
Южный Рональдси,Оркнейские острова,50.0,,,-3.1,58.6
Ява,Острова Сунда,126650.0,3676.0,,111.25,-7.5
Амрум,Nordfrisische Inseln,20.5,32.0,,8.3,54.65
Остров Св. Елены,,122.0,,вулканическое,-5.44,-15.56
Крета,,8331.0,2456.0,,25.0,37.0
Анжуан,Коморы,424.0,,,44.35,-12.2
Барра,Внешние гебриды,91.0,,,-7.7,57.0
Куракао,Малые Антильские острова,444.0,,,-69.0,12.2
Грязный червь,Nordfrisische Inseln,37.4,2.0,,8.6,54.5
Озель,,2714.0,54.0,,22.0,58.3
Тонгатапу,Тонга,260.0,65.0,кораллы,-175.15,-21.2
Чили,Большие Антильские острова,10991.0,2256.0,,-77.3,18.1
Ислай,Внутренние гебриды,619.6,491.0,,7.0,62.1
Мах,Сейшельские Острова,154.0,905.0,,55.5,-4.65
Лефкас,Ионные острова,293.0,1158.0,,20.6,38.7
Терскельное движение,&lt; &lt; Вестфриз &gt; &gt;,88.0,,,5.3,53.4
Дагое,,965.0,,,22.7,58.8
Молокай,Гавайские острова,676.0,1512.0,,-157.0,21.1
Остров Бэнкс,Канадские Арктические острова,70028.0,,,-122.1,72.85
Тарава,Острова Гилберта,,,Атолл,173.0,1.4
Бангка,Острова Сунда,11942.0,700.0,,106.0,2.25
Стромболи,Острова Липари,12.6,926.0,вулканическое,15.15,38.8
