lake,country,province
Лаго Маггиоре,I,Пьемонт
Веттерн,И,Оребро
Пирамидское озеро,США,Невада
Чадское озеро,ВАН,Нигерия
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Санта-Фе
Озеро Преспа,AL,Австралия
Аммерзе,D,Байерн
Каспийское море,Р,Астраханская область
Озеро Мверу,ЗРЕ,Шаба/Катанга
Озеро Виннипесауке,США,Нью-Гэмпшир
Атлинское озеро,КН,Территория Юкон
Озеро Эри,США,Огайо
Ozero Balchash,KAZ,Жамбил
Озеро Маракайбо,YV,Трухильо
Озеро Нипигон,КН,Онтарио
Озеро Онтарио,КН,Онтарио
Лак Леман,CH,VS
Озеро Виктория,ЭАК,Западный
Озеро Маниту,КН,Онтарио
Валенерн,И,Вармленд
Озеро Мичиган,США,Индианаa
озеро Сакакавеа,США,Северная Дакота
Соль &lt; &lt; Этоша &gt; &gt;,ДН,Намибия
Озеро Виктория,ЕАТ,Кагера
Жуй Бахир,ЭТО,Эфиопия
