country,target
ГНБ,нехристианские
BZ,Кристиан
TAD,нехристианские
WS,Кристиан
ТУКА,Кристиан
Бен,нехристианские
A,Кристиан
RL,нехристианские
J,нехристианские
РИ,нехристианские
ТМ,нехристианские
NAU,Кристиан
WD,Кристиан
MD,Кристиан
CZ,Кристиан
РШМ,Кристиан
Р,Кристиан
СУД,нехристианские
БиГ,нехристианские
XMAS,нехристианские
АМСА,Кристиан
КР,Кристиан
ХОНКС,Кристиан
ОМТС,Кристиан
MS,нехристианские
ФПОЛ,Кристиан
СП,нехристианские
М,Кристиан
SF,Кристиан
Клянусь!,Кристиан
СИН,нехристианские
ИУ,Кристиан
CY,Кристиан
БЕРМ,Кристиан
ДСО,нехристианские
Юзеф,нехристианские
Кейм,Кристиан
ES,Кристиан
Н,Кристиан
БВ,нехристианские
Q,нехристианские
НОРФ,Кристиан
МПГ,нехристианские
WL,Кристиан
РММ,нехристианские
YV,Кристиан
РОУ,нехристианские
РИМ,нехристианские
ПК,нехристианские
Н,Кристиан
ИРК,нехристианские
МГ,Кристиан
I,Кристиан
ДК,Кристиан
E,Кристиан
БОЛ,Кристиан
ZW,Кристиан
КИР,Кристиан
РП,Кристиан
B,Кристиан
УРБ,Кристиан
TN,нехристианские
ЭАК,Кристиан
ФСО,Кристиан
F,Кристиан
ЛАР,нехристианские
ФГУ,Кристиан
ГБЦ,Кристиан
МПК,Кристиан
DZ,нехристианские
AUS,Кристиан
Новой Зеландии,Кристиан
SK,Кристиан
LAO,нехристианские
HCA,Кристиан
ГЭ,Кристиан
Мэйо,нехристианские
К,Кристиан
SLB,Кристиан
