name,area,depth,altitude,type,river,longitude,latitude
Озеро Скутари,368.0,44.0,7.0,,,19.3,42.2
Саймаа,4370.0,85.0,76.0,,Вуокси,28.0,61.3
Озеро Туркана,6405.0,73.0,375.0,соль,,36.1,3.6
Озеро Мичиган,57800.0,281.0,176.0,,,-87.08,43.69
Озеро Тана,3000.0,14.0,1830.0,,Синий Нил,37.3,12.0
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Соль &lt; &lt; Этоша &gt; &gt;,6133.0,0.0,1000.0,соль,,16.0,-18.8
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Какашки,1340.0,4.0,3686.0,соль,,-67.1,-18.55
Озеро Титикака,8372.0,281.0,3812.0,,Рио Десагуадеро,-69.33,-15.84
Озеро Шампанское,1130.0,121.0,30.0,,Ривьер Ришелье,-73.35,44.56
Старнбергер См.,56.36,127.7,584.0,,Вёрм,11.32,47.92
Озеро Каинджи,1243.0,,,искусственные,Нигер,4.5,10.4
Озеро Маниту,104.0,,,,,-82.0,45.76
Озеро Сесе Секо/Альбертзе,5347.0,48.0,619.0,,Бахр-эль-Джебель/Альберт-Нил,30.9,1.7
Крейтерское озеро Ликанкабур,0.005,,5600.0,кратер,,-67.9,-22.8
Озеро Пауэлл,645.0,171.0,1127.0,искусственные,Колорадо,-111.5,36.9
Озеро Охрид,367.0,289.0,695.0,,Черный кусок,20.7,41.0
Озеро Тахо,497.0,501.0,1900.0,,Река Грузовик,-120.0,39.0
Ozero Chanka,4400.0,,,,,132.4,45.0
Озеро Мверу,5120.0,27.0,931.0,,Лувуа,28.7,-9.0
озеро Сакакавеа,1578.0,55.0,,искусственные,Миссури,-101.42,47.48
Vierwaldstattersee,113.7,214.0,434.0,,Реус,8.4,47.0
Цюрихсэ,88.0,136.0,406.0,,Лимат,8.23631,47.5018
Лак Леман,581.0,310.0,372.0,,Роун,6.5,46.5
Озеро Хьюм,202.0,,,,Мюррей Ривер,147.0,-36.1
Валенерн,5648.0,106.0,44.0,,Гётаэльв,13.3,58.8
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Виннипег,24420.0,18.0,218.0,,Нельсон Ривер,-97.97,52.77
Озеро Вольта,8502.0,130.0,,искусственные,Вольта,0.5,6.3
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Сторуман,173.0,139.0,419.0,,Умеэльв,16.88,65.22
Каллавеси,472.0,,,,Вуокси,27.7,62.9
Озеро Босумтви,49.0,81.0,107.0,последствия,,-1.4,6.5
Озеро Иразу,1.0,,3200.0,кислота,,-83.9,10.0
Оулуярви,928.0,35.0,123.0,,Оулуйоки,27.25,64.3
Ozero Pskovskoje,3555.0,14.6,30.0,,Нарва,27.49,58.68
Озеро Кабора-Басса,2800.0,,326.0,искусственные,Замбези,32.7,-15.6
Чимси,80.0,73.0,518.0,,Alz,12.4,47.9
Пейджаенн,1118.0,95.0,78.0,,Кимижоки,25.4,61.5
Лак-ассаль,54.0,,-155.0,соль,,42.4,11.65
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
Ozero Baykal,31492.0,1637.0,455.0,,Ангара,108.0,53.0
&lt; &lt; Полиция &gt; &gt;,370.0,346.0,65.0,,Минсио,10.65,45.6
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Озеро Виннипесауке,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Маеларен,1140.0,66.0,0.7,,,17.1,59.4
Кентуккиское озеро,648.0,,,,Теннесси,-88.3,37.0
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
Озеро Окечоби,1890.0,4.0,,,,-80.8,26.94
Озеро Кебан,675.0,,,,Евфрат,38.75,38.8
Ozero Taimir,4560.0,26.0,5.0,,,101.6,74.5
Lago de Sobradinho,4214.0,,,искусственные,Рио Сан-Франциско,-40.7,-9.46
