country,population_growth,infant_mortality
ГР,0.42,7.4
KOS,,
ПК,2.24,96.8
ПАЛ,1.71,25.07
ЧП,2.79,118.9
БД,1.85,102.3
И,0.56,4.5
Н,0.48,4.9
ТДж,0.98,39.6
КАМ,2.89,78.7
CI,2.92,82.4
C,0.44,9.0
ЭТО,2.72,122.8
СИН,1.64,71.1
LAO,2.81,96.8
ВАГ,3.55,80.5
БИ,1.54,102.2
ГНБ,2.35,115.8
MS,1.23,17.2
RO,-1.21,23.2
KWT,6.65,11.1
ARU,1.478,13.79
МЬЯ,1.84,80.7
ВАН,3.05,72.4
ЛВ,-1.39,21.2
ТТ,0.08,18.2
Кейм,2.39,6.94
RG,1.85,134.1
HCA,2.6,41.8
РММ,2.95,102.7
SVAX,-0.02,
ТУКА,2.56,13.89
WD,0.38,9.6
БВИР,1.84,14.65
ЛТ,-0.35,17.0
NEP,2.45,79.0
С.А.,3.45,46.4
М,1.01,6.9
МВт,1.71,139.9
СИР,3.37,40.0
UA,-0.4,22.5
РСС,2.08,111.7
ТR,1.67,43.2
CO,1.66,25.8
ПНГ,2.29,60.1
БРИН,2.27,17.1
Мэйо,3.32,56.29
AFG,4.78,149.7
ДК,0.38,4.8
