country1,country2,length
ARM,IR,35.0
AL,MK,151.0
ДОМ,РЧ,275.0
Ил,ЗАХОД,307.0
Z,ЗРЕ,1930.0
ФГУ,МСП,510.0
СИР,ТR,822.0
ГНБ,RG,386.0
КР,РЭ,1224.0
BF,GH,548.0
RSA,УР,430.0
HR,SLO,546.0
,СМАРТ,15.0
G,КБК,1903.0
CH,D,334.0
JOR,ЗАХОД,97.0
ЛТ,PL,91.0
ЕАТ,РВА,217.0
ПНГ,РИ,820.0
АНГ,КБК,201.0
SN,ВАГ,740.0
AFG,TAD,1206.0
ЛАР,TN,459.0
Парень,YV,743.0
ТДж,VN,1281.0
KAZ,ТДж,1533.0
RG,РММ,858.0
KAZ,Р,6846.0
AZ,ГЭ,322.0
РИМ,SN,813.0
Ил,СИР,76.0
D,ДК,68.0
БГ,ГР,494.0
ЭАК,ЕАС,933.0
F,I,488.0
КР,ПЭ,1560.0
LAO,МЬЯ,235.0
AFG,ТМ,744.0
КАМ,G,298.0
БРУ,ТЗА,381.0
РСС,КБК,467.0
КН,США,8893.0
СУА,HCA,256.0
DZ,РММ,1376.0
