name,country,population,area,capital,capprov
Ицель,ТR,1266995,15853.0,Мерсин,Ицель
Йемен,ДА,13483178,,Сана,Йемен
Парагвай,PY,5504146,,Асунсьон,Парагвай
Тюменская область,Р,3169900,1435200.0,Тюмень,Тюменская область
Овериджссель,Нл,1050389,3337.0,Зволль,Овериджссель
Телеорман,RO,504000,5760.0,Александрия,Телеорман
Дияла,ИРК,955112,19076.0,Бакуба,Дияла
Андалусия,E,7053043,87600.0,Севилья,Андалусия
Эст,КАМ,517200,109011.0,Бертуа,Эст
Вологодская область,Р,1349800,145700.0,Вологда,Вологодская область
&lt; &lt; Карас Северин &gt; &gt;,RO,408000,8503.0,Резита,&lt; &lt; Карас Северин &gt; &gt;
Западный берег,ЗАХОД,1427741,,,
Шаньдун,ТДж,86710000,153000.0,Джинан,Шаньдун
Нагасаки,J,1544934,4112.0,Нагасаки,Нагасаки
Сайтама,J,6759311,3799.0,Урава,Сайтама
Толияра,РМ,1396700,161405.0,Толияра,Толияра
Систан и Белучестан,IR,1455102,181578.0,Захедан,Систан и Белучестан
Норт-де-Сантандер,CO,913491,21658.0,Кукута,Норт-де-Сантандер
Киву,ЗРЕ,5232442,256662.0,Букаву,Киву
Тоттори,J,614929,3494.0,Тоттори,Тоттори
Айти,J,6868336,5138.0,Нагоя,Айти
Гамбия,ВАГ,1204984,,Банжул,Гамбия
Сеара,КР,6803567,146348.0,Форталеза,Сеара
Трухильо,YV,562752,7400.0,Трухильо,Трухильо
Нидераксен,D,7715363,47609.0,Ганновер,Нидераксен
Беджа,Р,167900,10225.0,Беджа,Беджа
Букурести,RO,2319000,1521.0,Бухарест,Букурести
Селангор,ТЗА,2289236,7956.0,Шах Алам,Селангор
Байерн,D,11921944,70546.0,Мюнхен,Байерн
Лимбург,Нл,1130050,2167.0,Маастрихт,Лимбург
Кировоградска,UA,1245300,24600.0,Кировоград,Кировоградска
Верион &lt; &lt; Айяон &gt; &gt;,ГР,189541,3836.0,Митилини,Верион &lt; &lt; Айяон &gt; &gt;
Канкири,ТR,279129,8454.0,Канкири,Канкири
Новая Мексика,США,1729751,314925.0,Санта-Фе,Новая Мексика
Нортумберленд,ГБ,307100,5032.0,Ньюкасл на Тайне,Тайн и Валяй.
Пернамбуко,КР,7404559,98937.0,Ресифи,Пернамбуко
Республика Дагестан,Р,2097500,50300.0,Махачкала,Республика Дагестан
Азербайджан,AZ,7676953,,Баку,Азербайджан
Коимбра,Р,427600,3947.0,Коимбра,Коимбра
Мэн,США,1242051,86156.0,Августa,Мэн
Галисия,E,2720761,29574.0,Сантьяго-де-Компостелла,Галисия
Мавритания,РИМ,2336048,,Нуакшот,Мавритания
Федералы Куала-Лумпура,ТЗА,1145075,243.0,Куала-Лумпур,Федералы Куала-Лумпура
Мета,CO,474046,85635.0,Вильявьесенсио,Мета
Елениогорская,PL,519200,4379.0,Джеления Гора,Елениогорская
Пуно,ПЭ,1144151,71999.0,Пуно,Пуно
Харьяна,СИН,16463648,44212.0,Чандигарх,Чандигарх
Пилски,PL,485700,8205.0,Пила,Пилски
Аруба,ARU,103065,,Оранжестад,Аруба
Готландия,И,57383,3140.0,Висбийская,Готландия
Хэнан,ТДж,90270000,167000.0,Чжэньчжоу,Хэнан
Пекин (муниципальный),ТДж,11250000,16800.0,Пекин,Пекин (муниципальный)
Руква,ЕАТ,684000,68635.0,Сумбаванга,Руква
Альберта,КН,2696826,661185.0,Эдмонтон,Альберта
Шропшир,ГБ,412500,3490.0,Шрусбери,Шропшир
Мурманская область,Р,1048000,144900.0,Мурманск,Мурманская область
Юта,США,2059148,219888.0,Солт-Лейк-Сити,Юта
Границы,ГБ,105700,4698.0,Ньютаун Сент-Боуэллс,Границы
Пакистан,ПК,129275660,,Исламабад,Пакистан
Мванза,ЕАТ,1878300,19592.0,Мванза,Мванза
Эквадор,ЕС,11466291,,Кито,Эквадор
Морогоро,ЕАТ,1222700,70799.0,Морогоро,Морогоро
Индонезия,РИ,206611600,,Джакарта,Индонезия
Антиокия,CO,4067207,63612.0,Медельин,Антиокия
Трабзон,ТR,795849,4685.0,Трабзон,Трабзон
Калабрия,I,2080000,15080.0,Катанзаро,Калабрия
Южная Австралия,AUS,1474000,984377.0,Аделаида,Южная Австралия
Колон,ПА,222600,7247.0,Колон,Колон
Нэй Монголь,ТДж,22600000,1183000.0,Hohhot,Нэй Монголь
Киото,J,2629592,4613.0,Киото,Киото
