city,province,country,island
Порт-Луис,Маврикий,MS,Маврикий
Ротерхем,Южный Йоркшир,ГБ,Великобритании
Осака,Осака,J,Хонсю
Вокингем,Беркшир,ГБ,Великобритании
Ньюкасл под Лаймом,Стаффордшир,ГБ,Великобритании
Норталлертон,Северный Йоркшир,ГБ,Великобритании
Санто-Доминго,Доминиканская Республика,ДОМ,Испаньола
Магеланг,Индонезия,РИ,Ява
Kirkwall,Оркни,ГБ,"Оркни, материковая область"
Глостер,Глостершир,ГБ,Великобритании
Сантьяго-де-Куба,Сантьяго-де-Куба,C,Куба
Кингстон,Чили,ДЖА,Чили
Святые Олбаны,Хертфордшир,ГБ,Великобритании
Стой на Тренте,Стаффордшир,ГБ,Великобритании
Санта-Крус де Тенерифе,Канарские острова,E,Тенерифа
Сендай,Мияги,J,Хонсю
Банда Ачех,Индонезия,РИ,Суматра
Истли,Гэмпшир,ГБ,Великобритании
Хиросима,Хиросима,J,Хонсю
Норвич,Норфолк,ГБ,Великобритании
Каваратти,Лаксхадвип - это.,СИН,Каваратти
Шизуока,Шизуока,J,Хонсю
Таваи,Саба,ТЗА,Борнео
Наа,Окинава,J,Окинава
Порт Святого Петра,Гернси,ГБГ,Гернси
Тояма,Тояма,J,Хонсю
Траффорд,Большой Манчестер,ГБ,Великобритании
Байамо,Бабушка,C,Куба
Кармартен,Кармартеншир,ГБ,Великобритании
Ольгин,Ольгин,C,Куба
Ноусли,Мерсисайд,ГБ,Великобритании
Престон,Ланкашир,ГБ,Великобритании
Фукуи,Фукуи,J,Хонсю
Сага,Сага,J,Кюсю
Нумеа,Новая Каледония,НКА,Организация &lt; &lt; Новая Каледония &gt; &gt;
Окленд,Новая Зеландия,Новой Зеландии,Те Ика-а-Мауи (Северный остров)
Мито,Ибараки,J,Хонсю
Сингапур,Сингапур,SGP,Сингапур
Ланкастер,Ланкашир,ГБ,Великобритании
Эббв Вэйл,Блейно Гвент,ГБ,Великобритании
Дадли,Западные Мидленды,ГБ,Великобритании
Мягкое,Флинтшир,ГБ,Великобритании
Честерфилд,Дербишир,ГБ,Великобритании
Болтон,Большой Манчестер,ГБ,Великобритании
Таматав,Тоамасина,РМ,Мадагаскар
Пальма-де-Мальорка,Балеарские острова,E,Маллорка
Токусима,Токусима,J,Шикоку
Лас-Пальмас-де-Гран-Канария,Канарские острова,E,Гран Канариа
Манчестер,Большой Манчестер,ГБ,Великобритании
Ла-Лагуна,Канарские острова,E,Тенерифа
Паликир,Микронезия,ФШМ,Понапе
Тайтунг,Тайвань,КР,Тайвань
Каназава,Ишикава,J,Хонсю
Бенгкулу,Индонезия,РИ,Суматра
Захоронение,Большой Манчестер,ГБ,Великобритании
Дили,Тимор-Лешти,ТЛ,Тимор
Троубридж,Уилтшир,ГБ,Великобритании
Брэдфорд,Западный Йоркшир,ГБ,Великобритании
Саппоро,Хоккайдо,J,Хоккайдо
Ипсвич,Саффолк,ГБ,Великобритании
Летающая рыбная бухта,Остров Рождества,XMAS,Остров Рождества
Уоррингтон,Чешир,ГБ,Великобритании
