country,gdp,agriculture,service,industry,inflation
ФСО,4700.0,22.0,17.0,61.0,2.0
PL,226700.0,7.0,38.0,55.0,21.6
РТ,4100.0,49.2,17.7,33.1,8.8
И,177300.0,2.0,27.0,71.0,2.6
ОПП,52180.0,12.3,24.2,63.5,6.8
GH,25100.0,47.0,16.0,37.0,69.0
ФАЛК,105.1,,,,
ПДТ,138.0,28.0,14.0,58.0,38.0
ЛТ,13300.0,20.0,42.0,38.0,35.0
МВт,6900.0,31.0,14.0,55.0,83.3
Н,72500.0,7.3,37.5,55.2,28.3
CO,192500.0,21.5,29.0,49.5,19.5
АЗС,,,,,
CZ,106200.0,5.8,40.7,53.5,9.1
I,1088600.0,2.9,31.6,65.5,5.4
БГ,43200.0,12.0,36.0,52.0,35.0
РМ,11400.0,35.0,15.0,50.0,35.0
КОК,183.2,15.1,9.6,75.3,2.1
ARM,9100.0,57.0,36.0,7.0,32.2
МАРТ,3950.0,6.0,11.0,83.0,3.9
Кл,65600.0,24.0,24.0,52.0,8.4
СУД,25000.0,33.0,17.0,50.0,66.0
РЭ,278500.0,6.0,31.0,63.0,1.7
KGZ,5400.0,,,,32.0
ОК,590700.0,8.0,45.0,47.0,4.3
ГБ,1138400.0,1.7,27.7,70.6,3.1
ГРАД,3700.0,6.0,9.0,85.0,3.7
БЕРМ,4500.0,1.0,10.0,89.0,2.8
УРБ,2500.0,6.4,39.3,54.3,1.7
ПР,88000.0,1.0,45.0,54.0,6.5
РГ,284.0,10.2,40.3,49.5,3.0
CI,21900.0,37.0,24.0,39.0,10.0
UA,174600.0,31.0,43.0,26.0,9.0
РИМ,2800.0,27.1,29.5,43.4,3.5
SLO,22600.0,5.3,39.9,54.8,8.0
ПАЛ,81.8,,,,
Р,116200.0,6.0,35.8,58.2,4.6
И ДОЛЖНОСТНЫЕ ЛИЦА,1000.0,,,,
ЕТ,171000.0,,,,9.4
ФГУ,800.0,,,,2.5
JOR,19300.0,11.0,25.0,64.0,3.0
МЭТ,87400.0,14.3,32.2,53.5,5.4
НОРФ,,,,,
BS,4800.0,3.0,35.0,62.0,1.5
RCH,113200.0,7.4,36.4,56.2,8.1
Р,796000.0,6.0,41.0,53.0,7.0
CH,158500.0,3.0,33.5,63.5,1.8
CY,7800.0,5.6,24.9,69.5,
Парень,1600.0,26.5,27.8,45.7,8.1
БРУ,4600.0,3.0,42.0,55.0,2.4
MD,10400.0,33.0,36.0,31.0,24.0
TCH,3300.0,49.0,17.0,34.0,41.0
A,152000.0,2.0,34.0,64.0,2.3
IRL,54600.0,6.8,35.3,57.9,2.8
БиГ,1000.0,,,,
AFG,12800.0,65.0,15.0,20.0,
ГБГ,,,,,7.0
ВАЛ,4400.0,40.0,17.0,43.0,24.0
