name,mountains,height,type,longitude,latitude
Grosser Arber,Байришер Уолд,1456.0,,13.0,49.1
Мт Колумбия,Скалистые горы,3747.0,,-117.44,52.15
Коропуна,Кордильера Вулканика,6425.0,вулкан,-72.65,-15.5
Молдовеану,Карпатен,2544.0,,24.7,45.6
Аннапурна,Гималаи,8091.0,,83.8,28.6
Королева Марис Пик,,2060.0,вулкан,-12.3,-37.1
Маттерхорн,Альпы,4478.0,,7.56,46.0
Бен Невис,Грампийцы,1344.0,,-5.0,56.8
Халекала,Гавайи,3055.0,вулкан,-156.25,20.7
Г-н Богонг,Снежные горы,1986.0,,147.5,-37.0
Джезерс,Балканские острова,2694.0,,19.4,42.3
Канлаон,,2435.0,вулкан,123.1,10.4
Дерьмо_Sogn_Gion,Альпы,2228.0,,9.2,46.85
Нанда Деви,Гималаи,7816.0,,80.0,30.4
Пуи-де-Коме,Севенны,1465.0,вулканическое,3.0,45.8
Вильгельм,,4509.0,,145.0,-5.8
Кракатау,,813.0,вулкан,105.4,-6.1
Джебель Шуайб,,3760.0,,44.0,15.5
Граница,Сьерра-Невада Калифорния,4006.0,,-118.3,37.9
Монт-Орохена,,2241.0,вулканическое,-149.5,-17.6
Голубая гора,,2256.0,,-76.4,18.1
Мусала,Балканские острова,2925.0,,23.6,42.2
Тор де Серредо,Кордильера Кантабрика,2648.0,,4.85,43.2
Рас Дашан Терара,Амхара,4533.0,вулканическое,38.4,13.2
