sea1,sea2
Атлантический океан,Мексиканский залив
Море Баренцев,Сибирианское море
Карибское море,Мексиканский залив
Северное море,Скагеррак
Черное море,Средиземное море
Атлантический океан,Северное море
Северный Ледовитый океан,Сибирианское море
Японское море,Желтое море
Аденский залив,Индийский океан
Индийский океан,Сундское море
Северное море,Норвежское море
Оманский залив,Индийский океан
Восточно-Китайское море,Тихоокеанский океан
Арабское море,Индийский океан
Беременное море,Тихоокеанский океан
Малаккский пролив,Южно-Китайское море
Оманский залив,Персидский залив
Андаманское море,Малаккский пролив
Море Баренцев,Норвежское море
Каттегат,Скагеррак
Арабское море,Аденский залив
Андаманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Северный Ледовитый океан,Атлантический океан
Атлантический океан,Карибское море
Андаманское море,Бенгальский залив
Бенгальский залив,Тихоокеанский океан
Бенгальский залив,Сундское море
Японское море,Охотское море
Атлантический океан,Средиземное море
Атлантический океан,Ирландское море
Атлантический океан,Канал
Южно-Китайское море,Сундское море
Тихоокеанский океан,Море Сулавеси
Северный Ледовитый океан,Море Баренцев
Море Сулавеси,Сундское море
Тихоокеанский океан,Охотское море
Северный Ледовитый океан,Норвежское море
Черное море,Азовское море
Восточно-Китайское море,Южно-Китайское море
Северный Ледовитый океан,Беременное море
Тихоокеанский океан,Южно-Китайское море
Атлантический океан,Норвежское море
Атлантический океан,Индийский океан
Южно-Китайское море,Море Сулавеси
Индийский океан,Тихоокеанский океан
Северное море,Канал
Балтийское море,Северное море
Тихоокеанский океан,Японское море
Восточно-Китайское море,Желтое море
Арабское море,Оманский залив
Восточно-Китайское море,Японское море
Тихоокеанский океан,Сундское море
Аденский залив,Красное море
