constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
11336,500,34,9.0,4,4,0
9637,401,3,137.0,1,1,9
21562,645,198,0.0,9,9,0
3348,294,18,0.0,10,10,0
25716,271,18,5.0,10,10,0
21359,664,182,39.0,2,2,2
5535,183,15,4.0,7,7,0
26524,955,131,258.0,1,1,7
5037,240,22,10.0,1,1,1
9234,376,42,0.0,10,10,0
22202,619,66,12.0,7,7,0
5770,155,17,16.0,6,6,0
25092,876,5,21.0,9,9,0
20929,668,11,0.0,9,9,0
5741,152,21,1.0,10,10,0
19596,736,176,1.0,8,8,0
9613,399,34,6.0,8,8,0
7828,331,27,0.0,13,13,0
22028,631,83,0.0,12,12,0
25200,885,207,0.0,11,11,0
9743,408,6,10.0,5,5,0
21691,633,199,0.0,10,10,0
9336,382,22,22.0,3,3,0
25899,51,1,210.0,11,E,8
19124,755,117,0.0,10,10,0
5544,184,20,3.0,8,8,0
9495,391,37,1.0,11,11,0
1807,73,17,0.0,8,8,0
19595,736,175,0.0,14,14,0
21570,646,187,15.0,3,3,0
9628,400,21,8.0,7,7,0
11377,502,4,21.0,3,3,2
22414,603,34,26.0,5,5,2
22140,614,80,1.0,9,9,0
21383,666,66,7.0,5,5,0
5559,186,6,97.0,2,2,5
9243,377,6,27.0,2,2,0
22433,604,37,6.0,9,9,0
10176,433,52,0.0,16,16,0
2,18,2,8.0,3,3,0
24367,347,131,132.0,4,4,0
680,82,16,15.0,7,7,0
10884,476,3,34.0,4,4,0
25552,259,1,4.0,6,6,0
22314,597,1,42.0,1,1,3
2528,234,1,34.0,4,4,0
20878,688,11,17.0,5,5,1
6319,53,1,10.0,2,2,0
24060,517,59,0.0,12,12,0
10390,446,25,0.0,15,15,0
20811,684,6,15.0,4,4,0
9494,391,18,0.0,15,15,0
21602,649,85,0.0,11,11,0
22470,577,67,0.0,7,7,0
10530,455,6,22.0,1,1,1
24512,75,1,37.0,3,3,1
8259,306,3,6.0,3,3,0
25996,905,9,99.0,2,2,0
1513,164,3,15.0,3,3,0
24568,844,5,6.0,7,7,0
22753,585,26,0.0,15,15,0
26376,941,6,359.0,2,2,3
114,28,11,14.0,8,8,0
