constructorresultsid,raceid,constructorid,points,status
497,64,7,2.0,
6075,487,54,0.0,
11830,654,198,0.0,
3561,322,45,0.0,
2300,233,18,0.0,
3200,301,27,0.0,
13033,568,59,0.0,
317,48,1,18.0,D
3881,6,2,0.0,
2777,271,32,0.0,
5156,428,1,8.0,
4681,394,21,2.0,
11769,649,187,4.0,
15406,966,131,43.0,
3999,356,44,0.0,
3757,333,22,3.0,
3457,316,29,0.0,
15082,932,209,0.0,
12522,602,66,0.0,
1032,117,7,1.0,
13759,518,1,3.0,
1842,192,6,4.0,
12777,582,75,1.0,
12285,614,66,2.0,
9998,746,170,8.0,
12439,597,34,0.0,
11087,691,188,0.0,
1,18,1,14.0,
12461,598,64,0.0,
12131,627,63,0.0,
429,58,1,4.0,
13994,344,166,0.0,
84,25,10,0.0,
13089,572,204,0.0,
12850,587,37,4.5,
13972,343,1,43.0,
12562,576,67,0.0,
13731,516,1,0.0,
10939,703,181,0.0,
3943,13,23,18.0,
15491,974,131,18.0,
13854,524,51,0.0,
1379,150,6,14.0,
12842,586,37,0.0,
40,21,7,1.0,
12647,581,3,0.0,
14829,901,15,0.0,
15138,939,3,10.0,
14347,859,10,12.0,
3836,2,9,1.5,
871,101,1,5.0,
3153,298,33,0.0,
3292,307,3,0.0,
1567,167,6,4.0,
10214,741,170,2.0,
1385,150,20,0.0,
9663,774,66,0.0,
13344,556,70,0.0,
15427,967,210,0.0,
14071,351,131,10.0,
15573,982,10,11.0,
14121,355,5,2.0,
13607,539,63,0.0,
15551,980,6,30.0,
13633,541,4,3.0,
3038,291,18,0.0,
4116,362,39,0.0,
5246,434,1,4.0,
12270,613,1,9.0,
14705,890,10,0.0,
2470,248,25,0.0,
1220,135,3,10.0,
5671,462,55,0.0,
19,19,10,0.0,
259,42,11,0.0,
339,50,1,10.0,D
15039,928,9,2.0,
14668,886,1,0.0,
506,65,2,6.0,
4775,400,49,0.0,
689,83,6,8.0,
5571,456,6,3.0,
359,51,8,0.0,
1296,142,20,0.0,
12780,582,32,0.0,
2438,245,1,0.0,
11871,635,63,2.0,
14942,912,3,27.0,
1360,148,15,3.0,
3799,335,6,0.0,
443,59,2,2.0,
11116,694,189,0.0,
14471,869,3,0.0,
2376,240,31,0.0,
1721,181,1,6.0,
300,46,4,1.0,
12463,599,25,9.0,
1465,157,21,0.0,
3273,306,25,0.0,
95,27,1,14.0,
10233,743,167,0.0,
11850,633,25,9.0,
5816,472,3,1.0,
140,31,9,1.0,
3830,1,2,0.0,
11130,696,176,2.0,
13381,559,27,2.0,
13340,556,4,0.0,
13366,558,57,2.0,
