constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
26465,950,4,0.0,9,9,0
22196,618,63,7.0,9,9,0
9861,416,1,75.0,2,2,3
25811,43,1,114.0,11,E,4
6237,100,6,174.0,1,1,10
5724,151,1,66.0,2,2,3
22771,586,202,6.5,6,6,0
2445,226,18,0.0,11,11,0
22920,564,37,3.0,8,8,0
25798,41,12,0.0,10,10,0
1507,163,17,9.0,5,5,0
10602,460,34,33.0,4,4,1
5161,250,6,57.0,3,3,1
24799,862,207,0.0,11,11,0
22056,608,32,31.0,1,1,3
70,24,11,8.0,8,8,0
7902,335,35,0.0,15,15,0
667,81,15,13.0,7,7,0
26140,926,131,43.0,1,1,1
26158,927,209,0.0,10,10,0
20368,700,183,0.0,6,6,0
19089,752,6,16.0,3,3,0
26177,929,208,12.0,6,6,0
26072,912,207,0.0,11,11,0
10589,459,3,35.0,3,3,1
2146,200,1,102.0,1,1,6
3262,290,17,0.0,10,10,0
9451,388,18,0.0,12,12,0
21701,634,199,0.0,10,10,0
25211,886,207,0.0,11,11,0
9271,378,39,0.0,16,16,0
9784,410,45,0.0,12,12,0
10275,439,51,6.0,6,6,0
8448,316,3,93.0,2,2,5
26574,958,5,45.0,6,6,0
11141,489,4,6.0,7,7,0
21878,606,1,6.0,3,3,0
19324,738,170,1.0,4,4,0
26385,942,131,574.0,1,1,13
19879,725,179,0.0,16,16,0
10768,469,32,6.0,4,4,0
4784,285,15,10.0,7,7,0
10892,476,56,1.0,13,13,0
23514,531,21,2.0,11,11,0
20899,689,170,6.0,9,9,0
23384,557,64,0.0,13,13,0
21381,666,191,0.0,8,8,0
5678,146,3,18.0,3,3,1
21929,623,25,12.0,4,4,1
5729,151,20,3.0,8,8,0
5915,134,21,2.0,11,11,0
26867,982,10,124.0,4,4,0
22233,591,58,0.0,10,10,0
10560,457,6,31.0,2,2,1
24759,859,10,69.0,6,6,0
9712,406,27,7.0,5,5,0
9147,371,18,6.0,11,11,0
7800,330,18,0.0,11,11,0
20727,698,192,0.0,13,13,0
3318,292,35,1.0,8,8,0
21746,639,6,32.0,2,2,2
1575,169,1,122.0,1,1,6
2461,228,22,18.0,3,3,0
6213,97,19,3.0,9,9,0
24398,349,164,0.0,11,11,0
9836,414,45,0.0,12,12,0
26220,934,6,211.0,2,2,1
23728,542,65,0.0,16,16,0
26267,938,1,17.0,9,9,0
7834,332,25,15.0,5,5,0
22308,597,26,1.0,11,11,0
2170,202,6,102.0,2,2,5
23546,533,56,6.0,7,7,0
19100,753,167,3.0,5,5,0
4703,279,1,44.0,2,2,3
100,27,6,105.0,1,1,5
20096,712,181,0.0,8,8,0
21898,620,63,2.0,4,4,0
25719,271,31,0.0,13,13,0
6315,107,17,5.0,9,9,0
6093,119,16,15.0,5,5,0
10736,467,51,0.0,7,7,0
9217,375,39,0.0,11,11,0
21044,675,89,0.0,16,16,0
20066,709,176,1.0,4,4,0
24651,851,6,215.0,3,3,1
11130,488,45,0.0,15,15,0
23633,537,65,0.0,14,14,0
8454,316,36,0.0,17,17,0
8407,314,17,13.0,5,5,0
25127,879,208,303.0,4,4,1
9,19,3,9.0,4,4,0
22735,584,26,0.0,15,15,0
10094,428,52,0.0,16,16,0
10359,444,52,0.0,12,12,0
5688,147,22,1.0,9,9,0
